Step,CartPos,CartVelocity,PoleAngle,PoleVelocity,Action,Reward
0,-0.005416308356793265,0.2268111182696318,-0.007517985421238416,-0.2975206145181688,0,1.0
1,-0.0008800859914006292,0.03179713914487181,-0.013468397711601791,-0.007218179342949216,0,1.0
2,-0.00024414320850319295,-0.16312909248368876,-0.013612761298460776,0.281185059903216,1,1.0
3,-0.0035067250581769685,0.03218436342191533,-0.007989060100396456,-0.015760007840112944,0,1.0
4,-0.0028630377897386618,-0.16282210910964648,-0.008304260257198715,0.27439160759452996,1,1.0
5,-0.006119479971931591,0.03241733676436806,-0.002816428105308115,-0.020898887837239588,0,1.0
6,-0.00547113323664423,-0.16266411094133404,-0.0032344058620529066,0.27089409437517475,1,1.0
7,-0.00872441545547091,0.03250384511102178,0.002183476025450589,-0.022807222075355515,0,1.0
8,-0.008074338553250475,-0.16264935106404016,0.0017273315839434786,0.270563815824379,1,1.0
9,-0.01132732557453128,0.032447908513644874,0.007138607900431058,-0.021573801729089404,0,1.0
10,-0.010678367404258381,-0.16277568614077723,0.00670713186584927,0.2733528617765151,1,1.0
11,-0.013933881127073926,0.03224992487616185,0.012174189101379572,-0.01720709277875837,0,1.0
12,-0.01328888262955069,-0.16304448345920408,0.011830047245804404,0.27929193460872437,1,1.0
13,-0.01654977229873477,0.03190672740705133,0.01741588593797889,-0.009636466594540372,0,1.0
14,-0.015911637750593743,-0.1634606055493321,0.017223156606088082,0.2884901024911677,1,1.0
15,-0.019180849861580383,0.031411558324866445,0.022992958655911437,0.0012885680503138541,1,1.0
16,-0.018552618695083054,0.226196339462754,0.023018730016917715,-0.28405203928331485,0,1.0
17,-0.014028691905827975,0.030753770434420208,0.017337689231251417,0.015801058505839183,1,1.0
18,-0.01341361649713957,0.22562284219144554,0.017653710401368202,-0.2713615923924156,0,1.0
19,-0.00890115965331066,0.030253486448802297,0.01222647855351989,0.026836698023241012,1,1.0
20,-0.008296089924334614,0.22519798593033774,0.01276321251398471,-0.26196370011426096,0,1.0
21,-0.0037921302057278587,0.029896193702373508,0.007523938511699491,0.034717410217603106,1,1.0
22,-0.0031942063316803887,0.22490944578983144,0.008218286716051553,-0.25558217117652743,0,1.0
23,0.0013039825841162402,0.02967112619631898,0.003106643292521004,0.03968156753411284,1,1.0
24,0.0018974051080426198,0.2247483909031276,0.003900274643203261,-0.25201956581636303,0,1.0
25,0.006392372926105171,0.029570963531370037,-0.0011401166731239993,0.04189102628185698,1,1.0
26,0.006983792196732572,0.2247092451663118,-0.0003022961474868597,-0.2511514001596395,0,1.0
27,0.011477977100058809,0.029591612017470542,-0.00532532415067965,0.04143616112479476,1,1.0
28,0.01206980934040822,0.22478952077180664,-0.0044966009281837555,-0.2529221881923498,0,1.0
29,0.016565599755844353,0.029732064471176906,-0.00955504469203075,0.03833904208424149,1,1.0
30,0.01716024104526789,0.22498972261134,-0.008788263850345921,-0.2573432155175114,0,1.0
31,0.02166003549749469,0.02999433559899589,-0.013935128160696149,0.032554853616190316,1,1.0
32,0.022259922209474606,0.22531332158876213,-0.013284031088372342,-0.2644919744910772,0,1.0
33,0.026766188641249848,0.030383470605361784,-0.018573870578193888,0.023971613294307526,1,1.0
34,0.027373858053357084,0.2257667951291166,-0.018094438312307736,-0.2745132251444223,0,1.0
35,0.031889193955939414,0.030907625454483334,-0.02358470281519618,0.012408207153750128,1,1.0
36,0.032507346465029084,0.22635973337488502,-0.02333653867212118,-0.2876216798874365,0,1.0
37,0.037034541132526785,0.031578217799815816,-0.02908897226986991,-0.002389280201810118,0,1.0
38,0.0376661054885231,-0.16311473947875144,-0.02913675787390611,0.2809756553664629,1,1.0
39,0.03440381069894807,0.032410452919650085,-0.02351724476657685,-0.02075264342608124,0,1.0
40,0.035052019757341076,-0.16236648006213006,-0.023932297635098475,0.26441853449298275,1,1.0
41,0.03180469015609848,0.033088742228759266,-0.01864392694523882,-0.035715765867147864,0,1.0
42,0.03246646500067366,-0.16176095774701724,-0.019358242262581777,0.25102699185367455,1,1.0
43,0.029231245845733316,0.03363200259035906,-0.014337702425508286,-0.04769850174198176,0,1.0
44,0.0299038858975405,-0.16128145337073552,-0.01529167246034792,0.24042649139525846,1,1.0
45,0.02667825683012579,0.03405556434785109,-0.010483142632442752,-0.05704035483490383,0,1.0
46,0.02735936811708281,-0.16091451982086039,-0.011623949729140829,0.23231671421680195,1,1.0
47,0.024141077720665604,0.03437157817168757,-0.00697761544480479,-0.06401000751944119,0,1.0
48,0.024828509284099354,-0.16064964022459663,-0.008257815595193613,0.22646329654364244,1,1.0
49,0.02161551647960742,0.03458934745137354,-0.0037285496643207645,-0.06881296998733383,0,1.0
50,0.022307303428634892,-0.16047895020244674,-0.005104809064067441,0.22269125154264663,1,1.0
51,0.019097724424585957,0.03471559101239066,-0.0006509840332145078,-0.07159755269245782,0,1.0
52,0.01979203624483377,-0.16039702135164025,-0.0020829350870636646,0.22087991454769546,1,1.0
53,0.016584095817800966,0.03475464102263279,0.002334663203890245,-0.07245932647025377,0,1.0
54,0.01727918863825362,-0.16040070276999352,0.0008854766744851694,0.22095928178450647,1,1.0
55,0.01407117458285375,0.03470858040842892,0.005304662310175299,-0.07144419814050879,0,1.0
56,0.014765346191022329,-0.1604890176835696,0.0038757783473651235,0.22290764284845882,1,1.0
57,0.011555565837350935,0.03457732323540788,0.008333931204334299,-0.06855019488657527,0,1.0
58,0.012247112302059092,-0.16066311281811158,0.006962927306602793,0.22675043643228443,1,1.0
59,0.00903385004569686,0.03435864050485471,0.011497936035248481,-0.06372801815835782,0,1.0
60,0.009721022855793956,-0.1609262588775126,0.010223375672081324,0.23256028697183218,1,1.0
61,0.006502497678243704,0.034048132781140855,0.014874581411517967,-0.05688039689507235,0,1.0
62,0.00718346033386652,-0.16128390124265862,0.01373697347361652,0.2404582070395398,1,1.0
63,0.003957782309013348,0.03363915007618651,0.018546137614407317,-0.047860240055304926,0,1.0
64,0.004630565310537078,-0.1617437606836591,0.01758893281330122,0.2506159766012808,1,1.0
65,0.0013956900968638965,0.03312265854318511,0.022601252345326835,-0.03646755933723905,0,1.0
66,0.0020581432677275985,-0.16231598438523104,0.021871901158582053,0.2632597357585023,1,1.0
67,-0.0011881764199770223,0.032487052863988064,0.0271370958737521,-0.02244510422311774,1,1.0
68,-0.0005384353626972611,0.22720953283893097,0.026688193789289744,-0.30644395536125757,0,1.0
69,0.004005755294081358,0.031717646343308814,0.02055931468206459,-0.005465152592092237,0,1.0
70,0.004640108220947534,-0.1636930290082177,0.020450011630222746,0.29363292739416164,1,1.0
