"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",12
"10",13
"11",14
"12",15
"13",16
"14",17
"15",18
"16",19
"17",20
"18",21
"19",23
"20",24
"21",25
"22",26
"23",27
"24",28
"25",29
"26",30
"27",32
"28",34
"29",35
"30",36
"31",37
"32",38
"33",39
"34",40
"35",41
"36",42
"37",43
"38",45
"39",46
"40",47
"41",48
"42",49
"43",50
"44",51
"45",52
"46",54
"47",56
"48",57
"49",58
"50",59
"51",60
"52",61
"53",62
"54",63
"55",64
"56",65
"57",67
"58",68
"59",69
"60",70
"61",71
"62",72
"63",73
"64",74
"65",75
"66",76
"67",78
"68",80
"69",81
"70",82
"71",83
"72",84
"73",85
"74",86
"75",87
"76",89
"77",90
"78",91
"79",92
"80",93
"81",94
"82",95
"83",96
"84",97
"85",98
"86",100
"87",101
"88",102
"89",103
"90",104
"91",105
"92",106
"93",107
"94",108
"95",109
"96",122
"97",133
"98",144
"99",155
"100",156
"101",157
"102",158
"103",166
"104",167
"105",168
"106",169
"107",170
"108",171
"109",172
"110",177
"111",178
"112",179
"113",180
"114",181
"115",182
"116",183
"117",188
"118",189
"119",190
"120",191
"121",192
"122",193
"123",194
"124",195
"125",201
"126",202
"127",203
"128",204
"129",205
"130",206
"131",207
"132",210
"133",211
"134",212
"135",213
"136",214
"137",215
"138",216
"139",217
"140",218
"141",219
"142",221
"143",222
"144",223
"145",224
"146",225
"147",226
"148",227
"149",228
"150",229
"151",230
"152",243
"153",254
"154",265
"155",276
"156",287
"157",298
"158",309
"159",310
"160",311
"161",314
"162",315
"163",321
"164",322
"165",323
"166",324
"167",325
"168",326
"169",327
"170",331
"171",332
"172",333
"173",334
"174",335
"175",336
"176",337
"177",338
"178",339
"179",342
"180",343
"181",344
"182",345
"183",346
"184",347
"185",348
"186",349
"187",350
"188",351
"189",375
"190",419
"191",430
"192",431
"193",434
"194",436
"195",442
"196",443
"197",444
"198",445
"199",446
"200",447
"201",448
"202",453
"203",454
"204",455
"205",456
"206",457
"207",458
"208",459
"209",460
"210",461
"211",464
"212",465
"213",466
"214",467
"215",468
"216",469
"217",470
"218",471
"219",472
"220",496
"221",518
"222",540
"223",551
"224",553
"225",562
"226",563
"227",564
"228",565
"229",567
"230",568
"231",573
"232",574
"233",575
"234",576
"235",577
"236",578
"237",579
"238",580
"239",581
"240",582
"241",584
"242",585
"243",586
"244",587
"245",588
"246",589
"247",590
"248",591
"249",592
"250",593
"251",661
"252",672
"253",673
"254",674
"255",676
"256",678
"257",683
"258",684
"259",685
"260",686
"261",687
"262",689
"263",694
"264",695
"265",696
"266",697
"267",698
"268",699
"269",700
"270",701
"271",702
"272",703
"273",706
"274",707
"275",708
"276",709
"277",710
"278",711
"279",712
"280",713
"281",714
"282",738
"283",782
"284",793
"285",794
"286",804
"287",805
"288",806
"289",807
"290",808
"291",809
"292",815
"293",816
"294",817
"295",818
"296",819
"297",820
"298",821
"299",822
"300",823
"301",824
"302",827
"303",828
"304",829
"305",830
"306",831
"307",832
"308",833
"309",834
"310",835
"311",881
"312",903
"313",914
"314",915
"315",926
"316",927
"317",929
"318",930
"319",931
"320",932
"321",936
"322",937
"323",938
"324",939
"325",940
"326",941
"327",942
"328",943
"329",944
"330",945
"331",947
"332",948
"333",949
"334",950
"335",951
"336",952
"337",953
"338",954
"339",955
"340",956
"341",1002
"342",1024
"343",1035
"344",1049
"345",1052
"346",1057
"347",1058
"348",1059
"349",1060
"350",1061
"351",1062
"352",1063
"353",1064
"354",1065
"355",1068
"356",1069
"357",1070
"358",1071
"359",1072
"360",1073
"361",1074
"362",1075
"363",1076
"364",1077
"365",1101
"366",1123
"367",1145
"368",1156
"369",1167
"370",1178
"371",1179
"372",1180
"373",1181
"374",1182
"375",1183
"376",1184
"377",1189
"378",1190
"379",1191
"380",1192
"381",1193
"382",1194
"383",1195
"384",1196
"385",1197
"386",1198
"387",1332
"388",1333
"389",1334
"390",1335
"391",1336
"392",1337
"393",1338
"394",1339
"395",1340
"396",1343
"397",1344
"398",1345
"399",1346
"400",1347
"401",1348
"402",1349
"403",1350
"404",1351
"405",1352
"406",1354
"407",1355
"408",1356
"409",1357
"410",1358
"411",1359
"412",1360
"413",1361
"414",1363
"415",1365
"416",1366
"417",1367
"418",1368
"419",1369
"420",1370
"421",1371
"422",1372
"423",1373
"424",1374
"425",1378
"426",1379
"427",1380
"428",1382
"429",1383
"430",1384
"431",1385
"432",1390
"433",1391
