"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",0
"10",0
"11",0
"12",9
"13",10
"14",11
"15",12
"16",13
"17",14
"18",15
"19",16
"20",17
"21",18
"22",0
"23",19
"24",20
"25",21
"26",22
"27",23
"28",24
"29",25
"30",26
"31",0
"32",27
"33",0
"34",28
"35",29
"36",30
"37",31
"38",32
"39",33
"40",34
"41",35
"42",36
"43",37
"44",0
"45",38
"46",39
"47",40
"48",41
"49",42
"50",43
"51",44
"52",45
"53",0
"54",46
"55",0
"56",47
"57",48
"58",49
"59",50
"60",51
"61",52
"62",53
"63",54
"64",55
"65",56
"66",0
"67",57
"68",58
"69",59
"70",60
"71",61
"72",62
"73",63
"74",64
"75",65
"76",66
"77",0
"78",67
"79",0
"80",68
"81",69
"82",70
"83",71
"84",72
"85",73
"86",74
"87",75
"88",0
"89",76
"90",77
"91",78
"92",79
"93",80
"94",81
"95",82
"96",83
"97",84
"98",85
"99",0
"100",86
"101",87
"102",88
"103",89
"104",90
"105",91
"106",92
"107",93
"108",94
"109",95
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",96
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",97
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",98
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",99
"156",100
"157",101
"158",102
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",103
"167",104
"168",105
"169",106
"170",107
"171",108
"172",109
"173",0
"174",0
"175",0
"176",0
"177",110
"178",111
"179",112
"180",113
"181",114
"182",115
"183",116
"184",0
"185",0
"186",0
"187",0
"188",117
"189",118
"190",119
"191",120
"192",121
"193",122
"194",123
"195",124
"196",0
"197",0
"198",0
"199",0
"200",0
"201",125
"202",126
"203",127
"204",128
"205",129
"206",130
"207",131
"208",0
"209",0
"210",132
"211",133
"212",134
"213",135
"214",136
"215",137
"216",138
"217",139
"218",140
"219",141
"220",0
"221",142
"222",143
"223",144
"224",145
"225",146
"226",147
"227",148
"228",149
"229",150
"230",151
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",152
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",153
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",154
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",155
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",156
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",157
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",158
"310",159
"311",160
"312",0
"313",0
"314",161
"315",162
"316",0
"317",0
"318",0
"319",0
"320",0
"321",163
"322",164
"323",165
"324",166
"325",167
"326",168
"327",169
"328",0
"329",0
"330",0
"331",170
"332",171
"333",172
"334",173
"335",174
"336",175
"337",176
"338",177
"339",178
"340",0
"341",0
"342",179
"343",180
"344",181
"345",182
"346",183
"347",184
"348",185
"349",186
"350",187
"351",188
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",189
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",0
"418",0
"419",190
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",191
"431",192
"432",0
"433",0
"434",193
"435",0
"436",194
"437",0
"438",0
"439",0
"440",0
"441",0
"442",195
"443",196
"444",197
"445",198
"446",199
"447",200
"448",201
"449",0
"450",0
"451",0
"452",0
