"","x"
"1",1
"2",1
"3",1
"4",1
"5",0
"6",0
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",0
"16",0
"17",1
"18",1
"19",1
"20",0
"21",1
"22",1
"23",0
"24",1
"25",1
"26",1
"27",1
"28",0
"29",1
"30",0
"31",1
"32",0
"33",0
"34",0
"35",0
"36",1
"37",1
"38",1
"39",1
"40",1
"41",0
"42",0
"43",1
"44",1
"45",1
"46",1
"47",0
"48",1
"49",1
"50",1
"51",1
"52",0
"53",0
"54",1
"55",0
"56",0
"57",0
"58",0
"59",0
"60",1
"61",0
"62",1
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",1
"71",0
"72",0
"73",1
"74",1
"75",0
"76",0
"77",0
"78",1
"79",1
"80",0
"81",0
"82",0
"83",1
"84",1
"85",1
"86",0
"87",1
"88",0
"89",0
"90",1
"91",0
"92",0
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",0
"118",1
"119",1
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",0
"127",1
"128",0
"129",0
"130",1
"131",1
"132",0
"133",0
"134",0
"135",0
"136",1
"137",0
"138",0
"139",0
"140",0
"141",1
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",1
"153",1
"154",1
"155",1
"156",1
"157",1
"158",1
"159",1
"160",1
"161",1
"162",1
"163",1
"164",1
"165",1
"166",1
"167",1
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",1
"175",1
"176",0
"177",0
"178",1
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",1
"190",1
"191",1
"192",1
"193",1
"194",1
"195",1
"196",1
"197",1
"198",1
"199",1
"200",1
"201",1
"202",1
"203",1
"204",1
"205",1
"206",1
"207",0
"208",1
"209",0
"210",1
"211",0
"212",1
"213",0
"214",0
"215",0
"216",1
"217",0
"218",0
"219",0
"220",1
"221",1
"222",1
"223",1
"224",1
"225",1
"226",1
"227",1
"228",1
"229",1
"230",1
"231",1
"232",1
"233",1
"234",1
"235",1
"236",0
"237",1
"238",1
"239",1
"240",1
"241",1
"242",1
"243",1
"244",0
"245",1
"246",0
"247",1
"248",0
"249",1
"250",0
"251",1
"252",1
"253",1
"254",1
"255",1
"256",1
"257",1
"258",1
"259",1
"260",1
"261",1
"262",1
"263",0
"264",1
"265",1
"266",1
"267",1
"268",1
"269",1
"270",1
"271",1
"272",1
"273",1
"274",1
"275",0
"276",1
"277",1
"278",0
"279",1
"280",0
"281",1
"282",1
"283",1
"284",1
"285",1
"286",1
"287",1
"288",1
"289",1
"290",1
"291",1
"292",1
"293",1
"294",0
"295",1
"296",1
"297",0
"298",1
"299",1
"300",1
"301",1
"302",0
"303",1
"304",1
"305",1
"306",0
"307",0
"308",0
"309",1
"310",1
"311",1
"312",1
"313",1
"314",1
"315",1
"316",1
"317",1
"318",1
"319",1
"320",1
"321",1
"322",0
"323",1
"324",1
"325",1
"326",1
"327",0
"328",1
"329",0
"330",1
"331",0
"332",1
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",1
"341",0
"342",1
"343",0
"344",1
"345",1
"346",0
"347",0
"348",1
"349",1
"350",0
"351",1
"352",0
"353",1
"354",1
"355",0
"356",0
"357",0
"358",0
"359",1
"360",0
"361",0
"362",0
"363",0
"364",0
"365",1
"366",1
"367",1
"368",1
"369",1
"370",0
"371",1
"372",0
"373",0
"374",1
"375",1
"376",1
"377",0
"378",0
"379",0
"380",0
"381",1
"382",1
"383",0
"384",0
"385",0
"386",0
"387",1
"388",1
"389",1
"390",0
"391",0
"392",0
"393",1
"394",1
"395",1
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0
"404",1
"405",1
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0
"412",1
"413",0
"414",0
"415",0
"416",1
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",1
"424",0
"425",1
"426",1
"427",1
"428",0
"429",0
"430",1
"431",0
"432",1
"433",0
"434",0
"435",1
"436",0
"437",1
"438",0
"439",0
"440",1
"441",0
"442",1
"443",0
"444",0
"445",0
"446",0
"447",0
"448",1
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",1
"456",0
"457",0
"458",0
"459",1
"460",1
"461",1
"462",1
"463",1
"464",1
"465",1
"466",0
"467",1
"468",1
"469",1
"470",1
"471",1
"472",1
"473",1
"474",1
"475",1
"476",1
"477",1
"478",1
"479",1
"480",1
"481",1
