"","CartPos","CartVelocity","PoleAngle","PoleVelocity","CONSTANT"
"1",-5.25766959528268e-08,0.0200000215384626,-1.4892432257066e-07,9.8820501205209e-09,-1.58006777003773e-10
"2",-2.44853485507102e-08,0.0199999978373636,-4.41324550064622e-08,-1.0172547291263e-09,-1.97357531862813e-09
"3",-6.36821276505944e-08,0.0200000022445646,-7.20101030338084e-08,1.50814520195899e-08,2.18121651640111e-09
"4",1.49412625631636e-07,0.0199999506292603,8.88124029412326e-08,-3.13711430630574e-08,5.28456603847063e-09
"5",-1.06248741884825e-07,0.0200000391874657,-1.98777930814671e-07,3.39874144547349e-08,7.64432945944454e-10
"6",2.90380338310566e-08,0.0200000075852514,-1.288800734287e-08,2.75922334868726e-08,1.07744628458952e-08
"7",8.59031962756238e-08,0.0199999830277589,-3.54792862965203e-08,1.70250484562709e-09,-9.86552660323196e-10
"8",1.11583193238508e-07,0.0199999583740993,7.93287926134342e-08,-1.67999329710607e-08,1.87118732520828e-09
"9",9.10276523551369e-08,0.0199999472051675,9.76461750966426e-08,-3.90417537467055e-08,3.89044562646886e-10
"10",3.0854492871624e-08,0.0200000025115211,-3.6570427108042e-08,7.87319816064464e-09,-2.13114166925951e-10
"11",-6.51590749620053e-09,0.02000001774174,-9.49607080192787e-08,1.89496019685396e-08,4.04431058648482e-09
"12",-1.1201708132523e-07,0.0200000626808896,-1.9321124827423e-07,3.88476404666214e-08,-6.07331482826747e-09
"13",1.3111933492364e-08,0.0199999732975084,2.08213197018304e-07,-3.57863584730628e-08,-7.04610632974835e-09
"14",1.84321116207883e-08,0.0199999751341157,8.00189983980857e-08,-1.79196198907188e-08,2.365671956765e-09
"15",2.37352452573002e-08,0.0199999855679715,1.08806736140151e-07,-1.72922930057927e-08,-2.78059342444343e-10
"16",1.83621047149048e-08,0.0199999657527606,2.1568315224742e-07,-6.35142472723965e-08,-7.56525220163373e-09
"17",-8.7166606188789e-08,0.0200000473358986,-1.02783524336275e-07,4.22365404572508e-08,1.01977756316185e-08
"18",-2.13491603070196e-08,0.0200000042576432,-2.58812818719563e-08,-1.68971911536916e-09,3.70826092460037e-09
"19",-1.16905199674711e-07,0.0200000340936183,-1.09458429129227e-07,1.37141884538047e-08,-5.6697282853838e-09
"20",-1.02088691774949e-07,0.020000037693626,-1.07067988493976e-07,2.58353541509221e-08,7.23079238948976e-10
"21",-8.5950486825145e-08,0.0200000744769971,-1.25044554821591e-07,5.58957932118484e-08,-7.3591638328412e-10
"22",6.1770784553167e-08,0.0199999720188428,1.64692755220102e-07,-2.69948010483549e-08,-5.32853288712885e-09
"23",-9.48241712013077e-08,0.0200000127077417,-3.69006479843691e-08,6.40477533169726e-09,1.09661221681569e-09
"24",-5.12436302880639e-08,0.0200000224322244,-8.95278043671751e-08,2.49770526711936e-08,6.20789562560585e-09
"25",-1.68222075322327e-07,0.0200000992189992,-1.71452381218916e-07,6.01142789425326e-08,-2.69850061499491e-09
"26",1.74179232980167e-07,0.0199999267003263,1.12209029213134e-07,-4.52158846433768e-08,2.20144908112557e-09
"27",-8.44353263642626e-08,0.0200000248663921,-1.49681171244127e-07,2.11231998012574e-08,-9.93713291842667e-11
"28",-2.4435791387011e-07,0.0200000905829658,-3.46921568225698e-07,6.68565304743723e-08,-1.10434675361624e-08
"29",-2.65540373518426e-08,0.0200000175157755,-9.59931330792272e-08,1.05176964856168e-08,-9.57567481352317e-10
"30",4.97606607787814e-09,0.020000029249686,-1.01153922048984e-07,2.50879618877541e-08,-4.61309940496186e-09
"31",-4.81102666961195e-08,0.0200000073114055,-3.09579912792343e-08,9.98571211809339e-09,1.61609366721057e-09
"32",-1.06709578735273e-07,0.0200000323027005,-1.43877274735959e-07,1.84290169923535e-08,-3.17215809693712e-09
"33",-9.59693015442497e-08,0.0200000589966615,-1.67114005349171e-07,4.4517070809593e-08,-1.43444878062927e-09
"34",1.3013360585549e-07,0.0199999398568144,1.57740223708797e-07,-4.59517423506617e-08,2.72464439583593e-09
"35",-3.24337651422723e-08,0.0200000012428352,5.43771978534286e-08,-5.72560721903678e-09,5.30731877625686e-09
"36",-8.05824593525623e-09,0.0199999967367658,-5.79233807035152e-08,1.32240472190473e-08,-3.83944531581085e-09
"37",-1.09179594332585e-07,0.0200001210550118,-2.49100781806648e-07,9.6504155102294e-08,8.74342357911467e-09
"38",2.4457903389946e-07,0.0199998963399843,2.30619586800744e-07,-7.5123036318501e-08,4.34279422854356e-10
"39",-9.97433685863449e-08,0.0200000271581027,-1.21992173099613e-07,1.89515068894369e-08,-6.2270681810549e-09
"40",1.52039609125759e-09,0.019999965233522,4.2854763605749e-08,-2.57120829486858e-08,3.79912724267035e-09
"41",5.25143970750002e-08,0.0199999394380659,2.17075223522591e-07,-5.43993084425275e-08,-3.50497994943635e-09
"42",-1.37931818527695e-07,0.0200000666623979,-1.84249116408198e-07,5.54552632287404e-08,-3.65216486999565e-09
"43",2.12527148357735e-08,0.0199999820647792,2.14180341246412e-08,-1.98336683702872e-08,1.07387766807952e-09
"44",-7.54737986659444e-08,0.0200000523364041,-1.74005326635296e-07,5.02515517632138e-08,8.05557132432743e-09
"45",-5.36766799213601e-08,0.0200000077988828,4.84277018408462e-08,-7.54759235425304e-09,-2.2369382770769e-10
"46",-7.81921072733124e-08,0.0200000253751941,-7.73493582844923e-08,1.39614147171301e-08,-7.38742707666015e-10
"47",8.20622297815528e-08,0.0199999649748055,3.43189614413623e-08,-2.65699259287668e-08,-5.4725497798212e-10
"48",-1.70321372507287e-07,0.0200000938675301,-1.11580816100572e-07,6.11578195120468e-08,-1.01034634577974e-08
"49",-1.50950047604164e-07,0.0200000999145946,-1.06870338522167e-07,4.62040017998571e-08,-3.60494283221667e-09
"50",-9.53809425604291e-08,0.020000056107135,-1.17123716625808e-07,3.549438366035e-08,9.15858117568783e-10
"51",7.04476910437099e-08,0.0199999721028977,4.67061330505718e-08,-1.01189543761964e-08,1.04452526334234e-10
"52",-8.23802461912284e-08,0.0200000307878768,-8.51046802327819e-08,1.41925565795069e-08,-1.10029139205838e-09
"53",-1.94918248791017e-08,0.0200000134210977,-5.27365418850734e-08,1.09482861530473e-08,-3.54749965017679e-09
"54",-2.83724432908629e-08,0.0200000133284986,-5.210365130901e-08,1.48008368938396e-08,-1.02923727431056e-09
"55",-1.24585592978276e-07,0.0200000830577125,-1.80476504996525e-07,5.71258686606936e-08,-6.64759935392075e-09
"56",-1.2555244703214e-07,0.0200000657130355,-1.35595046134507e-07,4.62177970391987e-08,6.14813699087488e-09
"57",1.93817701132141e-08,0.0199999802067851,1.44830088107027e-07,-2.29520991362198e-08,-2.2093854211682e-09
"58",-1.75803534639622e-07,0.020000076551358,-2.03089845510105e-07,4.43784597252949e-08,-2.38154324527132e-09
"59",-2.29786955041458e-08,0.0200000196930448,-4.91208041509627e-08,2.1710964677263e-08,-2.58859234211073e-09
"60",4.14193246077702e-08,0.0200000263889965,1.94721096232728e-08,2.93021037352858e-08,9.64538438633843e-09
"61",-1.70789028246301e-07,0.0200000935979485,-2.45672613686589e-07,6.66665211042464e-08,-4.05026729697972e-09
"62",-6.92566023222526e-10,0.0200000196782979,-1.18102689446737e-07,2.04257795159679e-08,4.55759501043043e-10
"63",4.46311911487799e-08,0.0200000327251774,-1.51384478138244e-07,4.25820156851481e-08,-8.21363777405602e-09
"64",2.61918574144948e-08,0.0199999949460972,4.63330917532504e-09,-8.71238103154278e-09,-8.3626417939647e-09
"65",6.50349656352175e-08,0.0200000115536745,-9.19688852129509e-08,2.08092043777629e-08,-5.01655115020609e-09
"66",1.28533340487036e-07,0.0199999225135573,1.89447601482224e-07,-6.15624066118443e-08,-1.9326328907124e-09
"67",-1.66615147022551e-07,0.0200000997490645,-2.38516909635569e-07,7.5138892075438e-08,5.91518452285601e-10
"68",2.91551059230092e-10,0.0200000058731856,-4.58383420846196e-08,6.52199688364955e-09,-1.61284921178068e-09
"69",1.015752436399e-07,0.0199999455635005,1.24326964963466e-07,-4.54215912167072e-08,1.03578785507669e-08
"70",1.63942310679247e-08,0.0200000196939942,5.27053773255809e-08,-1.12186750557575e-09,5.10531788857361e-09
"71",6.77315494949255e-08,0.0199999789058331,9.58802953538705e-08,-2.10184266797495e-08,1.29137486622918e-09
"72",-9.54837719352056e-08,0.0200000294885243,-8.38474956904793e-08,1.86762810911948e-08,3.41859829514953e-10
"73",7.23276418892326e-10,0.0199999674138169,9.07255762256678e-08,-2.86565794222781e-08,2.2578607480593e-09
"74",-6.3447584126742e-08,0.0200000332063979,-1.12406755820215e-07,3.50276710963588e-08,4.68064403452057e-09
"75",6.36009191777735e-08,0.0200000362213178,-8.46880156165143e-08,3.90038141348269e-08,6.2504935766949e-09
"76",-1.09463929899466e-08,0.0199999897250838,1.50515218907704e-08,-5.71670651093413e-09,-6.33197582952294e-09
"77",-2.5937743896341e-08,0.020000026064905,-2.88333695708451e-07,4.60016928655506e-08,1.32198566239315e-08
"78",-2.14158051619032e-08,0.0200000331867865,-9.27375700249278e-08,2.6602241427917e-08,2.16148740153709e-09
"79",-3.38722175600962e-08,0.0200000342236193,-1.02823921140246e-07,2.83479473477753e-08,2.90325057680083e-09
"80",4.01888112342439e-08,0.0199998788339638,3.17180292708821e-07,-9.91075711176842e-08,-1.08273495694657e-08
"81",1.04791352763473e-08,0.0199999876095237,-1.32395768783231e-08,3.41192346359548e-09,-8.05067504995046e-09
"82",1.61682671788017e-07,0.019999946815094,2.64781388771047e-07,-4.32123704062327e-08,1.08373290966099e-09
"83",1.91548661124192e-08,0.0199999405762092,2.49693019197554e-07,-5.99276564620994e-08,-1.76511827935833e-09
"84",-1.4620628070226e-07,0.020000087257,-2.40150270590463e-07,6.51187984858936e-08,-6.69053894439983e-09
"85",1.38576248347935e-08,0.0200000225748665,-7.18128258437321e-08,2.51356925434606e-08,2.57574592890771e-10
"86",-1.02207754796012e-07,0.0200000520006944,-7.85545167833161e-08,2.64440435363799e-08,1.25073491050652e-09
"87",5.87591547075194e-08,0.0199999770191957,6.94545770696759e-08,-1.1542433400828e-08,-1.91600768264019e-09
"88",-2.60014002566747e-08,0.0200000373216948,-1.57220943331302e-07,3.45316138744342e-08,-1.26526370843809e-09
"89",1.17111853481117e-07,0.0199999491376324,2.18011300684407e-07,-4.12924606970821e-08,-2.95667234586196e-10
"90",-4.42354050312063e-08,0.020000006461574,-1.80720859086874e-07,1.10840919631846e-08,-1.68439916790924e-09
"91",1.33735155564906e-07,0.0199999410186693,2.26181114162384e-07,-4.8647039965726e-08,3.78815613847323e-09
"92",-2.2857203342068e-08,0.0200000354225892,-8.2830403052712e-08,2.81578248454699e-08,2.09016627982816e-09
"93",-7.72801996350078e-08,0.0200000300452218,-1.15384982714012e-07,3.25404154609564e-08,4.66564560109029e-09
"94",-4.044846290103e-08,0.0200000341080337,-1.07031039165294e-07,3.60581739942817e-08,-1.77909816191688e-09
"95",-3.98947710072773e-09,0.019999989214647,6.29591367480029e-08,-1.27146886474054e-08,4.18960052813819e-09
"96",1.48378647433805e-08,0.0199999770853299,3.82390056446223e-08,-2.03202791176632e-08,-3.39663436455439e-09
"97",-5.76529698097601e-08,0.0199999954122258,2.51631684837558e-08,-4.89530308318717e-09,-1.18614721842444e-09
"98",-2.20231608108611e-08,0.0200000340874616,-5.66323328325033e-08,1.70496277613747e-08,-1.63366713419421e-09
"99",-3.22461128915673e-08,0.0200000140774028,-1.021269517889e-07,5.81714144973447e-09,7.74083087781487e-09
"100",-7.97397998859662e-08,0.0200000343601487,-1.17774688223058e-07,3.54264353034816e-08,1.71711627857508e-09
"101",-1.22442685093451e-07,0.0200000447124716,-9.08091955665236e-08,3.35397542198072e-08,5.91487459064781e-09
"102",1.95401052837249e-08,0.0199999987378694,5.49967985875132e-08,-1.79044203309225e-10,-3.20877731069737e-09
"103",2.44713517023458e-08,0.0199999716575176,3.20023253519023e-08,-1.6683901702346e-08,3.74663516411028e-09
"104",4.89879754668129e-08,0.0199998776117515,3.29332190294373e-07,-1.02569270534062e-07,7.53756465701497e-10
"105",6.95696296074964e-08,0.0199999471380911,1.6703328499893e-07,-3.75015499156297e-08,3.95620900305806e-09
"106",1.6725860144195e-07,0.0199999613737951,9.63083937905312e-08,-2.05675156371054e-08,-7.49939200095434e-10
"107",8.66609625990538e-08,0.0199999455760297,1.93751103594248e-07,-3.75327288862078e-08,9.47567747692015e-09
"108",3.72549738529747e-08,0.0199999796875588,1.28410520789184e-07,-2.63566647147719e-08,5.32758720272091e-09
"109",-3.90258446407267e-08,0.0200000081568005,-1.73291230289775e-07,1.95096464653116e-08,-2.41191207947076e-10
"110",1.39275090996575e-08,0.0199999749010311,6.77621876158714e-08,-2.84292935489175e-08,2.78643128415375e-09
"111",7.02568059086542e-08,0.0199999767885484,-6.57527325797399e-09,-9.29754717188410e-09,1.70564821768514e-09
"112",3.30228385384128e-08,0.0200000177879747,-1.13116244331524e-07,1.62762535690967e-08,-3.95809018384959e-09
"113",-1.06558612470506e-07,0.0200000850002786,-1.5225279486001e-07,5.95964920141519e-08,1.97442217310825e-09
"114",2.37063540108575e-08,0.019999980865259,4.06245475458001e-08,-1.26704999684958e-08,6.38413334871502e-10
"115",8.15250244657131e-08,0.0199999156028088,1.83195439281367e-07,-4.59999422597361e-08,2.98642464575078e-09
"116",8.65235744237711e-09,0.0200000156602784,-6.4237385502943e-08,1.50654101635121e-08,-4.85435207351758e-10
"117",8.4806479854011e-08,0.0199999678995922,1.48872040926583e-07,-2.81235899624562e-08,-3.61323793606648e-09
"118",-1.12192375826636e-07,0.0200000831725538,-2.86544077035424e-07,7.33105135275193e-08,-2.44511822023959e-09
"119",-1.38716269595905e-07,0.0200001359831636,-3.72557140403763e-07,9.91320995511253e-08,3.69461838263119e-09
"120",4.55086075298936e-08,0.019999974824918,-5.97833110682697e-08,-2.35906824627744e-09,1.53624572404362e-09
"121",-5.92030516564978e-08,0.0200000494907509,-3.3422743462193e-08,2.03070608716265e-08,7.54507665793546e-09
"122",2.25067125310877e-09,0.02000004588608,-1.5809658403807e-07,4.95502642833787e-08,2.97890619205612e-09
"123",-2.29190087360653e-08,0.0199999880106523,3.67816679177053e-08,-2.24801347345508e-08,-6.89097461836830e-09
"124",7.67450164939027e-08,0.0199999348043697,2.21675624867906e-07,-3.6773060270974e-08,1.49739203750709e-09
"125",-8.37371835682662e-08,0.0200000550181839,-5.5209034390961e-08,1.91005588622376e-08,-5.92647136441521e-09
"126",-2.04245284537818e-08,0.0200000253763873,-6.19897418341301e-09,2.15831978667786e-08,-6.14673181000007e-09
"127",8.01760565215155e-08,0.0199999487658441,1.87074017546986e-07,-4.62428810802233e-08,4.4240481787661e-09
"128",-2.0689097350323e-07,0.0200000648459043,-2.0709394044096e-07,4.91988407728841e-08,1.87678958927459e-09
"129",-6.72752634487151e-08,0.0200000350091094,-4.60655575089917e-08,2.64746844314433e-08,-6.71506615268907e-10
"130",2.02587004427781e-07,0.0199999292513944,1.57541299941451e-07,-2.95058946287047e-08,9.93011324455912e-10
"131",-8.81208578981048e-08,0.0200000384871874,-1.82044103582056e-07,2.6101018104488e-08,-1.2534310268475e-09
"132",-1.13007029487968e-07,0.0200000311782478,-1.43633198287205e-07,2.086914583453e-08,-1.4574408309989e-09
"133",-1.86149783511746e-07,0.0200001148748977,-2.61829244522053e-07,7.1438223250976e-08,4.45073952318089e-09
"134",-3.74182425220956e-08,0.0200000029056126,-5.20011450009153e-08,1.23638924121687e-08,1.71912864079596e-09
"135",-1.42154417194313e-08,0.0199999839580774,2.0681974665492e-08,8.47084053537831e-09,-2.41558897201171e-09
"136",2.55844976390019e-08,0.0199999612714116,1.09667968428491e-07,-3.39587948729076e-08,-4.9982839196448e-09
"137",-2.17693442397526e-08,0.019999984694147,-5.2604160444578e-08,-1.8752647432133e-09,-4.71144804201551e-09
"138",-3.61250217293395e-09,0.0199999926587009,9.10709130570466e-08,-1.29309448634732e-08,-5.61961607280075e-09
"139",-9.37624485808079e-08,0.0200000302973045,1.40939961503596e-08,1.17596627532076e-08,3.52166733937e-09
"140",1.06582727360776e-07,0.0199999231423368,1.03330655426231e-07,-3.70763473022338e-08,7.04401207252829e-10
"141",2.29026979747791e-08,0.0199999697149248,1.48041015635602e-07,-1.57718986773799e-08,-2.37639050023643e-09
"142",-4.69234347637778e-08,0.0200000300604461,-4.18122257136919e-08,2.15653247135767e-08,7.10605388394103e-09
"143",7.26026582233389e-08,0.0199999258136388,7.62005556580132e-08,-5.43847607990666e-08,1.03461053323813e-08
"144",-1.87701426941369e-07,0.0200000699293223,-1.42253420519463e-07,5.67350180578432e-08,-5.3050374468078e-09
"145",1.86247396882208e-07,0.0199999317146651,2.33822167540427e-07,-5.44222169211053e-08,3.12922379954641e-09
"146",-8.44166258246017e-08,0.0200000530241225,-2.00618567265045e-07,5.07599517430139e-08,5.32478109140677e-09
"147",3.80133120415191e-08,0.0199999462469015,1.17838247156766e-07,-3.79940582984955e-08,-2.96093510391118e-09
"148",-1.94181513782954e-08,0.0199999949856982,-1.3869731198557e-07,6.90580693860962e-09,-1.54990318053031e-09
"149",-5.1413836025987e-08,0.0200000250746334,-1.04018391039592e-07,2.739158014547e-08,1.0381829173543e-09
"150",1.29008287745434e-07,0.0199999633021172,2.30296887863851e-07,-2.69955851558395e-08,-5.5699160700681e-09
"151",-3.21126984937885e-08,0.0200000326522588,-7.51783849082306e-08,2.59886577777089e-08,-1.04457047791186e-08
"152",6.93724289553631e-09,0.0200000011770668,-5.23411047440925e-08,2.57060405707333e-09,-1.68211542280638e-09
"153",-5.10688169986462e-08,0.0200000297909647,-1.89727639460425e-07,3.30307028740225e-08,-4.38612205790342e-09
"154",-8.42340370238298e-08,0.0200000532580719,-1.79219542402642e-07,3.58413454413021e-08,-6.94177101041433e-09
"155",-2.18046834505939e-07,0.0200001257454736,-3.29184856833159e-07,1.0205293840724e-07,1.5624117138368e-09
"156",3.28307840224742e-08,0.0200000164044308,-1.47242870957193e-07,2.79369730766921e-08,-2.13855826160501e-09
"157",4.02078551836458e-08,0.0200000013094853,-8.00518254961632e-08,1.71179129665514e-08,1.38007469493355e-09
"158",9.16288422153835e-08,0.0199999414533596,1.69680358082652e-07,-4.32077749981969e-08,-2.75079689953187e-09
"159",5.51983435292141e-08,0.0200000029692839,-7.85255799467612e-08,1.20756151313313e-08,-3.53825669796388e-09
"160",-5.0521849772699e-09,0.019999986761947,1.06962543808198e-07,-2.51368191232969e-08,6.19587298802558e-09
"161",-2.12524951240707e-08,0.0200000451422092,-2.89220773633172e-08,3.46788060677621e-08,1.31784834958657e-08
"162",-1.00950101109563e-07,0.0200000444756216,-1.39843548865348e-07,4.42849155609843e-08,-1.28299217873745e-09
"163",9.28180907275294e-08,0.019999961753726,1.41003379210997e-07,-2.76310510031703e-08,3.62848892163166e-09
"164",-2.29253619512649e-07,0.0200001421595131,-2.1220189070093e-07,8.35632214422106e-08,-3.58514541820707e-09
"165",6.49425807505424e-08,0.0199999913251376,-4.41182860632685e-08,3.54445734008021e-09,4.2809601417866e-09
"166",3.29260895233648e-09,0.0200000211394891,-1.00392390085919e-07,1.60277779648759e-08,-4.27416529996245e-09
"167",1.09685622210203e-07,0.0199999259104217,1.90964212328662e-07,-5.41236572272809e-08,-1.93402206603139e-10
"168",1.0030440065818e-07,0.0199999202331383,2.26995351200459e-07,-5.60808406014021e-08,1.74729782895576e-11
"169",-2.21108218561948e-08,0.0200000091745718,-7.27690983193925e-08,8.81672452383417e-09,2.69312201210228e-10
"170",-1.79409409210189e-07,0.0200000700561263,-2.42316596749398e-07,5.15828026504525e-08,3.44638879684613e-09
"171",-8.68426598946754e-08,0.0200000342824222,-7.70217377973586e-08,2.91268876854608e-08,-2.59501750075969e-09
"172",-1.34711811582907e-07,0.0200000510095451,-1.10096201798502e-07,2.9087436092177e-08,-1.95743651209665e-09
"173",7.09583714993236e-08,0.0199999653566519,8.59563692650245e-08,-1.70265280358489e-08,2.49924244358638e-09
"174",2.458405803653e-07,0.0199999084620776,2.00677179479294e-07,-4.72865016653525e-08,2.18925500534026e-09
"175",2.73504003051656e-07,0.0199998941811168,1.94127106532333e-07,-6.74190047260464e-08,-1.14469792197464e-08
"176",1.37809149005197e-07,0.0199999331862075,1.45987841923687e-07,-4.51389850751765e-08,-3.15439327003788e-09
"177",-2.96548135098246e-08,0.0200000128382193,-2.07157812689443e-08,-3.79902860039753e-11,-7.96518315919746e-09
"178",-1.10017155640235e-07,0.0200000753366103,-1.23206319655974e-07,5.17866758938239e-08,-5.73417518205911e-09
"179",7.37425271932329e-08,0.0199999599855411,1.09102025816825e-07,-2.33668117997839e-08,9.9763532410386e-09
"180",1.66793780790957e-07,0.0199998975600951,3.87879158141129e-07,-8.55531785594354e-08,-5.89210244276156e-10
"181",1.10620151148936e-07,0.0199999887230218,3.3765580809018e-08,-1.6255129950018e-08,1.46955288485139e-09
"182",1.80387407054224e-08,0.0200000004974131,1.07468335129472e-08,1.72056773188426e-08,-4.53107627065224e-09
"183",1.3369895703578e-08,0.0200000217639965,-1.33057738916328e-07,3.28979778827231e-08,1.46707734614825e-09
"184",7.49495435625487e-08,0.0199999827049153,3.4558773212964e-08,-1.27452367575385e-08,3.38384864913843e-09
"185",-1.09316353194062e-07,0.0200000196083485,-1.07025612672808e-07,1.26787344577533e-08,2.35524712147667e-09
"186",4.48627965064226e-08,0.0199999518272407,1.01997420052473e-07,-3.32511926065686e-08,3.29569668736905e-09
"187",-8.58285450279779e-08,0.0200000549553798,-1.5817817981865e-07,4.03802974829339e-08,-1.16129578417699e-09
"188",-3.62932042744108e-08,0.0200000112136593,-1.17945990962604e-07,1.56672677488762e-08,1.59204176788734e-09
"189",-1.10443381223833e-07,0.0200000208711971,-1.874433023912e-09,4.61250473795084e-09,-1.79750942972933e-10
"190",1.38043304743231e-09,0.0199999787643354,1.11631725286096e-07,-3.14214752034715e-08,-2.27404496652156e-08
"191",-8.3160012860939e-08,0.0200000560810046,-1.81602974221578e-07,4.27084107101956e-08,-1.92415822348505e-09
"192",6.35728059387747e-08,0.019999918847663,2.05369818296885e-07,-7.28120184093787e-08,-6.71614400907305e-09
"193",5.24310586865598e-08,0.0199999908140562,-2.07789097120677e-08,6.6458230930521e-09,2.66331585519072e-09
"194",2.84057084099531e-08,0.0199999953372036,1.18541179294388e-07,-1.21768552436855e-08,4.75674269823456e-10
"195",-5.73905287239927e-08,0.0200000362017556,-9.83236209405204e-08,3.42474466125467e-08,7.65369383920187e-10
"196",-2.23088638082838e-08,0.0199999623645121,2.8872414932218e-07,-5.55291449863396e-08,7.94619434293615e-09
"197",2.6552775930894e-08,0.0200000099815253,-4.20608392121588e-08,2.2030946297537e-08,3.94931454763593e-09
"198",2.44923116341628e-08,0.0200000242884482,-1.30521868581789e-07,2.83360510451334e-08,4.57270014655748e-09
"199",1.68793657106109e-07,0.019999908533763,3.26726081734273e-07,-6.78523383242495e-08,4.5119787618292e-09
"200",1.06606620901106e-08,0.0199999976226745,3.39868293295677e-08,-1.1929773580755e-08,-1.75793007243379e-10
"201",-5.23539030180174e-08,0.0200000290550002,-8.62044628042558e-08,1.85483144305578e-08,-8.65708355437223e-09
"202",1.01327980317668e-08,0.0200000147071401,-6.06932117925687e-08,1.44776396470326e-08,-5.24496027260646e-09
"203",7.82635243930561e-08,0.0199999609192569,1.72377154610214e-07,-3.50504967792672e-08,3.79803208994731e-09
"204",-7.34037193286122e-08,0.0200000552293153,-1.45361282443893e-07,4.22115461724701e-08,-1.7028213265478e-09
"205",1.4908832183572e-07,0.0199999119974328,2.91991017789761e-07,-7.23028336441665e-08,-4.79148853330904e-09
"206",2.4402647728014e-07,0.0199998984874119,4.21447935502168e-07,-6.51907261766041e-08,-1.73345998566735e-09
"207",4.07233044468909e-08,0.0199999319843409,2.6972237496034e-07,-5.78007907726606e-08,-5.11363927633565e-09
"208",-4.06037113143381e-08,0.0200000207446409,-2.77542783890496e-08,1.2200443711705e-08,-8.87074157559446e-10
"209",1.39078681375237e-09,0.0200000072261521,-2.61368500943637e-08,6.67444337884373e-09,-6.3466990508064e-11
"210",-2.59008698445067e-09,0.019999994563073,4.44630768157803e-08,-1.80165856860325e-08,-2.24739040805001e-09
"211",3.12805591320338e-07,0.0199998374383127,3.56329229770145e-07,-1.18981817695975e-07,1.8175226541191e-08
"212",2.2944186991681e-08,0.0200000088416701,1.09347844993643e-08,5.56316329358091e-09,2.90443394030559e-09
"213",8.86310398851789e-08,0.0199999738028592,1.24845619936693e-07,-2.36955088095296e-08,1.5999851790633e-09
"214",1.23037012777079e-07,0.0199998955243064,2.45393874693328e-07,-7.25672354777495e-08,5.93825592956348e-09
"215",1.22270002691643e-07,0.0199999437455776,1.52812592889023e-07,-4.12090391711468e-08,-1.30613856283832e-08
"216",-1.12120776349981e-07,0.020000025718488,-7.78124088845826e-08,1.74235630102189e-08,-6.38789628819415e-09
"217",-1.01448572408945e-08,0.0199999940443843,1.25898428055832e-07,-1.30821435292601e-08,6.23898785672039e-10
"218",1.54096378095981e-07,0.0199999475345758,2.78786904154518e-07,-4.37715449026984e-08,-9.68145668515398e-09
"219",-8.15662317402512e-08,0.0200000505921046,-9.36252852258655e-08,3.76262713325448e-08,-4.74974306088546e-09
"220",-3.18374450351275e-08,0.0200000255067542,-6.22269855297419e-08,1.17695443843062e-08,-6.81802930424538e-10
"221",3.76684155891097e-08,0.0200000238191515,-1.22752156462491e-07,3.65106735995542e-08,-1.60616971064888e-09
"222",-1.18323119705533e-07,0.0200000537942619,-1.10004756000076e-07,2.90286641002737e-08,5.89820092099592e-09
"223",-2.28093848560944e-08,0.0200000508415643,-1.36511345141726e-07,4.79742569024379e-08,-7.82327032089486e-09
"224",-9.12075531966249e-08,0.0200000496412138,-2.22509076400887e-07,4.57705850007151e-08,1.23501350620686e-09
"225",-2.3666087013618e-07,0.0200000922000062,-2.94630148344369e-07,6.7074107278107e-08,2.99923115351296e-09
"226",-1.79265065806112e-08,0.020000023894488,-5.88143854143204e-08,1.68380878760436e-08,-1.30986227281663e-09
"227",-1.72822734560894e-07,0.0200000758097625,-2.66765756261926e-07,6.08530998639925e-08,-1.21787362211182e-08
"228",-3.78944925708422e-08,0.0200000060184031,-5.17906703965672e-08,5.01660415075716e-09,4.42320238914797e-09
"229",7.92680328065277e-08,0.0200000037329659,1.71733369379094e-07,-5.04812498015921e-09,9.43543888508682e-09
"230",3.78381344395836e-08,0.0199999658954661,9.33270334850695e-08,-2.99115217585164e-08,2.81210776597521e-09
