"","x"
"1",1.35650594470113e-06
"2",1.39306448685281e-06
"3",1.48190211395993e-06
"4",1.46434380784774e-06
"5",1.5852520917048e-06
"6",1.43222505310904e-06
"7",1.41973097712642e-06
"8",1.64297288612428e-06
"9",1.53895637428094e-06
"10",1.59172302320933e-06
"11",1.56933740882882e-06
"12",1.36990138092228e-06
"13",1.66893134911795e-06
"14",1.36617385860121e-06
"15",1.6503378641184e-06
"16",1.41491042280787e-06
"17",1.53897533241437e-06
"18",1.32978758015519e-06
"19",1.65075390178996e-06
"20",1.36423178452183e-06
"21",1.61420394949469e-06
"22",1.36243351976705e-06
"23",1.3495859192325e-06
"24",1.32161440136571e-06
"25",1.34057726021251e-06
"26",1.65720066934217e-06
"27",1.33926424986432e-06
"28",1.4468863674899e-06
"29",1.37108839860597e-06
"30",1.52017226167078e-06
"31",1.5714341188531e-06
"32",1.37731034754546e-06
"33",1.34104113689513e-06
"34",1.48184978042281e-06
"35",1.61202688145818e-06
"36",1.59852402689807e-06
"37",1.35140243377091e-06
"38",1.53469590110968e-06
"39",1.58112972344974e-06
"40",1.49266738273884e-06
"41",1.48176157642954e-06
"42",1.66091241542603e-06
"43",1.46874491941217e-06
"44",1.51947223635228e-06
"45",1.5713323735008e-06
"46",1.49423535117311e-06
"47",1.64177296031526e-06
"48",1.34039109164953e-06
"49",1.60368327737589e-06
"50",1.55990652048455e-06
"51",1.59004935005012e-06
"52",1.36273264819495e-06
"53",1.44976706305604e-06
"54",1.51991270617061e-06
"55",1.6361330134105e-06
"56",1.55437805176657e-06
"57",1.5981454121991e-06
"58",1.41443068493252e-06
"59",1.38888619310527e-06
"60",1.42585635970244e-06
"61",1.60102523423439e-06
"62",1.37123613807979e-06
"63",1.51965770922841e-06
"64",1.37190387604728e-06
"65",1.46510723493899e-06
"66",1.37728382990595e-06
"67",1.39411226286916e-06
"68",1.50381277881516e-06
"69",1.43351310604453e-06
"70",1.31924895848973e-06
"71",1.66179439498214e-06
"72",1.55168560973479e-06
"73",1.59624984882509e-06
"74",1.43314731687835e-06
"75",1.40303151833623e-06
"76",1.64126208711848e-06
"77",1.40539518490626e-06
"78",1.32114599330194e-06
"79",1.36893725363536e-06
"80",1.32421016608372e-06
"81",1.53107819833206e-06
"82",1.43279148297817e-06
"83",1.56970761470096e-06
"84",1.5190348624275e-06
"85",1.39756913293374e-06
"86",1.39527181618547e-06
"87",1.50875210112242e-06
"88",1.62534737614118e-06
"89",1.42786887218157e-06
"90",1.42556116110324e-06
"91",1.45379854644382e-06
"92",1.46405633043121e-06
"93",1.392969553207e-06
"94",1.42550636962611e-06
"95",1.58470171946466e-06
"96",1.54510928402703e-06
"97",1.48444833206056e-06
"98",1.64237823198653e-06
"99",1.35444569948559e-06
"100",1.62458448442759e-06
"101",1.3598796105074e-06
"102",1.5508669140928e-06
"103",1.32713123176486e-06
"104",1.66317001110946e-06
"105",1.66355160078034e-06
"106",1.48223509212178e-06
"107",1.64239713048748e-06
"108",1.33411677370421e-06
"109",1.36964379580077e-06
"110",1.45877662704146e-06
"111",1.56624606165676e-06
"112",1.57958925433225e-06
"113",1.59040268108262e-06
"114",1.6030762514873e-06
"115",1.37034329090496e-06
"116",1.52367976324788e-06
"117",1.36985572085525e-06
"118",1.34348018487555e-06
"119",1.36121947695389e-06
"120",1.64642652790622e-06
"121",1.50853602570455e-06
"122",1.48158370020195e-06
"123",1.35945744928295e-06
"124",1.57027564271607e-06
"125",1.49527766461559e-06
"126",1.5615341125108e-06
"127",1.58104286501883e-06
"128",1.44559177314581e-06
"129",1.56158241676596e-06
"130",1.50882635139412e-06
"131",1.34865971342411e-06
"132",1.48101622954387e-06
"133",1.6043789380696e-06
"134",1.34576086710907e-06
"135",1.61955636626944e-06
"136",1.62922416404803e-06
