"","x"
"1",6.58407534132533e-07
"2",8.14577017906617e-07
"3",5.56135854366799e-07
"4",7.43465128939979e-07
"5",7.91881057280227e-07
"6",6.80839997441377e-07
"7",5.97942052529734e-07
"8",5.55311017260997e-07
"9",7.63274668469544e-07
"10",7.03817510321185e-07
"11",6.21619585025897e-07
"12",6.13000912817837e-07
"13",5.38991818023688e-07
"14",8.11124984408525e-07
"15",5.67695659411807e-07
"16",7.37165481568345e-07
"17",7.63877719805198e-07
"18",5.43384535173526e-07
"19",7.75174379430577e-07
"20",6.30573173085764e-07
"21",8.09689948058063e-07
"22",8.06179115613402e-07
"23",5.49961676176515e-07
"24",7.37837071351344e-07
"25",6.31242207442207e-07
"26",6.30524616411258e-07
"27",5.50304161679944e-07
"28",6.51346809429367e-07
"29",7.06512993079981e-07
"30",6.5241142192218e-07
"31",6.65742884215586e-07
"32",7.01506196721945e-07
"33",7.44975917782207e-07
"34",5.89324262295859e-07
"35",5.79402835164957e-07
"36",6.65723112478568e-07
"37",6.35452340853026e-07
"38",6.73769404395527e-07
"39",7.63168679988276e-07
"40",7.05298109113428e-07
"41",5.64147447956512e-07
"42",6.19243201751298e-07
"43",6.0541288436266e-07
"44",6.18345719956827e-07
"45",6.13921782485483e-07
"46",6.69168491485181e-07
"47",8.09187645853241e-07
"48",6.10600248689545e-07
"49",7.63607786828805e-07
"50",6.96867743157469e-07
"51",6.508213765378e-07
"52",5.89882661794357e-07
"53",7.78187894883589e-07
"54",5.56133607390216e-07
"55",6.80187782810244e-07
"56",6.28237632143584e-07
"57",6.25757276147046e-07
"58",6.58332051772867e-07
"59",6.11915445932379e-07
"60",7.25309962533061e-07
"61",5.52894583387889e-07
"62",7.46679838846708e-07
"63",7.62785177845181e-07
"64",6.03214859096903e-07
"65",7.41522812200483e-07
"66",7.21891323025663e-07
"67",5.43926207095902e-07
"68",6.52336063540375e-07
"69",5.55233872281747e-07
"70",6.05414326257873e-07
"71",5.4915598367408e-07
"72",6.37584086119309e-07
"73",6.60276420320915e-07
"74",7.17501738391981e-07
"75",7.17150358441301e-07
"76",8.09105955121947e-07
"77",7.75329548482466e-07
"78",7.62973011946109e-07
"79",5.7846141987609e-07
"80",7.76578668400815e-07
"81",7.36351642004981e-07
"82",5.65122995520057e-07
"83",5.59499870758634e-07
"84",5.90708345642621e-07
"85",8.04275927072853e-07
"86",6.30038303012108e-07
"87",5.78539844923644e-07
"88",7.16062506391623e-07
"89",7.10312507178951e-07
"90",7.11206600949379e-07
"91",5.63983130907891e-07
"92",6.81647123534899e-07
"93",6.65738739382924e-07
"94",5.37810156798531e-07
"95",5.65775876960408e-07
"96",5.49174279219347e-07
"97",8.03520290531708e-07
"98",5.49902210363614e-07
"99",7.18410435757766e-07
"100",5.63846318704678e-07
"101",7.08957132791979e-07
"102",5.90510013702598e-07
"103",5.72860198129663e-07
"104",5.8891384433759e-07
"105",7.48379430123369e-07
"106",6.48167551144472e-07
"107",7.04027931671238e-07
"108",5.67735438997032e-07
"109",6.13562074814159e-07
"110",5.83598706566162e-07
"111",5.88560115894239e-07
"112",8.03674411053194e-07
"113",6.65752998663669e-07
"114",6.07687619180811e-07
"115",6.95800705391541e-07
"116",6.68432514356234e-07
"117",7.66444969600491e-07
"118",7.18404565117144e-07
"119",7.59368432100077e-07
"120",6.87855305578734e-07
"121",6.37396598096185e-07
"122",7.0393734183252e-07
"123",8.06270833439794e-07
"124",6.42081719153746e-07
"125",6.17074115812221e-07
"126",5.601404439997e-07
"127",5.75619324122878e-07
"128",5.53558501774177e-07
"129",8.16908352059203e-07
"130",8.1243229243116e-07
"131",6.44890557319283e-07
"132",5.8614978634669e-07
"133",6.21351177167413e-07
"134",7.66965511044728e-07
"135",6.13635994012629e-07
"136",7.11213138129934e-07
"137",6.7601641091033e-07
"138",5.45977383521564e-07
"139",5.65790476610588e-07
"140",7.88614376616499e-07
"141",5.5789845142032e-07
"142",6.60072600498363e-07
"143",6.65793927156701e-07
"144",6.75008262268861e-07
"145",7.95574389961424e-07
"146",8.07625399789398e-07
"147",6.871432992207e-07
"148",7.70822763040846e-07
"149",6.44888820737475e-07
"150",5.79166444285736e-07
"151",7.08879296456592e-07
"152",5.88574423857858e-07
"153",5.89351946355541e-07
"154",7.63535528111131e-07
"155",7.17749773321305e-07
"156",6.40612940516867e-07
"157",6.60370213195298e-07
"158",8.06972935381544e-07
"159",6.77650515670163e-07
"160",5.92464837440411e-07
"161",5.55186579286003e-07
"162",6.84638472331334e-07
"163",5.672456487156e-07
"164",7.5912856568972e-07
"165",5.84714390078828e-07
"166",6.10089519606958e-07
"167",7.44539541141408e-07
"168",7.18326533092434e-07
"169",6.30493617255107e-07
"170",7.63403721236573e-07
"171",6.24933926386426e-07
"172",6.18816206597414e-07
"173",6.75736653682186e-07
"174",5.99272871694707e-07
"175",6.44647288029996e-07
"176",6.0541286997616e-07
"177",6.3086208260399e-07
"178",6.21610748901854e-07
"179",6.76678912483493e-07
"180",6.86707766502409e-07
"181",6.54993754303893e-07
"182",6.87133658902937e-07
"183",6.3758900454606e-07
"184",6.21107721738121e-07
"185",6.83959368720721e-07
"186",6.87176435686181e-07
"187",7.8594301713573e-07
"188",8.08667862588277e-07
"189",7.44782237904803e-07
"190",6.55075364806559e-07
"191",6.89084549120897e-07
"192",8.06058765253184e-07
"193",6.40753205274357e-07
"194",6.44569439949865e-07
"195",6.76027181266705e-07
"196",7.65434557048119e-07
"197",5.44522893600362e-07
"198",5.75262183276155e-07
"199",6.16027900466496e-07
"200",6.60172143455341e-07
"201",7.03536711047453e-07
"202",7.80766842236533e-07
"203",5.92589613749847e-07
"204",6.51594531209305e-07
"205",6.30471314281091e-07
"206",7.21780468022385e-07
"207",5.44555957080497e-07
"208",5.42365794862763e-07
"209",7.97890606208062e-07
"210",6.88215840386259e-07
"211",6.60159610255605e-07
"212",5.4270470908449e-07
"213",6.4456887696617e-07
"214",5.57982943631315e-07
"215",7.34150595712834e-07
"216",7.47386239170511e-07
"217",7.998650125063e-07
"218",5.54321737241941e-07
"219",5.85846945867889e-07
"220",5.96795811289358e-07
"221",7.5460271498602e-07
"222",5.52039623095951e-07
"223",7.70290542833546e-07
"224",5.6782172642268e-07
"225",7.63876750594363e-07
"226",6.96546424092502e-07
"227",7.35390472634257e-07
"228",7.08952100683317e-07
"229",6.35309053761484e-07
"230",6.63242104557976e-07
"231",5.69896137674122e-07
"232",5.60704300685874e-07
"233",5.68037873544913e-07
"234",5.64100784055115e-07
"235",7.41843236349146e-07
"236",7.4496834994615e-07
"237",7.21779426952667e-07
"238",6.2297442527684e-07
"239",6.2745072019666e-07
"240",6.56749407513825e-07
"241",6.27796499384677e-07
"242",6.08194744663308e-07
"243",6.44643651137825e-07
"244",5.41259318940339e-07
"245",6.6932942486957e-07
"246",6.30488107965936e-07
"247",6.68267361496773e-07
"248",5.54872466604721e-07
"249",7.75068299856532e-07
"250",6.98860192070474e-07
"251",7.18348380019589e-07
"252",7.48378396362223e-07
"253",6.35249340643156e-07
"254",7.4834189044658e-07
"255",7.31846232834575e-07
"256",6.65563273350325e-07
"257",6.21929529131341e-07
"258",7.86740998940034e-07
"259",7.03491380606349e-07
"260",6.09927347925118e-07
"261",7.2360881471352e-07
"262",5.886444236202e-07
"263",6.65499920199695e-07
"264",6.35097491393715e-07
"265",5.55191002838498e-07
"266",6.80852116159387e-07
"267",5.68038301586724e-07
"268",7.65433954231987e-07
"269",6.45095987131976e-07
"270",6.85582236182469e-07
"271",7.47387180508205e-07
"272",5.71798097616192e-07
"273",7.9560429608181e-07
"274",8.07007278349836e-07
"275",6.6653599120961e-07
"276",6.16028898285639e-07
"277",7.01351848046275e-07
"278",6.4362860230989e-07
"279",8.13734927071913e-07
"280",5.55305146273921e-07
"281",6.32392349964423e-07
"282",7.41176326672488e-07
"283",7.47508886993912e-07
"284",5.87129881333109e-07
"285",6.94774565793969e-07
"286",6.77553151447306e-07
"287",7.66285350912973e-07
"288",7.70368717178014e-07
"289",5.67891265735949e-07
"290",7.9610341311736e-07
"291",6.87633805739134e-07
"292",6.19044406936883e-07
"293",7.19511264018509e-07
"294",8.04280439821545e-07
"295",6.30494140186378e-07
"296",5.68690677915946e-07
"297",7.15374641849118e-07
"298",6.7823358139096e-07
"299",5.78251751643152e-07
"300",5.54457677700454e-07
"301",6.52423569151934e-07
"302",5.88567092072903e-07
"303",5.38189579615688e-07
"304",5.48532698712545e-07
"305",5.38204084928251e-07
"306",6.19385172196931e-07
"307",7.79332806819898e-07
"308",7.29171745984209e-07
"309",6.16078883363884e-07
"310",7.81930555927658e-07
"311",6.45251239503285e-07
"312",7.78235467403737e-07
"313",6.24945534850706e-07
"314",5.48108263543529e-07
"315",5.99129546612096e-07
"316",6.40175138305372e-07
"317",6.3503803953647e-07
"318",6.33974862101913e-07
"319",7.63633276061583e-07
"320",6.95341926576806e-07
"321",7.54769913580741e-07
"322",6.38320248059044e-07
"323",7.94484071225329e-07
"324",6.44227451468633e-07
"325",5.75619965420664e-07
"326",6.35618144684538e-07
"327",8.02508853089885e-07
"328",6.89773826765281e-07
"329",7.60756116357914e-07
"330",5.88569748516832e-07
"331",7.57973995310754e-07
"332",5.46071015156294e-07
"333",6.30981980737764e-07
"334",7.60206746165603e-07
"335",6.31234533296143e-07
"336",7.79701388065716e-07
"337",6.44616785882183e-07
"338",7.63828191439193e-07
"339",6.71456053138425e-07
"340",7.09034551327161e-07
"341",8.13123142042381e-07
"342",6.28150348692487e-07
"343",6.64683674249231e-07
"344",6.13584544346217e-07
"345",8.07557687480171e-07
"346",7.00899263050885e-07
"347",6.54824601553819e-07
"348",6.69428318006067e-07
"349",5.79241765239792e-07
"350",6.59347048744479e-07
"351",7.35048966220872e-07
"352",5.51433465709673e-07
"353",5.4357701334666e-07
"354",5.66257937971759e-07
"355",6.51724703851378e-07
"356",8.11167924080342e-07
"357",5.91903030396377e-07
"358",5.79716751840724e-07
"359",7.15368233033965e-07
"360",6.65636576969379e-07
"361",8.12253860295503e-07
"362",6.49527534363057e-07
"363",5.44470014117632e-07
"364",7.18179346544384e-07
"365",5.43577520438924e-07
"366",8.08952448015172e-07
"367",7.73728164068138e-07
"368",6.11952561470465e-07
"369",7.54307863940731e-07
"370",5.63718204094519e-07
"371",8.02016774562233e-07
"372",6.87133600586872e-07
"373",8.16544528439961e-07
"374",6.58911653843484e-07
"375",7.41584796353512e-07
"376",6.65742053705335e-07
"377",6.71222412083807e-07
"378",7.30398951182123e-07
"379",6.19036576507978e-07
"380",7.95832275638757e-07
"381",8.04315906627491e-07
"382",6.62797673365039e-07
"383",7.79351854503871e-07
"384",7.19400083040807e-07
"385",7.17677713282954e-07
"386",6.62247399586894e-07
"387",7.98366044776633e-07
"388",6.36351287156229e-07
"389",8.12794494060229e-07
"390",7.45315605557585e-07
"391",5.43817990351457e-07
"392",6.7318833250395e-07
"393",5.61694063501334e-07
"394",7.09037845004231e-07
"395",7.98505023305396e-07
"396",6.74474902219594e-07
"397",6.0709363283578e-07
"398",6.69427742967372e-07
"399",5.5185765773575e-07
"400",6.60084588426294e-07
"401",7.78135003260737e-07
"402",7.3795337605321e-07
"403",5.51499900054423e-07
"404",6.44887715496175e-07
"405",6.01502561220164e-07
"406",6.1360609815217e-07
"407",6.18344717781912e-07
"408",8.06929946597132e-07
"409",5.66810749941399e-07
"410",5.47297017865368e-07
"411",7.74521174804321e-07
"412",5.67498179824903e-07
"413",6.06995039270379e-07
"414",6.0408255599156e-07
"415",7.95768302106676e-07
"416",5.65927863805906e-07
"417",5.49968671403302e-07
"418",6.15356526916317e-07
"419",5.89348846945274e-07
"420",6.00271792486543e-07
"421",5.79174411995467e-07
