"","x"
"1",1
"2",0
"3",0
"4",1
"5",1
"6",1
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",1
"20",1
"21",1
"22",1
"23",0
"24",0
"25",0
"26",1
"27",1
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",1
"35",0
"36",0
"37",1
"38",0
"39",1
"40",1
"41",0
"42",0
"43",0
"44",0
"45",1
"46",0
"47",1
"48",0
"49",0
"50",1
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",1
"59",0
"60",0
"61",0
"62",0
"63",0
"64",1
"65",1
"66",1
"67",1
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",1
"76",1
"77",0
"78",1
"79",1
"80",1
"81",0
"82",0
"83",1
"84",0
"85",0
"86",0
"87",0
"88",0
"89",1
"90",0
"91",0
"92",0
"93",0
"94",0
"95",1
"96",0
"97",1
"98",0
"99",0
"100",1
"101",1
"102",0
"103",1
"104",0
"105",1
"106",0
"107",0
"108",0
"109",0
"110",1
"111",1
"112",0
"113",1
"114",0
"115",0
"116",0
"117",0
"118",1
"119",0
"120",0
"121",0
"122",1
"123",0
"124",0
"125",0
"126",0
"127",0
"128",1
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",1
"138",1
"139",1
"140",0
"141",0
"142",0
"143",0
"144",1
"145",1
"146",1
"147",0
"148",0
"149",1
"150",0
"151",1
"152",0
"153",0
"154",1
"155",1
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",1
"163",0
"164",1
"165",0
"166",1
"167",1
"168",1
"169",0
"170",1
"171",1
"172",0
"173",0
"174",1
"175",0
"176",1
"177",0
"178",0
"179",0
"180",0
"181",1
"182",0
"183",0
"184",0
"185",1
"186",0
"187",0
"188",1
"189",1
"190",1
"191",1
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",1
"200",0
"201",1
"202",0
"203",0
"204",1
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",1
"212",0
"213",1
"214",1
"215",0
"216",1
"217",0
"218",1
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",1
"232",1
"233",1
"234",1
"235",0
"236",0
"237",0
"238",0
"239",1
"240",0
"241",0
"242",1
"243",1
"244",0
"245",0
"246",0
"247",1
"248",1
"249",1
"250",0
"251",0
"252",1
"253",0
"254",0
"255",0
"256",1
"257",0
"258",1
"259",1
"260",1
"261",0
"262",1
"263",0
"264",0
"265",1
"266",0
"267",0
"268",1
"269",1
"270",1
"271",0
"272",1
"273",0
"274",0
"275",0
"276",0
"277",1
"278",1
"279",0
"280",0
"281",1
"282",1
"283",1
"284",1
"285",0
"286",0
"287",0
"288",1
"289",0
"290",1
"291",1
"292",0
"293",1
"294",0
"295",1
"296",0
"297",0
"298",1
"299",0
"300",1
"301",1
"302",1
"303",0
"304",1
"305",0
"306",0
"307",1
"308",0
"309",1
"310",1
"311",0
"312",0
"313",1
"314",1
"315",1
"316",0
"317",1
"318",0
"319",0
"320",0
"321",0
"322",1
"323",1
"324",0
"325",0
"326",1
"327",0
"328",1
"329",1
"330",0
"331",0
"332",1
"333",1
"334",1
"335",1
"336",1
"337",1
"338",0
"339",0
"340",1
"341",0
"342",0
"343",1
"344",1
"345",0
"346",0
"347",1
"348",1
"349",0
"350",1
"351",0
"352",1
"353",0
"354",0
"355",0
"356",1
"357",1
"358",0
"359",0
"360",0
"361",0
"362",1
"363",1
"364",1
"365",0
"366",1
"367",1
"368",0
"369",1
"370",1
"371",0
"372",1
"373",0
"374",0
"375",1
"376",0
"377",0
"378",0
"379",0
"380",1
"381",1
"382",0
"383",0
"384",1
"385",0
"386",0
"387",0
"388",0
"389",1
"390",0
"391",1
"392",1
"393",0
"394",0
"395",0
"396",1
"397",1
"398",1
"399",0
"400",0
"401",0
"402",0
"403",1
"404",0
"405",1
"406",0
"407",0
"408",0
"409",0
"410",0
"411",1
"412",0
"413",1
"414",1
"415",1
"416",1
"417",1
"418",0
"419",0
"420",0
"421",1
"422",0
"423",0
"424",0
"425",0
"426",1
"427",1
"428",1
"429",0
"430",1
"431",0
"432",1
"433",0
"434",0
"435",1
"436",1
"437",0
"438",1
"439",0
"440",1
"441",1
"442",0
"443",0
"444",1
"445",1
"446",0
"447",1
"448",0
"449",0
"450",1
"451",1
"452",0
"453",1
"454",1
"455",1
"456",0
"457",0
"458",1
"459",1
"460",1
"461",0
"462",1
"463",1
"464",1
"465",0
"466",1
"467",0
"468",0
"469",1
"470",1
"471",0
"472",0
"473",0
"474",0
"475",1
"476",1
"477",0
"478",0
"479",1
"480",1
"481",0
"482",0
"483",1
"484",0
"485",0
"486",0
"487",0
"488",1
"489",0
"490",0
"491",0
"492",1
"493",1
"494",0
"495",0
"496",1
"497",1
"498",0
"499",1
"500",1
"501",1
"502",0
"503",0
"504",1
"505",0
"506",0
"507",0
"508",0
"509",0
"510",0
"511",1
"512",0
"513",1
"514",0
"515",1
"516",1
"517",1
"518",1
"519",1
"520",1
"521",0
"522",1
"523",1
"524",0
"525",0
"526",0
"527",0
"528",0
"529",0
"530",1
"531",0
"532",0
"533",0
"534",1
"535",1
"536",1
"537",0
"538",1
"539",0
"540",1
"541",1
"542",0
"543",1
"544",1
"545",0
"546",0
"547",0
"548",0
"549",0
"550",0
"551",0
"552",0
"553",1
"554",1
"555",0
"556",0
"557",1
"558",1
"559",0
"560",1
"561",0
"562",0
"563",0
"564",1
"565",0
"566",0
"567",0
"568",0
"569",1
"570",0
"571",0
"572",0
"573",0
"574",0
"575",0
"576",0
"577",1
"578",0
"579",1
"580",0
"581",0
"582",1
"583",1
"584",0
"585",0
"586",0
"587",0
"588",1
"589",0
"590",0
"591",1
"592",1
"593",0
"594",1
"595",0
"596",0
"597",0
"598",0
"599",0
"600",1
"601",0
"602",0
"603",1
"604",0
"605",1
"606",1
"607",1
"608",0
"609",0
"610",0
"611",0
"612",0
"613",1
"614",0
"615",1
"616",1
"617",1
"618",1
"619",1
"620",0
"621",1
"622",0
"623",1
"624",0
"625",0
"626",1
"627",0
"628",0
"629",0
"630",0
"631",0
"632",1
"633",0
"634",0
"635",1
"636",0
"637",1
"638",1
"639",1
"640",1
"641",0
"642",1
"643",1
"644",0
"645",0
"646",1
"647",1
"648",1
"649",0
"650",0
"651",0
"652",0
"653",0
"654",1
"655",0
"656",0
"657",1
"658",0
"659",0
"660",0
"661",0
"662",0
"663",0
"664",1
"665",1
"666",1
"667",1
"668",0
"669",0
"670",1
"671",0
"672",0
"673",0
"674",0
"675",0
