Step,CartPos,CartVelocity,PoleAngle,PoleVelocity,Action,Reward
0,0.011820082313397637,0.24094297215253183,-0.04114913486046106,-0.28227533593648435,0,1.0
1,0.016638941756448273,0.04643138163069682,-0.04679464157919075,-0.002849364875574356,0,1.0
2,0.01756756938906221,-0.14798931730419382,-0.04685162887670224,0.2747098396823695,0,1.0
3,0.014607783042978335,-0.3424125741335176,-0.04135743208305485,0.5522553630871143,0,1.0
4,0.007759531560307983,-0.5369300468924163,-0.03031232482131256,0.8316264562478415,1,1.0
5,-0.0029790693775403427,-0.3414072298102644,-0.013679795696355732,0.529566501704289,0,1.0
6,-0.009807213973745631,-0.5363340909450324,-0.003088465662269951,0.8179077008435827,0,1.0
7,-0.02053389579264628,-0.7314136288782702,0.013269688354601702,1.109617604691158,0,1.0
8,-0.03516216837021168,-0.9267074090874048,0.03546204044842487,1.406433658093122,0,1.0
9,-0.05369631655195978,-1.1222511052529993,0.06359071361028731,1.7099884461102914,0,1.0
10,-0.07614133865701976,-1.318043443904661,0.09779048253249314,2.0217664206291888,1,1.0
11,-0.10250220753511298,-1.1240609786517002,0.1382258109450769,1.760887502494191,1,1.0
12,-0.12498342710814699,-0.9307479574864422,0.17344356099496072,1.5141927995074311,1,1.0
13,-0.14359838625787583,-0.7380976488599931,0.20372741698510935,1.2802901542773826,1,1.0
14,-0.1583603392350757,-0.5460688826213084,0.229333220070657,1.0576863452733742,1,1.0
15,-0.16928171688750188,-0.3545976984140996,0.2504869469761245,0.844833668384747,0,0.0
0,0.012821864439262993,-0.2291891264269337,0.011377738268916521,0.3371545268591726,0,1.0
1,0.008238081910724318,-0.4244711255467158,0.018120828806099974,0.6334035487537666,1,1.0
2,-0.0002513406002099972,-0.22960658570664153,0.030788899781175307,0.3464819597313474,1,1.0
3,-0.0048434723143428275,-0.03493580650617245,0.037718538975802254,0.0636646910118015,1,1.0
4,-0.005542188444466276,0.15962562362177762,0.03899183279603828,-0.21688325738426978,0,1.0
5,-0.0023496759720307236,-0.03603141694946038,0.034654167648352885,0.087839923697553,1,1.0
6,-0.0030703043110199314,0.15857710769419195,0.03641096612230395,-0.19371131392269286,0,1.0
7,0.00010123784286390769,-0.03704626759173962,0.03253673984385009,0.11023171734881743,0,1.0
8,-0.0006396875089708848,-0.23261898438058468,0.034741374190826436,0.4129996393012769,1,1.0
9,-0.0052920671965825785,-0.038006274587044864,0.043001366976851974,0.1314686341493414,1,1.0
10,-0.006052192688323476,0.1564741617035785,0.0456307396598388,-0.1473438429154496,0,1.0
11,-0.002922709454251906,-0.0392705252332026,0.042683862801529804,0.15937834348162572,1,1.0
12,-0.003708119958915958,0.15521516637511656,0.04587142967116232,-0.11953923692936141,0,1.0
13,-0.0006038166314136268,-0.040532969318688855,0.04348064493257509,0.18725557384588637,1,1.0
