"","x"
"1",-49
"2",1
"3",-50
"4",-49
"5",1
"6",1
"7",1
"8",1
"9",2
"10",-246
"11",0
"12",0
"13",0
"14",1
"15",-49
"16",-142
"17",-582
"18",0
"19",1
"20",1
"21",3
"22",1
"23",1
"24",0
"25",1
"26",1
"27",1
"28",1
"29",1
"30",2
"31",6
"32",7
"33",0
"34",1
"35",1
"36",2
"37",4
"38",4
"39",4
"40",1
"41",2
"42",1
"43",1
"44",0
"45",1
"46",0
"47",4
"48",0
"49",0
"50",2
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",-50
"58",1
"59",-49
"60",0
"61",0
"62",0
"63",-50
"64",1
"65",4
"66",3
"67",-96
"68",0
"69",1
"70",-45
"71",0
"72",0
"73",0
"74",1
"75",1
"76",1
"77",0
"78",1
"79",1
"80",3
"81",1
"82",0
"83",5
"84",1
"85",0
"86",1
"87",0
"88",2
"89",5
"90",2
"91",1
"92",0
"93",0
"94",0
"95",2
"96",0
"97",2
"98",0
"99",0
"100",1
"101",1
"102",0
"103",4
"104",2
"105",3
"106",2
"107",1
"108",0
"109",0
"110",1
"111",2
"112",0
"113",1
"114",0
"115",0
"116",0
"117",0
"118",1
"119",0
"120",2
"121",1
"122",1
"123",0
"124",1
"125",0
"126",0
"127",0
"128",6
"129",0
"130",1
"131",1
"132",1
"133",0
"134",0
"135",0
"136",1
"137",1
"138",3
"139",1
"140",1
"141",0
"142",0
"143",0
"144",1
"145",1
"146",1
"147",0
"148",1
"149",1
"150",0
"151",1
"152",0
"153",0
"154",1
"155",1
"156",0
"157",1
"158",1
"159",1
"160",1
"161",0
"162",1
"163",0
"164",1
"165",0
"166",1
"167",1
"168",1
"169",2
"170",1
"171",1
"172",1
"173",0
"174",3
"175",0
"176",2
"177",0
"178",0
"179",1
"180",1
"181",6
"182",0
"183",1
"184",0
"185",2
"186",1
"187",0
"188",1
"189",2
"190",1
"191",1
"192",0
"193",1
"194",0
"195",1
"196",0
"197",1
"198",2
"199",3
"200",5
"201",1
"202",1
"203",2
"204",1
"205",0
"206",0
"207",2
"208",1
"209",2
"210",2
"211",5
"212",1
"213",1
"214",1
"215",1
"216",1
"217",1
"218",1
"219",1
"220",1
"221",1
"222",0
"223",2
"224",0
"225",1
"226",1
"227",1
"228",0
"229",1
"230",0
"231",2
"232",1
"233",1
"234",1
"235",0
"236",2
"237",1
"238",1
"239",2
"240",2
"241",0
"242",1
"243",1
"244",0
"245",1
"246",0
"247",1
"248",1
"249",1
"250",0
"251",1
"252",4
"253",1
"254",0
"255",1
"256",1
"257",0
"258",1
"259",2
"260",1
"261",0
"262",1
"263",0
"264",1
"265",1
"266",0
"267",0
"268",1
"269",1
"270",1
"271",1
"272",1
"273",1
"274",0
"275",0
"276",-50
"277",1
"278",2
"279",1
"280",1
"281",1
"282",2
"283",1
"284",1
"285",0
"286",2
"287",0
"288",1
"289",0
"290",2
"291",2
"292",2
"293",1
"294",2
"295",1
"296",0
"297",1
"298",2
"299",0
"300",1
"301",1
"302",2
"303",1
"304",5
"305",0
"306",1
"307",7
"308",0
"309",1
"310",1
"311",0
"312",1
"313",1
"314",2
"315",2
"316",0
"317",3
"318",3
"319",2
"320",1
"321",1
"322",6
"323",2
"324",1
"325",0
"326",1
"327",0
"328",2
"329",2
"330",0
"331",0
"332",2
"333",3
"334",3
"335",2
"336",2
"337",3
"338",0
"339",0
"340",1
"341",1
"342",1
"343",1
"344",1
"345",0
"346",0
"347",1
"348",2
"349",2
"350",1
"351",1
"352",2
"353",1
"354",2
"355",0
"356",1
"357",1
"358",0
"359",0
"360",0
"361",0
"362",1
"363",1
"364",3
"365",3
"366",2
"367",2
"368",0
"369",1
"370",1
"371",0
"372",1
"373",1
"374",2
"375",1
"376",1
"377",0
"378",0
"379",0
"380",1
"381",1
"382",0
"383",0
"384",2
"385",0
"386",0
"387",0
"388",0
"389",1
"390",0
"391",1
"392",1
"393",0
"394",-50
"395",1
"396",2
"397",3
"398",2
"399",0
"400",1
"401",1
"402",0
"403",1
"404",0
"405",3
"406",1
"407",0
"408",0
"409",0
"410",0
"411",1
"412",0
"413",3
"414",6
"415",2
"416",2
"417",1
"418",1
"419",1
"420",0
"421",1
"422",1
"423",1
"424",1
"425",1
"426",1
"427",1
"428",2
"429",1
"430",3
"431",0
"432",2
"433",1
"434",0
"435",2
"436",3
"437",0
"438",3
"439",2
"440",1
"441",2
"442",0
"443",1
"444",2
"445",2
"446",0
"447",1
"448",0
"449",1
"450",2
"451",1
"452",1
"453",2
"454",1
"455",4
"456",0
"457",2
"458",1
"459",2
"460",1
"461",0
"462",2
"463",3
"464",1
"465",0
"466",1
"467",1
"468",1
"469",1
"470",2
"471",0
"472",1
"473",1
"474",1
"475",1
"476",1
"477",2
"478",1
"479",1
"480",1
"481",1
"482",0
"483",2
"484",0
"485",0
"486",1
"487",0
"488",1
"489",0
"490",0
"491",0
"492",1
"493",1
"494",1
"495",1
"496",1
"497",2
"498",1
"499",1
"500",1
"501",2
"502",0
"503",0
"504",1
"505",0
"506",0
"507",0
"508",0
"509",-50
"510",0
"511",1
"512",0
"513",1
"514",0
"515",1
"516",1
"517",1
"518",1
"519",1
"520",1
"521",0
"522",1
"523",2
"524",0
"525",0
"526",0
"527",1
"528",0
"529",0
"530",2
"531",1
"532",0
"533",0
"534",1
"535",2
"536",1
"537",0
"538",1
"539",1
"540",2
"541",1
"542",0
"543",1
"544",2
"545",0
"546",0
"547",1
"548",2
"549",0
"550",0
"551",1
"552",1
"553",2
"554",1
"555",0
"556",0
"557",2
"558",2
"559",0
"560",1
"561",0
"562",2
"563",1
"564",1
"565",0
"566",0
"567",0
"568",2
"569",2
"570",0
"571",0
"572",0
"573",1
"574",0
"575",0
"576",1
"577",1
"578",0
"579",1
"580",0
"581",0
"582",5
"583",1
"584",0
"585",0
"586",2
"587",0
"588",1
"589",0
"590",0
"591",1
"592",2
"593",1
"594",4
"595",1
"596",1
"597",1
"598",0
"599",0
"600",2
"601",1
"602",1
"603",4
"604",0
"605",1
"606",3
"607",3
"608",0
"609",0
"610",1
"611",0
"612",1
"613",1
"614",0
"615",1
"616",2
"617",1
"618",1
"619",3
"620",1
"621",1
"622",0
"623",1
"624",1
"625",1
"626",1
"627",0
"628",2
"629",0
"630",1
"631",0
"632",1
"633",0
"634",0
"635",1
"636",0
"637",1
"638",2
"639",1
"640",1
"641",0
"642",1
"643",1
"644",0
"645",0
"646",1
"647",1
"648",1
"649",1
"650",0
"651",2
"652",1
"653",0
"654",1
"655",0
"656",0
"657",4
"658",0
"659",0
"660",3
"661",1
"662",0
"663",0
"664",1
"665",1
"666",1
"667",1
"668",0
"669",0
"670",1
"671",2
"672",1
"673",1
"674",1
"675",0
"676",4
"677",0
"678",0
"679",3
"680",1
"681",0
"682",0
"683",2
"684",1
"685",0
"686",1
"687",5
"688",1
"689",0
"690",0
"691",2
"692",2
"693",0
"694",1
"695",1
"696",0
"697",0
"698",1
"699",0
"700",1
"701",1
"702",0
"703",2
"704",2
"705",2
"706",4
"707",5
"708",1
"709",1
"710",0
"711",0
"712",0
"713",1
"714",3
"715",0
"716",0
"717",1
"718",2
"719",1
"720",3
"721",2
"722",2
"723",0
"724",0
"725",0
"726",2
"727",1
"728",2
"729",1
"730",0
"731",4
"732",0
"733",2
"734",0
"735",0
"736",1
"737",0
"738",1
"739",2
"740",1
"741",0
"742",0
"743",0
"744",0
"745",1
"746",1
"747",1
"748",0
"749",0
"750",2
"751",1
"752",2
"753",0
"754",1
"755",0
"756",0
"757",0
"758",1
"759",1
"760",0
"761",1
"762",1
"763",0
"764",1
"765",0
"766",1
"767",0
"768",1
"769",0
"770",2
"771",1
"772",1
"773",0
"774",1
"775",1
"776",0
"777",0
"778",0
"779",1
"780",2
"781",1
"782",0
"783",0
"784",2
"785",2
"786",1
"787",2
"788",1
"789",2
"790",1
"791",0
"792",0
"793",0
"794",1
"795",2
"796",1
"797",1
"798",2
"799",4
