"","x"
"1",73
"2",84
"3",85
"4",87
"5",90
"6",94
"7",95
"8",96
"9",97
"10",98
"11",99
"12",100
"13",101
"14",106
"15",107
"16",108
"17",109
"18",120
"19",204
"20",210
"21",215
"22",216
"23",217
"24",218
"25",219
"26",221
"27",224
"28",226
"29",227
"30",228
"31",229
"32",230
"33",335
"34",345
"35",347
"36",348
"37",349
"38",350
"39",351
"40",454
"41",467
"42",468
"43",470
"44",471
"45",472
"46",586
"47",588
"48",589
"49",591
"50",592
"51",593
"52",709
"53",711
"54",830
"55",831
"56",1069
"57",1343
"58",1393
"59",1394
"60",1395
"61",1396
"62",1404
"63",1406
"64",1407
"65",1416
"66",1417
"67",1418
"68",1427
"69",1428
"70",1429
"71",1440
"72",1512
"73",1514
"74",1523
"75",1524
"76",1525
"77",1527
"78",1530
"79",1534
"80",1535
"81",1536
"82",1537
"83",1538
"84",1539
"85",1545
"86",1546
"87",1547
"88",1548
"89",1549
"90",1550
"91",1560
"92",1561
"93",1640
"94",1644
"95",1654
"96",1655
"97",1656
"98",1657
"99",1658
"100",1659
"101",1660
"102",1665
"103",1666
"104",1667
"105",1668
"106",1669
"107",1670
"108",1671
"109",1679
"110",1681
"111",1682
"112",1761
"113",1774
"114",1778
"115",1784
"116",1786
"117",1787
"118",1788
"119",1789
"120",1790
"121",1791
"122",1798
"123",1800
"124",1802
"125",1803
"126",1882
"127",1895
"128",1907
"129",1909
"130",1910
"131",1911
"132",1912
"133",1921
"134",1923
"135",2025
"136",2027
"137",2028
"138",2029
"139",2030
"140",2031
"141",2041
"142",2042
"143",2043
"144",2044
"145",2045
"146",2124
"147",2149
"148",2150
"149",2151
"150",2153
"151",2154
"152",2166
"153",2245
"154",2269
"155",2270
"156",2280
"157",2281
"158",2282
"159",2400
"160",2663
"161",2701
"162",2702
"163",2711
"164",2714
"165",2715
"166",2716
"167",2725
"168",2726
"169",2727
"170",2736
"171",2737
"172",2738
"173",2748
"174",2749
"175",2835
"176",2843
"177",2845
"178",2847
"179",2855
"180",2856
"181",2857
"182",2858
"183",2859
"184",2868
"185",2869
"186",2870
"187",2880
"188",2881
"189",2960
"190",2964
"191",2974
"192",2975
"193",2978
"194",2979
"195",2985
"196",2986
"197",2987
"198",2988
"199",2989
