"","x"
"1",0
"2",2
"3",0
"4",2
"5",4
"6",1
"7",0
"8",2
"9",1
"10",2
"11",0
"12",2
"13",3
"14",1
"15",0
"16",5
"17",0
"18",4
"19",4
"20",4
"21",7
"22",5
"23",11
"24",11
"25",5
"26",9
"27",2
"28",6
"29",2
"30",6
"31",7
"32",22
"33",45
"34",136
"35",182
"36",2
"37",3
"38",1
"39",4
"40",3
"41",7
"42",19
"43",76
"44",324
"45",949
"46",0
"47",2
"48",1
"49",0
"50",0
"51",0
"52",0
"53",6
"54",2
"55",2
"56",2
"57",3
"58",0
"59",0
"60",5
"61",5
"62",0
"63",5
"64",7
"65",17
"66",20
"67",33
"68",59
"69",17
"70",4
"71",6
"72",1
"73",3
"74",12
"75",37
"76",92
"77",151
"78",376
"79",378
"80",1
"81",6
"82",2
"83",1
"84",5
"85",6
"86",13
"87",12
"88",20
"89",13
"90",0
"91",2
"92",2
"93",2
"94",11
"95",29
"96",41
"97",63
"98",83
"99",160
"100",79
"101",0
"102",1
"103",1
"104",1
"105",2
"106",3
"107",2
"108",0
"109",4
"110",4
"111",2
"112",4
"113",1
"114",9
"115",24
"116",21
"117",21
"118",32
"119",61
"120",12
"121",1
"122",2
"123",0
"124",1
"125",3
"126",1
"127",2
"128",3
"129",0
"130",4
"131",4
"132",7
"133",14
"134",18
"135",24
"136",12
"137",2
"138",1
"139",1
"140",1
"141",0
"142",0
"143",5
"144",5
"145",7
"146",8
"147",7
"148",7
"149",0
"150",3
"151",3
"152",2
"153",3
"154",3
"155",5
"156",5
"157",5
"158",5
"159",2
"160",2
"161",2
"162",4
"163",2
"164",1
"165",1
"166",1
"167",2
"168",5
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",5
"176",2
"177",2
"178",7
"179",0
"180",2
"181",0
"182",0
"183",0
"184",3
"185",3
"186",1
"187",2
"188",1
"189",3
"190",1
"191",1
"192",0
"193",1
"194",2
"195",2
"196",1
"197",8
"198",4
"199",5
"200",10
"201",8
"202",2
"203",1
"204",1
"205",3
"206",1
"207",2
"208",13
"209",10
"210",18
"211",42
"212",25
"213",0
"214",4
"215",2
"216",4
"217",4
"218",26
"219",36
"220",133
"221",137
"222",0
"223",1
"224",0
"225",1
"226",3
"227",17
"228",81
"229",195
"230",0
"231",26
"232",1
"233",0
"234",3
"235",2
"236",2
"237",2
"238",0
"239",0
"240",2
"241",5
"242",2
"243",0
"244",4
"245",0
"246",0
"247",3
"248",3
"249",5
"250",3
"251",3
"252",6
"253",7
"254",4
"255",5
"256",1
"257",3
"258",4
"259",5
"260",19
"261",43
"262",49
"263",90
"264",120
"265",43
"266",0
"267",0
"268",6
"269",20
"270",42
"271",68
"272",123
"273",273
"274",166
"275",0
"276",1
"277",1
"278",0
"279",10
"280",51
"281",0
"282",0
"283",2
"284",1
"285",1
"286",1
"287",1
"288",1
"289",2
"290",3
"291",2
"292",0
"293",1
"294",1
"295",4
"296",11
"297",6
"298",12
"299",18
"300",18
"301",20
"302",8
"303",0
"304",0
"305",2
"306",7
"307",49
"308",61
"309",97
"310",95
"311",142
"312",169
"313",41
"314",2
"315",0
"316",1
"317",3
"318",4
"319",15
"320",39
"321",48
"322",1
"323",0
"324",0
"325",0
"326",0
"327",2
"328",1
"329",4
"330",1
"331",2
"332",1
"333",0
"334",0
"335",0
"336",11
"337",42
"338",46
"339",54
"340",71
"341",88
"342",70
"343",8
"344",2
"345",1
"346",3
"347",3
"348",6
"349",12
"350",22
"351",35
"352",13
"353",1
"354",2
"355",0
"356",2
"357",2
"358",0
"359",1
"360",1
"361",2
"362",7
"363",12
"364",38
"365",40
"366",64
"367",59
"368",60
"369",41
"370",2
"371",1
"372",2
"373",3
"374",8
"375",11
"376",14
"377",28
"378",38
"379",14
"380",0
"381",0
"382",1
"383",1
"384",1
"385",3
"386",6
"387",14
"388",34
"389",41
"390",42
"391",42
"392",42
"393",17
"394",0
"395",3
"396",2
"397",5
"398",9
"399",12
"400",16
"401",26
"402",14
"403",12
"404",1
"405",2
"406",2
"407",0
"408",0
"409",3
"410",10
"411",19
"412",23
"413",17
"414",19
"415",16
"416",2
"417",4
"418",1
"419",2
"420",7
"421",9
"422",7
"423",12
"424",10
"425",9
"426",1
"427",1
"428",4
"429",5
"430",9
"431",4
"432",7
"433",1
"434",2
"435",1
"436",2
"437",3
"438",6
"439",8
"440",4
"441",4
"442",9
"443",6
"444",6
"445",13
"446",0
"447",1
"448",4
"449",1
"450",0
"451",0
"452",1
"453",0
"454",6
"455",5
"456",8
"457",3
"458",6
"459",6
"460",1
"461",4
"462",9
"463",1
"464",0
"465",2
"466",0
"467",0
"468",1
"469",4
"470",13
"471",1
"472",0
"473",0
"474",3
"475",3
"476",2
"477",1
"478",1
"479",1
"480",0
"481",3
"482",0
"483",2
"484",3
"485",2
"486",4
"487",2
"488",4
"489",3
"490",2
"491",6
"492",1
"493",1
"494",1
"495",2
"496",1
"497",5
"498",4
"499",11
"500",14
"501",21
"502",10
"503",1
"504",0
"505",1
"506",3
"507",1
"508",7
"509",10
"510",20
"511",42
"512",26
"513",0
"514",10
"515",13
"516",57
"517",73
"518",0
"519",1
"520",9
"521",32
"522",1
"523",5
"524",2
"525",3
"526",3
"527",12
"528",3
"529",2
"530",0
"531",8
"532",2
"533",0
"534",3
"535",2
"536",1
"537",1
"538",2
"539",2
"540",5
"541",6
"542",2
"543",9
"544",6
"545",5
"546",1
"547",0
"548",0
"549",3
"550",4
"551",9
"552",10
"553",12
"554",15
"555",19
"556",22
"557",5
"558",0
"559",1
"560",5
"561",7
"562",36
"563",51
"564",59
"565",95
"566",37
"567",1
"568",7
"569",11
"570",26
"571",44
"572",114
"573",91
"574",2
"575",4
"576",18
"577",28
"578",6
"579",1
"580",2
"581",0
"582",1
"583",2
"584",0
"585",1
"586",1
"587",1
"588",0
"589",1
"590",4
"591",4
"592",4
"593",9
"594",5
"595",3
"596",7
"597",4
"598",1
"599",5
"600",10
"601",16
"602",12
"603",18
"604",18
"605",29
"606",16
"607",0
"608",0
"609",10
"610",31
"611",65
"612",84
"613",97
"614",130
"615",140
"616",26
"617",1
"618",1
"619",3
"620",9
"621",11
"622",23
"623",15
"624",38
"625",33
"626",11
"627",1
"628",2
"629",0
"630",2
"631",0
"632",1
"633",2
"634",2
"635",2
"636",2
"637",0
"638",0
"639",6
"640",7
"641",3
"642",1
"643",2
"644",3
"645",2
"646",1
"647",1
"648",26
"649",51
"650",87
"651",94
"652",116
"653",107
"654",59
"655",5
"656",5
"657",6
"658",14
"659",9
"660",13
"661",25
"662",28
"663",10
"664",2
"665",7
"666",0
"667",0
"668",2
"669",2
"670",0
"671",0
"672",2
"673",4
"674",3
"675",1
"676",3
"677",0
"678",2
"679",1
"680",0
"681",7
"682",35
"683",62
"684",87
"685",91
"686",78
"687",88
"688",46
"689",1
"690",0
"691",4
"692",6
"693",10
"694",12
"695",12
"696",26
"697",22
"698",4
"699",1
"700",1
"701",9
"702",1
"703",1
"704",0
"705",0
"706",1
"707",0
"708",3
"709",0
"710",2
"711",0
"712",0
"713",5
"714",43
"715",69
"716",59
"717",77
"718",58
"719",79
"720",18
"721",3
"722",4
"723",12
"724",14
"725",15
"726",21
"727",23
"728",7
"729",1
"730",1
"731",0
"732",2
"733",5
"734",1
"735",0
"736",2
"737",0
"738",0
"739",6
"740",15
"741",34
"742",48
"743",51
"744",37
"745",52
"746",49
"747",2
"748",4
"749",11
"750",5
"751",10
"752",13
"753",14
"754",12
"755",7
"756",1
"757",0
"758",1
"759",6
"760",0
"761",2
"762",1
"763",3
"764",8
"765",13
"766",17
"767",9
"768",11
"769",8
"770",5
"771",2
"772",4
"773",12
"774",13
"775",16
"776",20
"777",15
"778",10
"779",7
"780",3
"781",1
"782",0
"783",1
"784",0
"785",0
"786",3
"787",3
"788",4
"789",13
"790",0
"791",0
"792",1
"793",4
"794",1
"795",1
"796",6
"797",19
"798",15
"799",13
"800",5
"801",6
"802",2
"803",2
"804",1
"805",1
"806",5
"807",1
"808",2
"809",4
"810",5
"811",5
"812",7
"813",9
"814",1
"815",1
"816",1
"817",2
"818",2
"819",0
"820",0
"821",1
"822",4
"823",1
"824",0
"825",1
"826",2
"827",1
"828",2
"829",1
"830",1
"831",3
"832",12
"833",2
"834",0
"835",0
"836",0
"837",1
"838",0
"839",3
"840",1
"841",1
"842",0
"843",4
"844",4
"845",3
"846",4
"847",1
"848",0
"849",2
"850",1
"851",2
"852",3
"853",4
"854",8
"855",16
"856",4
"857",1
"858",0
"859",1
"860",5
"861",16
"862",20
"863",27
"864",4
"865",6
"866",10
"867",33
"868",0
"869",7
"870",3
"871",1
"872",5
"873",5
"874",0
"875",0
"876",1
"877",6
"878",4
"879",1
"880",2
"881",1
"882",0
"883",1
"884",0
"885",1
"886",1
"887",3
"888",4
"889",5
"890",4
"891",2
"892",3
"893",0
"894",0
"895",4
"896",7
"897",7
"898",8
"899",15
"900",8
"901",26
"902",2
"903",0
"904",2
"905",10
"906",14
"907",23
"908",28
"909",46
"910",13
"911",4
"912",5
"913",12
"914",14
"915",53
"916",42
"917",0
"918",4
"919",1
"920",6
"921",12
"922",3
"923",1
"924",1
"925",3
"926",2
"927",1
"928",2
"929",1
"930",0
"931",0
"932",0
"933",7
"934",6
"935",4
"936",4
"937",3
"938",8
"939",1
"940",3
"941",0
"942",6
"943",11
"944",15
"945",27
"946",41
"947",30
"948",19
"949",0
"950",10
"951",23
"952",55
"953",72
"954",81
"955",102
"956",84
"957",25
"958",1
"959",4
"960",3
"961",8
"962",8
"963",9
"964",23
"965",16
"966",7
"967",2
"968",0
"969",1
"970",2
"971",1
"972",1
"973",7
"974",5
"975",1
"976",2
"977",1
"978",1
"979",2
"980",22
"981",31
"982",44
"983",34
"984",41
"985",31
"986",6
"987",0
"988",1
"989",60
"990",105
"991",111
"992",113
"993",120
"994",102
"995",50
"996",1
"997",2
"998",5
"999",7
"1000",9
"1001",8
"1002",12
"1003",23
"1004",5
"1005",5
"1006",6
"1007",2
"1008",0
"1009",0
"1010",0
"1011",1
"1012",8
"1013",30
"1014",39
"1015",43
"1016",20
"1017",34
"1018",16
"1019",4
"1020",6
"1021",84
"1022",78
"1023",100
"1024",115
"1025",85
"1026",83
"1027",11
"1028",2
"1029",3
"1030",5
"1031",12
"1032",7
"1033",7
"1034",11
"1035",7
"1036",1
"1037",0
"1038",1
"1039",4
"1040",2
"1041",3
"1042",0
"1043",0
"1044",0
"1045",1
"1046",0
"1047",2
"1048",10
"1049",18
"1050",30
"1051",32
"1052",18
"1053",29
"1054",12
"1055",1
"1056",14
"1057",56
"1058",72
"1059",83
"1060",96
"1061",79
"1062",78
"1063",6
"1064",4
"1065",5
"1066",8
"1067",8
"1068",14
"1069",12
"1070",10
"1071",4
"1072",1
"1073",0
"1074",0
"1075",0
"1076",1
"1077",0
"1078",2
"1079",0
"1080",1
"1081",2
"1082",1
"1083",9
"1084",16
"1085",14
"1086",9
"1087",12
"1088",14
"1089",11
"1090",1
"1091",10
"1092",47
"1093",60
"1094",58
"1095",56
"1096",36
"1097",47
"1098",0
"1099",1
"1100",5
"1101",11
"1102",9
"1103",15
"1104",10
"1105",14
"1106",5
"1107",1
"1108",1
"1109",0
"1110",1
"1111",1
"1112",4
"1113",2
"1114",6
"1115",0
"1116",1
"1117",2
"1118",0
"1119",5
"1120",3
"1121",2
"1122",3
"1123",1
"1124",3
"1125",1
"1126",5
"1127",10
"1128",11
"1129",7
"1130",16
"1131",3
"1132",2
"1133",6
"1134",2
"1135",9
"1136",14
"1137",30
"1138",27
"1139",24
"1140",9
"1141",3
"1142",1
"1143",0
"1144",2
"1145",5
"1146",3
"1147",1
"1148",2
"1149",4
"1150",5
"1151",1
"1152",1
"1153",6
"1154",1
"1155",0
"1156",0
"1157",4
"1158",9
"1159",18
"1160",18
"1161",7
"1162",3
"1163",3
"1164",0
"1165",2
"1166",10
"1167",9
"1168",11
"1169",6
"1170",4
"1171",1
"1172",4
"1173",3
"1174",1
"1175",0
"1176",4
"1177",1
"1178",3
"1179",2
"1180",2
"1181",12
"1182",0
"1183",1
"1184",3
"1185",2
"1186",7
"1187",7
"1188",4
"1189",2
"1190",1
"1191",1
"1192",1
"1193",0
"1194",1
"1195",2
"1196",1
"1197",1
"1198",0
"1199",0
"1200",2
"1201",1
"1202",5
"1203",6
"1204",2
"1205",7
"1206",8
"1207",2
"1208",3
"1209",1
"1210",3
"1211",3
"1212",3
"1213",4
"1214",1
"1215",0
"1216",0
"1217",1
"1218",1
"1219",2
"1220",2
"1221",7
"1222",9
"1223",15
"1224",8
"1225",2
"1226",8
"1227",9
"1228",17
"1229",18
"1230",1
"1231",4
"1232",7
"1233",18
"1234",3
"1235",4
"1236",2
"1237",1
"1238",11
"1239",12
"1240",4
"1241",1
"1242",1
"1243",0
"1244",3
"1245",1
"1246",2
"1247",6
"1248",6
"1249",6
"1250",5
"1251",2
"1252",6
"1253",4
"1254",5
"1255",2
"1256",8
"1257",8
"1258",9
"1259",16
"1260",19
"1261",30
"1262",2
"1263",1
"1264",1
"1265",7
"1266",17
"1267",23
"1268",32
"1269",56
"1270",23
"1271",0
"1272",1
"1273",2
"1274",13
"1275",36
"1276",45
"1277",31
"1278",2
"1279",3
"1280",13
"1281",5
"1282",3
"1283",2
"1284",6
"1285",2
"1286",1
"1287",1
"1288",5
"1289",0
"1290",1
"1291",1
"1292",1
"1293",1
"1294",4
"1295",9
"1296",5
"1297",7
"1298",6
"1299",6
"1300",3
"1301",3
"1302",2
"1303",1
"1304",7
"1305",29
"1306",33
"1307",54
"1308",53
"1309",58
"1310",38
"1311",1
"1312",4
"1313",15
"1314",28
"1315",56
"1316",68
"1317",63
"1318",54
"1319",24
"1320",3
"1321",0
"1322",1
"1323",16
"1324",17
"1325",1
"1326",1
"1327",10
"1328",0
"1329",2
"1330",1
"1331",2
"1332",3
"1333",3
"1334",1
"1335",1
"1336",2
"1337",0
"1338",1
"1339",0
"1340",0
"1341",1
"1342",0
"1343",1
"1344",7
"1345",43
"1346",58
"1347",54
"1348",65
"1349",47
"1350",41
"1351",7
"1352",1
"1353",35
"1354",46
"1355",47
"1356",55
"1357",71
"1358",62
"1359",27
"1360",4
"1361",1
"1362",1
"1363",6
"1364",8
"1365",11
"1366",4
"1367",0
"1368",0
"1369",0
"1370",1
"1371",2
"1372",3
"1373",2
"1374",0
"1375",0
"1376",0
"1377",4
"1378",17
"1379",56
"1380",44
"1381",60
"1382",33
"1383",29
"1384",12
"1385",5
"1386",39
"1387",55
"1388",51
"1389",56
"1390",51
"1391",44
"1392",11
"1393",3
"1394",7
"1395",18
"1396",16
"1397",25
"1398",26
"1399",0
"1400",1
"1401",0
"1402",0
"1403",0
"1404",3
"1405",1
"1406",1
"1407",2
"1408",1
"1409",1
"1410",1
"1411",1
"1412",1
"1413",1
"1414",2
"1415",1
"1416",1
"1417",22
"1418",33
"1419",24
"1420",30
"1421",22
"1422",20
"1423",13
"1424",13
"1425",26
"1426",44
"1427",36
"1428",50
"1429",34
"1430",31
"1431",4
"1432",0
"1433",6
"1434",19
"1435",26
"1436",24
"1437",21
"1438",33
"1439",18
"1440",2
"1441",0
"1442",0
"1443",1
"1444",2
