"","x"
"1",1
"2",12
"3",23
"4",45
"5",56
"6",57
"7",61
"8",67
"9",68
"10",69
"11",70
"12",71
"13",72
"14",74
"15",75
"16",78
"17",79
"18",80
"19",81
"20",82
"21",83
"22",84
"23",85
"24",86
"25",87
"26",89
"27",90
"28",91
"29",92
"30",93
"31",94
"32",95
"33",96
"34",97
"35",98
"36",100
"37",101
"38",102
"39",103
"40",104
"41",105
"42",106
"43",107
"44",108
"45",109
"46",120
"47",122
"48",133
"49",177
"50",188
"51",190
"52",192
"53",199
"54",200
"55",201
"56",202
"57",205
"58",206
"59",207
"60",210
"61",211
"62",212
"63",213
"64",214
"65",215
"66",216
"67",217
"68",218
"69",219
"70",221
"71",222
"72",223
"73",224
"74",225
"75",226
"76",227
"77",228
"78",229
"79",230
"80",254
"81",331
"82",332
"83",333
"84",334
"85",335
"86",336
"87",337
"88",338
"89",339
"90",340
"91",342
"92",343
"93",344
"94",345
"95",346
"96",347
"97",348
"98",349
"99",350
"100",351
"101",441
"102",452
"103",453
"104",454
"105",455
"106",456
"107",457
"108",458
"109",459
"110",460
"111",463
"112",464
"113",465
"114",466
"115",467
"116",468
"117",469
"118",470
"119",471
"120",472
"121",573
"122",576
"123",577
"124",578
"125",580
"126",581
"127",584
"128",585
"129",586
"130",587
"131",588
"132",589
"133",590
"134",591
"135",592
"136",593
"137",694
"138",698
"139",705
"140",706
"141",707
"142",708
"143",709
"144",710
"145",711
"146",712
"147",713
"148",714
"149",815
"150",826
"151",827
"152",828
"153",830
"154",831
"155",832
"156",833
"157",834
"158",835
"159",947
"160",948
"161",949
"162",950
"163",951
"164",952
"165",953
"166",954
"167",955
"168",956
"169",1068
"170",1069
"171",1070
"172",1071
"173",1075
"174",1076
"175",1077
"176",1332
"177",1343
"178",1354
"179",1355
"180",1365
"181",1366
"182",1367
"183",1370
"184",1376
"185",1377
"186",1379
"187",1380
"188",1381
"189",1382
"190",1383
"191",1384
"192",1385
"193",1387
"194",1388
"195",1389
"196",1390
"197",1391
"198",1392
"199",1393
"200",1394
"201",1395
"202",1396
"203",1398
"204",1399
"205",1400
"206",1401
"207",1402
"208",1403
"209",1404
"210",1405
"211",1406
"212",1407
"213",1409
"214",1410
"215",1411
"216",1413
"217",1414
"218",1415
"219",1416
"220",1417
"221",1418
"222",1420
"223",1421
"224",1424
"225",1425
"226",1426
"227",1427
"228",1428
"229",1429
"230",1431
"231",1440
"232",1453
"233",1464
"234",1475
"235",1486
"236",1497
"237",1498
"238",1499
"239",1502
"240",1508
"241",1509
"242",1510
"243",1511
"244",1512
"245",1514
"246",1515
"247",1519
"248",1520
"249",1521
"250",1522
"251",1523
"252",1524
"253",1525
"254",1526
"255",1527
"256",1530
"257",1531
"258",1532
"259",1533
"260",1534
"261",1535
"262",1536
"263",1537
"264",1538
"265",1539
"266",1541
"267",1542
"268",1544
"269",1545
"270",1546
"271",1547
"272",1548
"273",1549
"274",1550
"275",1556
"276",1557
"277",1558
"278",1559
"279",1560
"280",1561
"281",1574
"282",1585
"283",1618
"284",1619
"285",1629
"286",1630
"287",1640
"288",1641
"289",1642
"290",1643
"291",1644
"292",1645
"293",1646
"294",1651
"295",1652
"296",1653
"297",1654
"298",1655
"299",1656
"300",1657
"301",1658
"302",1659
"303",1660
"304",1662
"305",1663
"306",1664
"307",1665
"308",1666
"309",1667
"310",1668
"311",1669
"312",1670
"313",1671
"314",1675
"315",1676
"316",1677
"317",1678
"318",1679
"319",1680
"320",1681
"321",1682
"322",1750
"323",1761
"324",1764
"325",1769
"326",1772
"327",1773
"328",1774
"329",1775
"330",1776
"331",1777
"332",1778
"333",1779
"334",1783
"335",1784
"336",1785
"337",1786
"338",1787
"339",1788
"340",1789
"341",1790
"342",1791
"343",1792
"344",1795
"345",1796
"346",1797
"347",1798
"348",1799
"349",1800
"350",1801
"351",1802
"352",1803
"353",1849
"354",1871
"355",1882
"356",1893
"357",1894
"358",1895
"359",1896
"360",1897
"361",1904
"362",1905
"363",1906
"364",1907
"365",1908
"366",1909
"367",1910
"368",1911
"369",1912
"370",1913
"371",1916
"372",1917
"373",1918
"374",1919
"375",1920
"376",1921
"377",1922
"378",1923
"379",1924
"380",2003
"381",2014
"382",2015
"383",2016
"384",2017
"385",2025
"386",2026
"387",2027
"388",2028
"389",2029
"390",2030
"391",2031
"392",2032
"393",2033
"394",2036
"395",2037
"396",2038
"397",2039
"398",2040
"399",2041
"400",2042
"401",2043
"402",2044
"403",2045
"404",2124
"405",2135
"406",2136
"407",2137
"408",2146
"409",2147
"410",2148
"411",2149
"412",2150
"413",2151
"414",2152
"415",2153
"416",2154
"417",2158
"418",2159
"419",2160
"420",2161
"421",2162
"422",2163
"423",2164
"424",2165
"425",2166
"426",2245
"427",2256
"428",2267
"429",2268
"430",2269
"431",2270
"432",2271
"433",2272
"434",2273
"435",2274
"436",2278
"437",2279
"438",2280
"439",2281
"440",2282
"441",2283
"442",2284
"443",2285
"444",2286
"445",2287
"446",2366
"447",2377
"448",2388
"449",2389
"450",2390
"451",2391
"452",2392
"453",2399
"454",2400
"455",2401
"456",2402
"457",2403
"458",2404
"459",2405
"460",2406
"461",2407
"462",2408
"463",2520
"464",2521
"465",2524
"466",2525
"467",2528
"468",2529
"469",2663
"470",2674
"471",2675
"472",2677
"473",2679
"474",2685
"475",2686
"476",2687
"477",2688
"478",2689
"479",2690
"480",2691
"481",2692
"482",2693
"483",2696
"484",2697
"485",2698
"486",2699
"487",2700
"488",2701
"489",2702
"490",2703
"491",2704
"492",2705
"493",2707
"494",2708
"495",2709
"496",2710
"497",2711
"498",2712
"499",2713
"500",2714
"501",2715
"502",2716
"503",2718
"504",2719
"505",2720
"506",2721
"507",2722
"508",2723
"509",2724
"510",2725
"511",2726
"512",2727
"513",2733
"514",2735
"515",2736
"516",2737
"517",2738
"518",2746
"519",2747
"520",2748
"521",2749
"522",2759
"523",2760
"524",2771
"525",2784
"526",2795
"527",2806
"528",2807
"529",2808
"530",2813
"531",2817
"532",2818
"533",2819
"534",2820
"535",2821
"536",2822
"537",2823
"538",2828
"539",2829
"540",2830
"541",2831
"542",2832
"543",2833
"544",2834
"545",2835
"546",2836
"547",2837
"548",2839
"549",2840
"550",2841
"551",2842
"552",2843
"553",2844
"554",2845
"555",2846
"556",2847
"557",2848
"558",2851
"559",2852
"560",2853
"561",2854
"562",2855
"563",2856
"564",2857
"565",2858
"566",2859
"567",2864
"568",2865
"569",2866
"570",2867
"571",2868
"572",2869
"573",2870
"574",2878
"575",2879
"576",2880
"577",2881
"578",2892
"579",2905
"580",2927
"581",2928
"582",2938
"583",2939
"584",2949
"585",2950
"586",2951
"587",2952
"588",2953
"589",2955
"590",2960
"591",2961
"592",2962
"593",2963
"594",2964
"595",2965
"596",2966
"597",2967
"598",2968
"599",2972
"600",2973
"601",2974
"602",2975
"603",2976
"604",2977
"605",2978
"606",2979
"607",2980
"608",2982
"609",2984
"610",2985
"611",2986
"612",2987
"613",2988
"614",2989
"615",2990
"616",2991
"617",2994
"618",2995
"619",2996
"620",2997
"621",2998
"622",2999
"623",3000
"624",3001
"625",3002
"626",3013
"627",3026
"628",3048
"629",3059
"630",3070
"631",3071
"632",3081
"633",3082
"634",3083
"635",3084
"636",3085
"637",3089
"638",3092
"639",3093
"640",3094
"641",3095
"642",3096
"643",3097
"644",3098
"645",3099
"646",3103
"647",3104
"648",3105
"649",3106
"650",3107
"651",3108
"652",3109
"653",3110
"654",3111
"655",3112
"656",3116
"657",3117
"658",3118
"659",3119
"660",3120
"661",3121
"662",3122
"663",3123
"664",3133
"665",3134
"666",3169
"667",3180
"668",3191
"669",3203
"670",3205
"671",3206
"672",3213
"673",3214
"674",3215
"675",3216
"676",3217
"677",3218
"678",3219
"679",3220
"680",3224
"681",3225
"682",3226
"683",3227
"684",3228
"685",3229
"686",3230
"687",3231
"688",3232
"689",3233
"690",3236
"691",3237
"692",3238
"693",3239
"694",3240
"695",3241
"696",3242
"697",3243
"698",3244
"699",3253
"700",3254
"701",3255
"702",3290
"703",3301
"704",3312
"705",3323
"706",3324
"707",3334
"708",3335
"709",3336
"710",3337
"711",3338
"712",3345
"713",3346
"714",3347
"715",3348
"716",3349
"717",3350
"718",3351
"719",3352
"720",3353
"721",3357
"722",3358
"723",3359
"724",3360
"725",3361
"726",3362
"727",3363
"728",3364
"729",3365
"730",3372
"731",3373
"732",3375
"733",3376
"734",3411
"735",3444
"736",3456
"737",3457
"738",3458
"739",3466
"740",3467
"741",3468
"742",3469
"743",3470
"744",3471
"745",3472
"746",3473
"747",3474
"748",3478
"749",3479
"750",3480
"751",3481
"752",3482
"753",3483
"754",3484
"755",3485
"756",3491
"757",3494
"758",3496
"759",3497
"760",3554
"761",3565
"762",3576
"763",3577
"764",3587
"765",3588
"766",3589
"767",3590
"768",3591
"769",3592
"770",3593
"771",3594
"772",3598
"773",3599
"774",3600
"775",3601
"776",3602
"777",3603
"778",3604
"779",3605
"780",3606
"781",3607
"782",3611
"783",3612
"784",3613
"785",3614
"786",3615
"787",3616
"788",3617
"789",3618
"790",3675
"791",3697
"792",3708
"793",3709
"794",3710
"795",3711
"796",3719
"797",3720
"798",3721
"799",3722
"800",3723
"801",3724
"802",3725
"803",3726
"804",3730
"805",3731
"806",3732
"807",3733
"808",3734
"809",3735
"810",3736
"811",3737
"812",3738
"813",3739
"814",3807
"815",3818
"816",3829
"817",3840
"818",3841
"819",3844
"820",3845
"821",3851
"822",3852
"823",3853
"824",3854
"825",3855
"826",3856
"827",3857
"828",3858
"829",3859
"830",3860
"831",3994
"832",4005
"833",4006
"834",4007
"835",4009
"836",4010
"837",4011
"838",4016
"839",4017
"840",4018
"841",4019
"842",4020
"843",4021
"844",4022
"845",4023
"846",4024
"847",4025
"848",4028
"849",4029
"850",4030
"851",4031
"852",4032
"853",4033
"854",4034
"855",4035
"856",4036
"857",4041
"858",4042
"859",4043
"860",4044
"861",4045
"862",4046
"863",4047
"864",4055
"865",4056
"866",4057
"867",4058
"868",4068
"869",4069
"870",4080
"871",4091
"872",4115
"873",4126
"874",4127
"875",4128
"876",4129
"877",4137
"878",4138
"879",4139
"880",4140
"881",4141
"882",4142
"883",4143
"884",4145
"885",4148
"886",4149
"887",4150
"888",4151
"889",4152
"890",4153
"891",4154
"892",4155
"893",4156
"894",4160
"895",4161
"896",4162
"897",4163
"898",4164
"899",4165
"900",4166
"901",4167
"902",4168
"903",4172
"904",4173
"905",4174
"906",4175
"907",4176
"908",4177
"909",4178
"910",4179
"911",4185
"912",4186
"913",4187
"914",4188
"915",4189
"916",4190
"917",4197
"918",4198
"919",4199
"920",4200
"921",4201
"922",4212
"923",4223
"924",4236
"925",4247
"926",4258
"927",4269
"928",4270
"929",4271
"930",4272
"931",4275
"932",4280
"933",4281
"934",4282
"935",4283
"936",4284
"937",4285
"938",4286
"939",4287
"940",4288
"941",4291
"942",4293
"943",4294
"944",4295
"945",4296
"946",4297
"947",4298
"948",4299
"949",4300
"950",4304
"951",4305
"952",4306
"953",4307
"954",4308
"955",4309
"956",4310
"957",4311
"958",4314
"959",4316
"960",4317
"961",4318
"962",4319
"963",4320
"964",4321
"965",4322
"966",4333
"967",4344
"968",4357
"969",4379
"970",4390
