"","x"
"1",1
"2",0
"3",0
"4",0
"5",0
"6",1
"7",0
"8",0
"9",0
"10",0
"11",1
"12",0
"13",0
"14",0
"15",0
"16",1
"17",1
"18",1
"19",0
"20",1
"21",0
"22",1
"23",0
"24",0
"25",0
"26",0
"27",1
"28",0
"29",1
"30",1
"31",1
"32",0
"33",1
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",1
"42",0
"43",1
"44",0
"45",1
"46",0
"47",0
"48",0
"49",1
"50",1
"51",1
"52",1
"53",0
"54",0
"55",0
"56",0
"57",0
"58",1
"59",1
"60",0
"61",0
"62",1
"63",1
"64",1
"65",0
"66",1
"67",1
"68",1
"69",0
"70",0
"71",0
"72",1
"73",1
"74",1
"75",1
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",1
"85",1
"86",1
"87",0
"88",0
"89",1
"90",1
"91",0
"92",1
"93",1
"94",0
"95",0
"96",1
"97",1
"98",1
"99",0
"100",0
"101",1
"102",0
"103",0
"104",0
"105",0
"106",0
"107",1
"108",1
"109",0
"110",0
"111",0
"112",0
"113",1
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",1
"121",1
"122",0
"123",1
"124",0
"125",0
"126",0
"127",0
"128",0
"129",1
"130",1
"131",1
"132",0
"133",0
"134",0
"135",0
"136",1
"137",0
"138",0
"139",1
"140",0
"141",1
"142",1
"143",0
"144",1
"145",0
"146",1
"147",0
"148",0
"149",1
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",1
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",1
"166",0
"167",1
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",1
"177",1
"178",0
"179",1
"180",0
"181",0
"182",0
"183",0
"184",1
"185",1
"186",0
"187",0
"188",1
"189",0
"190",1
"191",0
"192",0
"193",0
"194",1
"195",0
"196",1
"197",0
"198",0
"199",1
"200",0
"201",1
"202",0
"203",0
"204",1
"205",1
"206",1
"207",1
"208",1
"209",1
"210",1
"211",0
"212",1
"213",1
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",1
"221",1
"222",1
"223",0
"224",1
"225",1
"226",0
"227",0
"228",1
"229",1
"230",0
"231",1
"232",0
"233",1
"234",0
"235",0
"236",0
"237",0
"238",1
"239",1
"240",1
"241",0
"242",0
"243",1
"244",1
"245",1
"246",1
"247",1
"248",0
"249",1
"250",1
"251",0
"252",1
"253",0
"254",0
"255",1
"256",0
"257",0
"258",1
"259",1
"260",1
"261",0
"262",0
"263",0
"264",0
"265",0
"266",1
"267",1
"268",0
"269",0
"270",1
"271",1
"272",1
"273",0
"274",1
"275",1
"276",0
"277",0
"278",1
"279",0
"280",1
"281",1
"282",1
"283",0
"284",0
"285",1
"286",1
"287",0
"288",1
"289",0
"290",0
"291",0
"292",1
"293",0
"294",1
"295",0
"296",0
"297",1
"298",1
"299",0
"300",0
"301",1
"302",1
"303",1
"304",1
"305",0
"306",0
"307",0
"308",0
"309",0
"310",1
"311",1
"312",0
"313",0
"314",0
"315",1
"316",0
"317",0
"318",1
"319",1
"320",0
"321",1
"322",0
"323",1
"324",1
"325",1
"326",1
"327",1
"328",1
"329",0
"330",1
"331",1
"332",1
"333",1
"334",1
"335",1
"336",1
"337",0
"338",1
"339",1
"340",0
"341",0
"342",1
"343",0
"344",0
"345",0
"346",0
"347",1
"348",1
"349",1
"350",0
"351",1
"352",1
"353",0
"354",0
"355",1
"356",0
"357",0
"358",1
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",1
"366",0
"367",0
"368",1
"369",1
"370",0
"371",0
"372",0
"373",1
"374",1
"375",0
"376",0
"377",0
"378",0
"379",0
"380",1
"381",1
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",1
"393",0
"394",1
"395",0
"396",1
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0
"404",1
"405",0
"406",0
"407",1
"408",1
"409",1
"410",1
"411",0
"412",0
"413",1
"414",1
"415",1
"416",0
"417",0
"418",0
"419",1
"420",0
"421",0
"422",1
"423",0
"424",0
"425",0
"426",0
"427",1
"428",1
"429",0
"430",0
"431",1
"432",0
"433",1
"434",0
"435",0
"436",1
"437",0
"438",0
"439",0
"440",1
"441",1
"442",0
"443",0
"444",0
"445",0
"446",1
"447",0
"448",0
"449",1
"450",1
"451",1
"452",0
"453",1
"454",1
"455",0
"456",0
"457",1
"458",0
"459",0
"460",1
"461",1
"462",1
"463",0
"464",1
"465",0
"466",1
"467",1
"468",1
"469",0
"470",1
"471",0
"472",0
"473",0
"474",0
"475",1
"476",0
"477",0
"478",1
"479",0
"480",1
"481",0
"482",0
"483",0
"484",0
"485",1
"486",0
"487",1
"488",0
"489",1
"490",1
"491",0
"492",0
"493",0
"494",0
"495",0
"496",1
"497",1
"498",1
"499",1
"500",1
"501",1
"502",0
"503",0
"504",1
"505",0
"506",0
"507",0
"508",1
"509",0
"510",0
"511",0
"512",1
"513",1
"514",0
"515",1
"516",0
"517",1
"518",1
"519",1
"520",1
"521",1
"522",0
"523",1
"524",1
"525",0
"526",0
"527",0
"528",0
"529",0
"530",1
"531",0
"532",0
"533",1
"534",0
"535",1
"536",0
"537",0
"538",0
"539",1
"540",0
"541",0
"542",1
"543",0
"544",0
"545",0
"546",1
"547",1
"548",1
"549",0
"550",0
"551",0
"552",0
"553",1
"554",1
"555",1
"556",1
"557",0
"558",1
"559",0
"560",1
"561",1
"562",0
"563",0
"564",0
"565",1
"566",0
"567",0
"568",0
"569",1
"570",1
"571",0
"572",0
"573",0
"574",0
"575",1
"576",0
"577",1
"578",0
"579",1
"580",0
"581",1
"582",0
"583",0
"584",1
"585",1
"586",1
"587",0
"588",1
"589",0
"590",0
"591",0
"592",1
"593",0
"594",1
"595",1
"596",0
"597",0
"598",0
"599",0
"600",0
"601",0
"602",1
"603",0
"604",1
"605",0
"606",0
"607",1
"608",1
"609",0
"610",1
"611",1
"612",1
"613",0
"614",1
"615",0
"616",1
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",1
"624",0
"625",0
"626",0
"627",0
"628",0
"629",1
"630",0
"631",1
"632",0
"633",1
"634",0
"635",1
"636",0
"637",1
"638",1
"639",0
"640",0
"641",0
"642",1
"643",1
"644",0
"645",1
"646",0
"647",0
"648",1
"649",1
"650",0
"651",1
"652",0
"653",0
"654",1
"655",0
"656",0
"657",0
"658",0
"659",1
"660",0
"661",0
"662",0
"663",1
"664",0
"665",0
"666",1
"667",1
"668",0
"669",0
"670",1
"671",1
"672",0
"673",0
"674",0
"675",0
