"","x"
"1",1
"2",11
"3",21
"4",41
"5",51
"6",52
"7",56
"8",61
"9",62
"10",63
"11",64
"12",65
"13",66
"14",68
"15",69
"16",71
"17",72
"18",73
"19",74
"20",75
"21",76
"22",77
"23",78
"24",79
"25",80
"26",81
"27",82
"28",83
"29",84
"30",85
"31",86
"32",87
"33",88
"34",89
"35",90
"36",91
"37",92
"38",93
"39",94
"40",95
"41",96
"42",97
"43",98
"44",99
"45",100
"46",101
"47",111
"48",151
"49",161
"50",163
"51",165
"52",171
"53",172
"54",173
"55",174
"56",177
"57",178
"58",179
"59",181
"60",182
"61",183
"62",184
"63",185
"64",186
"65",187
"66",188
"67",189
"68",190
"69",191
"70",192
"71",193
"72",194
"73",195
"74",196
"75",197
"76",198
"77",199
"78",200
"79",211
"80",281
"81",282
"82",283
"83",284
"84",285
"85",286
"86",287
"87",288
"88",289
"89",290
"90",291
"91",292
"92",293
"93",294
"94",295
"95",296
"96",297
"97",298
"98",299
"99",300
"100",371
"101",381
"102",382
"103",383
"104",384
"105",385
"106",386
"107",387
"108",388
"109",389
"110",391
"111",392
"112",393
"113",394
"114",395
"115",396
"116",397
"117",398
"118",399
"119",400
"120",481
"121",484
"122",485
"123",486
"124",488
"125",489
"126",491
"127",492
"128",493
"129",494
"130",495
"131",496
"132",497
"133",498
"134",499
"135",500
"136",581
"137",585
"138",591
"139",592
"140",593
"141",594
"142",595
"143",596
"144",597
"145",598
"146",599
"147",600
"148",681
"149",691
"150",692
"151",693
"152",695
"153",696
"154",697
"155",698
"156",699
"157",700
"158",791
"159",792
"160",793
"161",794
"162",795
"163",796
"164",797
"165",798
"166",799
"167",800
"168",891
"169",892
"170",893
"171",894
"172",898
"173",899
"174",900
"175",1001
"176",1011
"177",1021
"178",1022
"179",1031
"180",1032
"181",1033
"182",1036
"183",1041
"184",1042
"185",1044
"186",1045
"187",1046
"188",1047
"189",1048
"190",1049
"191",1050
"192",1051
"193",1052
"194",1053
"195",1054
"196",1055
"197",1056
"198",1057
"199",1058
"200",1059
"201",1060
"202",1061
"203",1062
"204",1063
"205",1064
"206",1065
"207",1066
"208",1067
"209",1068
"210",1069
"211",1070
"212",1071
"213",1072
"214",1073
"215",1075
"216",1076
"217",1077
"218",1078
"219",1079
"220",1080
"221",1081
"222",1082
"223",1085
"224",1086
"225",1087
"226",1088
"227",1089
"228",1090
"229",1091
"230",1100
"231",1101
"232",1111
"233",1121
"234",1131
"235",1141
"236",1142
"237",1143
"238",1146
"239",1151
"240",1152
"241",1153
"242",1154
"243",1155
"244",1157
"245",1158
"246",1161
"247",1162
"248",1163
"249",1164
"250",1165
"251",1166
"252",1167
"253",1168
"254",1169
"255",1171
"256",1172
"257",1173
"258",1174
"259",1175
"260",1176
"261",1177
"262",1178
"263",1179
"264",1180
"265",1181
"266",1182
"267",1184
"268",1185
"269",1186
"270",1187
"271",1188
"272",1189
"273",1190
"274",1195
"275",1196
"276",1197
"277",1198
"278",1199
"279",1200
"280",1201
"281",1211
"282",1241
"283",1242
"284",1251
"285",1252
"286",1261
"287",1262
"288",1263
"289",1264
"290",1265
"291",1266
"292",1267
"293",1271
"294",1272
"295",1273
"296",1274
"297",1275
"298",1276
"299",1277
"300",1278
"301",1279
"302",1280
"303",1281
"304",1282
"305",1283
"306",1284
"307",1285
"308",1286
"309",1287
"310",1288
"311",1289
"312",1290
"313",1293
"314",1294
"315",1295
"316",1296
"317",1297
"318",1298
"319",1299
"320",1300
"321",1351
"322",1361
"323",1364
"324",1369
"325",1371
"326",1372
"327",1373
"328",1374
"329",1375
"330",1376
"331",1377
"332",1378
"333",1381
"334",1382
"335",1383
"336",1384
"337",1385
"338",1386
"339",1387
"340",1388
"341",1389
"342",1390
"343",1392
"344",1393
"345",1394
"346",1395
"347",1396
"348",1397
"349",1398
"350",1399
"351",1400
"352",1431
"353",1451
"354",1461
"355",1471
"356",1472
"357",1473
"358",1474
"359",1475
"360",1481
"361",1482
"362",1483
"363",1484
"364",1485
"365",1486
"366",1487
"367",1488
"368",1489
"369",1490
"370",1492
"371",1493
"372",1494
"373",1495
"374",1496
"375",1497
"376",1498
"377",1499
"378",1500
"379",1561
"380",1571
"381",1572
"382",1573
"383",1574
"384",1581
"385",1582
"386",1583
"387",1584
"388",1585
"389",1586
"390",1587
"391",1588
"392",1589
"393",1591
"394",1592
"395",1593
"396",1594
"397",1595
"398",1596
"399",1597
"400",1598
"401",1599
"402",1600
"403",1661
"404",1671
"405",1672
"406",1673
"407",1681
"408",1682
"409",1683
"410",1684
"411",1685
