"","x"
"1",2
"2",0
"3",0
"4",-499
"5",-494
"6",-3492
"7",-13453
"8",-78120
"9",-254611
"10",0
"11",1
"12",0
"13",2
"14",3
"15",6
"16",180
"17",1020
"18",0
"19",75
"20",498
"21",1
"22",18
"23",143
"24",9
"25",83
"26",1
"27",39
"28",1
"29",21
"30",21
"31",5
"32",4
"33",-494
"34",-992
"35",-500
"36",-984
"37",-7461
"38",-18880
"39",-23646
"40",-16644
"41",-1482
"42",0
"43",2
"44",0
"45",1
"46",3
"47",18
"48",45
"49",327
"50",721
"51",73
"52",1
"53",1
"54",1
"55",6
"56",7
"57",113
"58",640
"59",114
"60",0
"61",3
"62",27
"63",388
"64",114
"65",0
"66",0
"67",1
"68",4
"69",316
"70",81
"71",2
"72",3
"73",219
"74",81
"75",2
"76",4
"77",124
"78",57
"79",0
"80",3
"81",22
"82",71
"83",1
"84",0
"85",11
"86",55
"87",7
"88",-499
"89",-993
"90",-488
"91",-1476
"92",-4442
"93",-10398
"94",-6827
"95",-939
"96",9
"97",3
"98",1
"99",2
"100",9
"101",11
"102",40
"103",113
"104",280
"105",263
"106",49
"107",6
"108",2
"109",3
"110",0
"111",9
"112",30
"113",105
"114",586
"115",104
"116",10
"117",0
"118",1
"119",1
"120",3
"121",10
"122",28
"123",575
"124",99
"125",4
"126",1
"127",1
"128",1
"129",3
"130",7
"131",449
"132",83
"133",3
"134",0
"135",0
"136",1
"137",2
"138",7
"139",424
"140",85
"141",15
"142",0
"143",3
"144",5
"145",311
"146",86
"147",11
"148",1
"149",4
"150",3
"151",77
"152",99
"153",27
"154",1
"155",1
"156",6
"157",66
"158",44
"159",0
"160",0
"161",0
"162",6
"163",12
"164",5
"165",-485
"166",-2475
"167",-2463
"168",-929
"169",-1937
"170",8
"171",1
"172",-500
"173",0
"174",9
"175",18
"176",22
"177",87
"178",136
"179",123
"180",20
"181",4
"182",1
"183",0
"184",2
"185",2
"186",9
"187",28
"188",154
"189",409
"190",72
"191",7
"192",1
"193",2
"194",0
"195",0
"196",15
"197",207
"198",628
"199",79
"200",6
"201",3
"202",1
"203",1
"204",4
"205",173
"206",558
"207",65
"208",9
"209",0
"210",1
"211",2
"212",1
"213",2
"214",132
"215",451
"216",64
"217",7
"218",3
"219",0
"220",1
"221",1
"222",121
"223",320
"224",71
"225",13
"226",4
"227",1
"228",0
"229",2
"230",21
"231",50
"232",122
"233",32
"234",3
"235",1
"236",1
"237",1
"238",3
"239",75
"240",46
"241",16
"242",1
"243",1
"244",2
"245",20
"246",15
"247",-496
"248",-1979
"249",-3447
"250",-1452
"251",-464
"252",12
"253",2
"254",1
"255",9
"256",25
"257",38
"258",91
"259",136
"260",125
"261",19
"262",6
"263",1
"264",0
"265",4
"266",2
"267",12
"268",45
"269",290
"270",298
"271",34
"272",5
"273",9
"274",1
"275",4
"276",9
"277",17
"278",355
"279",336
"280",46
"281",10
"282",5
"283",4
"284",2
"285",3
"286",243
"287",313
"288",95
"289",8
"290",0
"291",1
"292",1
"293",1
"294",1
"295",4
"296",170
"297",232
"298",171
"299",7
"300",0
"301",1
"302",0
"303",0
"304",2
"305",71
"306",173
"307",245
"308",14
"309",8
"310",4
"311",1
"312",3
"313",4
"314",29
"315",123
"316",243
"317",34
"318",10
"319",7
"320",0
"321",2
"322",3
"323",3
"324",46
"325",100
"326",98
"327",37
"328",20
"329",1
"330",1
"331",1
"332",9
"333",-966
"334",-968
"335",-487
"336",13
"337",-2467
"338",-1460
"339",5
"340",4
"341",1
"342",0
"343",15
"344",49
"345",97
"346",103
"347",46
"348",9
"349",0
"350",1
"351",2
"352",6
"353",15
"354",58
"355",221
"356",124
"357",42
"358",6
"359",3
"360",0
"361",0
"362",9
"363",17
"364",230
"365",144
"366",82
"367",4
"368",3
"369",1
"370",0
"371",2
"372",10
"373",149
"374",238
"375",165
"376",4
"377",2
"378",1
"379",1
"380",1
"381",3
"382",5
"383",95
"384",312
"385",255
"386",0
"387",0
"388",2
"389",3
"390",3
"391",31
"392",348
"393",323
"394",4
"395",8
"396",2
"397",1
"398",2
"399",12
"400",37
"401",312
"402",274
"403",45
"404",10
"405",3
"406",6
"407",2
"408",3
"409",5
"410",18
"411",128
"412",160
"413",94
"414",42
"415",22
"416",11
"417",1
"418",2
"419",7
"420",-1470
"421",-946
"422",-1955
"423",-1965
"424",-492
"425",13
"426",23
"427",5
"428",1
"429",0
"430",24
"431",51
"432",58
"433",4
"434",0
"435",0
"436",1
"437",7
"438",23
"439",119
"440",60
"441",18
"442",2
"443",1
"444",0
"445",6
"446",10
"447",70
"448",315
"449",86
"450",3
"451",0
"452",2
"453",0
"454",1
"455",66
"456",485
"457",151
"458",1
"459",0
"460",0
"461",0
"462",3
"463",7
"464",55
"465",562
"466",194
"467",1
"468",0
"469",0
"470",2
"471",11
"472",71
"473",663
"474",211
"475",18
"476",3
"477",1
"478",0
"479",2
"480",7
"481",72
"482",452
"483",149
"484",36
"485",4
"486",2
"487",3
"488",1
"489",1
"490",3
"491",23
"492",130
"493",136
"494",77
"495",23
"496",15
"497",6
"498",5
"499",1
"500",3
"501",7
"502",-1947
"503",-3930
"504",-2960
"505",-2979
"506",-1485
"507",3
"508",14
"509",4
"510",1
"511",1
"512",1
"513",40
"514",68
"515",7
"516",0
"517",0
"518",24
"519",101
"520",73
"521",4
"522",2
"523",0
"524",8
"525",76
"526",294
"527",2
"528",0
"529",1
"530",8
"531",100
"532",408
"533",5
"534",1
"535",0
"536",1
"537",1
"538",11
"539",96
"540",495
"541",16
"542",2
"543",2
"544",0
"545",0
"546",9
"547",110
"548",547
"549",24
"550",9
"551",2
"552",0
"553",2
"554",1
"555",11
"556",134
"557",583
"558",124
"559",41
"560",4
"561",3
"562",2
"563",1
"564",6
"565",52
"566",294
"567",291
"568",99
"569",38
"570",17
"571",17
"572",3
"573",3
"574",2
"575",-994
"576",-3958
"577",-5847
"578",-9889
"579",-7430
"580",-2471
"581",-1486
"582",-1486
"583",4
"584",4
"585",48
"586",6
"587",1
"588",0
"589",61
"590",33
"591",1
"592",1
"593",61
"594",109
"595",4
"596",1
"597",99
"598",241
"599",3
"600",0
"601",119
"602",325
"603",6
"604",0
"605",2
"606",1
"607",97
"608",390
"609",11
"610",0
"611",1
"612",112
"613",663
"614",98
"615",10
"616",2
"617",3
"618",0
"619",0
"620",63
"621",698
"622",377
"623",39
"624",13
"625",4
"626",2
"627",3
"628",0
"629",1
"630",-2974
"631",-20202
"632",-34654
"633",-26884
"634",-5957
"635",-4485
"636",-998
"637",7
"638",-498
"639",2
"640",11
"641",22
"642",34
"643",0
"644",41
"645",3
"646",88
"647",8
"648",187
"649",18
"650",0
"651",472
"652",78
"653",1
"654",1060
"655",168
"656",15
"657",0
"658",0
"659",1
"660",2
"661",-268112
"662",-85083
"663",-12944
"664",-489
"665",-495
"666",-498
"667",-1000
"668",-998
"669",-500
"670",-500
"671",0
