"","x"
"1",1
"2",1
"3",1
"4",1
"5",0
"6",0
"7",1
"8",1
"9",1
"10",1
"11",0
"12",0
"13",1
"14",1
"15",0
"16",1
"17",0
"18",0
"19",0
"20",1
"21",1
"22",0
"23",0
"24",1
"25",0
"26",0
"27",0
"28",1
"29",0
"30",0
"31",0
"32",1
"33",0
"34",0
"35",1
"36",1
"37",1
"38",1
"39",1
"40",0
"41",1
"42",0
"43",1
"44",0
"45",0
"46",0
"47",1
"48",1
"49",0
"50",1
"51",1
"52",1
"53",1
"54",0
"55",1
"56",0
"57",1
"58",0
"59",1
"60",0
"61",1
"62",1
"63",0
"64",1
"65",0
"66",0
"67",1
"68",0
"69",0
"70",0
"71",1
"72",0
"73",0
"74",0
"75",1
"76",0
"77",1
"78",0
"79",0
"80",1
"81",0
"82",1
"83",1
"84",0
"85",1
"86",1
"87",1
"88",0
"89",1
"90",1
"91",1
"92",1
"93",1
"94",0
"95",1
"96",1
"97",1
"98",0
"99",0
"100",0
"101",0
"102",1
"103",1
"104",0
"105",0
"106",0
"107",0
"108",1
"109",1
"110",0
"111",1
"112",0
"113",0
"114",1
"115",0
"116",0
"117",0
"118",0
"119",1
"120",1
"121",1
"122",1
"123",1
"124",0
"125",0
"126",1
"127",1
"128",0
"129",1
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",1
"137",1
"138",1
"139",1
"140",0
"141",1
"142",0
"143",1
"144",1
"145",1
"146",1
"147",1
"148",1
"149",1
"150",0
"151",1
"152",0
"153",1
"154",1
"155",1
"156",0
"157",0
"158",1
"159",0
"160",0
"161",0
"162",1
"163",0
"164",1
"165",1
"166",0
"167",1
"168",1
"169",0
"170",1
"171",0
"172",0
"173",0
"174",1
"175",1
"176",0
"177",1
"178",0
"179",0
"180",0
"181",1
"182",0
"183",0
"184",0
"185",0
"186",1
"187",0
"188",1
"189",0
"190",0
"191",0
"192",0
"193",1
"194",0
"195",0
"196",0
"197",0
"198",0
"199",1
"200",0
"201",1
"202",1
"203",1
"204",1
"205",0
"206",0
"207",1
"208",1
"209",0
"210",1
"211",1
"212",1
"213",1
"214",0
"215",0
"216",0
"217",1
"218",1
"219",0
"220",1
"221",0
"222",1
"223",1
"224",1
"225",1
"226",0
"227",1
"228",0
"229",0
"230",1
"231",0
"232",1
"233",1
"234",0
"235",0
"236",1
"237",1
"238",0
"239",1
"240",0
"241",0
"242",1
"243",0
"244",0
"245",0
"246",1
"247",1
"248",1
"249",0
"250",0
"251",1
"252",1
"253",0
"254",0
"255",0
"256",1
"257",0
"258",0
"259",0
"260",0
"261",1
"262",1
"263",0
"264",0
"265",0
"266",0
"267",1
"268",0
"269",1
"270",0
"271",0
"272",0
"273",1
"274",0
"275",1
"276",1
"277",1
"278",1
"279",0
"280",1
"281",1
"282",1
"283",1
"284",1
"285",1
"286",0
"287",1
"288",0
"289",1
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",1
"297",0
"298",1
"299",0
"300",0
"301",1
"302",0
"303",0
"304",0
"305",0
"306",1
"307",1
"308",0
"309",0
"310",1
"311",1
"312",0
"313",0
"314",0
"315",0
"316",1
"317",0
"318",0
"319",1
"320",0
"321",1
"322",1
"323",0
"324",0
"325",0
"326",1
"327",0
"328",1
"329",1
"330",0
"331",0
"332",1
"333",1
"334",1
"335",0
"336",1
"337",0
"338",0
"339",0
"340",1
"341",0
"342",0
"343",0
"344",1
"345",0
"346",1
"347",0
"348",1
"349",0
"350",0
"351",1
"352",0
"353",1
"354",1
"355",0
"356",1
"357",1
"358",1
"359",0
"360",0
"361",0
"362",1
"363",1
"364",0
"365",0
"366",1
"367",1
"368",1
"369",1
"370",0
"371",1
"372",1
"373",0
"374",1
"375",0
"376",0
"377",1
"378",0
"379",0
"380",0
"381",1
"382",0
"383",0
"384",0
"385",1
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",1
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",1
"400",1
"401",1
"402",0
"403",0
"404",0
"405",1
"406",1
"407",1
"408",1
"409",0
"410",0
"411",1
"412",1
"413",1
"414",1
"415",0
"416",1
"417",0
"418",0
"419",0
"420",0
"421",1
"422",1
"423",0
"424",0
"425",0
"426",1
"427",1
"428",0
"429",0
"430",1
"431",1
"432",0
"433",1
"434",0
"435",0
"436",0
"437",1
"438",0
"439",0
"440",1
"441",0
"442",0
"443",1
"444",0
"445",1
"446",0
"447",0
"448",0
"449",0
"450",1
"451",0
"452",1
"453",0
"454",0
"455",1
"456",1
"457",1
"458",0
"459",0
"460",0
"461",0
"462",1
"463",0
"464",0
"465",1
"466",1
"467",0
"468",0
"469",0
"470",0
"471",1
"472",0
"473",1
"474",1
"475",1
"476",1
"477",1
"478",0
"479",1
"480",0
"481",0
