Step,CartPos,CartVelocity,PoleAngle,PoleVelocity,Action,Reward
0,0.009718457501291881,0.23670248676947298,-0.021046238124986776,-0.2668184583813937,0,1.0
1,0.014452507236681341,0.04188713174832187,-0.02638260729261465,0.019152720073634444,0,1.0
2,0.015290249871647779,-0.15284672378727035,-0.02599955289114196,0.30339626530274083,0,1.0
3,0.012233315395902371,-0.3475886758878083,-0.019931627585087146,0.5877674608415523,0,1.0
4,0.005281541878146206,-0.542425908619613,-0.0081762783682561,0.8741057491286346,0,1.0
5,-0.005566976294246056,-0.7374357461202102,0.009305836614316594,1.1642069288476797,0,1.0
6,-0.02031569121665026,-0.9326776067251318,0.03258997519127019,1.459792915570483,1,1.0
7,-0.0389692433511529,-0.7379700957154851,0.06178583350267985,1.1774664921201896,0,1.0
8,-0.0537286452654626,-0.9338377318865289,0.08533516334508365,1.4888608125977225,0,1.0
9,-0.07240539990319318,-1.1298890462852815,0.1151123795970381,1.806925785918506,1,1.0
10,-0.09500318082889882,-0.9362245106901601,0.15125089531540822,1.5521198719434708,1,1.0
11,-0.11372767104270202,-0.7432052948662279,0.18229329275427764,1.3101949009284113,1,1.0
12,-0.12859177694002658,-0.5507992365047357,0.20849719077284587,1.0796658010918154,1,1.0
13,-0.1396077616701213,-0.35894758716746555,0.23009050679468218,0.8589757212993354,0,1.0
14,-0.1467867134134706,-0.5563387121896151,0.24727002122066888,1.2143105684006532,1,0.0
0,0.004804265260288535,0.21911787357385448,0.003608646551865168,-0.31424453573653066,1,1.0
1,0.009186622731765626,0.41418823375773967,-0.002676244162865446,-0.6057872310278891,0,1.0
2,0.017470387406920418,0.21910380768244608,-0.01479198878342323,-0.31394845469634813,0,1.0
3,0.02185246356056934,0.02419566219150729,-0.021070957877350194,-0.02596690684611458,1,1.0
4,0.022336376804399486,0.2196133509439339,-0.021590296014272484,-0.3252227736729984,1,1.0
5,0.026728643823278164,0.4150359502454085,-0.028094751487732453,-0.624635408329827,0,1.0
6,0.03502936282818633,0.2203172569159624,-0.04058745965432899,-0.3409314019271386,1,1.0
7,0.039435707966505584,0.41599247813309936,-0.047406087692871766,-0.6461319461474558,0,1.0
8,0.047755557529167575,0.22156202805313024,-0.06032872661582088,-0.3687460927714614,0,1.0
9,0.05218679809023018,0.027346841616457007,-0.06770364847125011,-0.09567918368826989,1,1.0
10,0.05273373492255932,0.223370547867284,-0.06961723214501551,-0.4089307722225172,0,1.0
11,0.057201145879905,0.029301149262310255,-0.07779584758946587,-0.13898275350731337,1,1.0
12,0.0577871688651512,0.2254461595505641,-0.08057550265961214,-0.45515930239018226,0,1.0
13,0.06229609205616248,0.03155042762414234,-0.08967868870741579,-0.18892290474305573,0,1.0
14,0.06292710060864533,-0.16218170494609466,-0.0934571468022769,0.0741773339493873,1,1.0
15,0.059683466509723435,0.0341471597297551,-0.09197360012328916,-0.24646723261057002,1,1.0
16,0.06036640970431854,0.23045411359228687,-0.09690294477550056,-0.5666852313234259,1,1.0
17,0.06497549197616427,0.4267923195386846,-0.10823664940196907,-0.888255783314321,0,1.0
18,0.07351133836693796,0.23329261487745181,-0.1260017650682555,-0.6314642077144144,0,1.0
19,0.078177190664487,0.0401329666929057,-0.1386310492225438,-0.3809682845794806,0,1.0
20,0.07897984999834512,-0.15277621223689664,-0.1462504149141334,-0.13500774805321428,1,1.0
21,0.07592432575360719,0.04410487126258816,-0.1489505698751977,-0.4700211597086148,0,1.0
22,0.07680642317885895,-0.14863376958206995,-0.15835099306937,-0.2277441061451833,1,1.0
23,0.07383374778721756,0.048354997680249506,-0.16290587519227367,-0.5658912397906319,1,1.0
24,0.07480084774082255,0.2453423274812567,-0.17422369998808632,-0.9051428815602494,1,1.0
25,0.07970769429044768,0.44234096366787046,-0.1923265576192913,-1.2471304419389804,0,1.0
26,0.08855451356380509,0.2501335365714799,-0.2172691664580709,-1.0203311912205097,0,1.0
27,0.09355718429523469,0.05846315366252411,-0.2376757902824811,-0.8029606993003644,0,0.0
0,0.003942495985810995,-0.20871608728125224,0.010328527186830975,0.24649433404746826,1,1.0
1,-0.00023182575981404996,-0.01374316133781639,0.015258413867780339,-0.04291292244225506,0,1.0
2,-0.0005066889865703778,-0.20908055174420717,0.014400155418935238,0.2545448547178051,0,1.0
3,-0.004688300021454522,-0.40440512001813067,0.019491052513291342,0.5517348294977766,1,1.0
4,-0.012776402421817136,-0.2095622554952939,0.030525749103246874,0.26525605334085467,0,1.0
5,-0.016967647531723015,-0.40510629516475094,0.03583087017006397,0.5674086408906267,0,1.0
6,-0.025069773435018032,-0.6007120543125956,0.04717904298787651,0.8711609751382461,0,1.0
7,-0.03708401452126994,-0.7964428448994527,0.06460226249064144,1.1782959628347593,1,1.0
8,-0.053012871419259,-0.6022165942269333,0.08816818174733662,0.9065441777367502,1,1.0
9,-0.06505720330379766,-0.4083919237226219,0.10629906530207163,0.6428243553687469,1,1.0
10,-0.0732250417782501,-0.2148996016881838,0.11915555240944657,0.3854172057514752,0,1.0
11,-0.07752303381201377,-0.41149378788073776,0.12686389652447608,0.71316641505366,1,1.0
12,-0.08575290956962853,-0.21833526435146983,0.1411272248255493,0.46295510684253643,0,1.0
13,-0.09011961485665793,-0.41514009613834574,0.1503863269624,0.7965812361432778,0,1.0
14,-0.09842241677942484,-0.6119704143477254,0.16631795168526556,1.132541470522667,1,1.0
15,-0.11066182506637935,-0.4193690442632495,0.1889687810957189,0.8962983269489238,0,1.0
16,-0.11904920595164434,-0.6164808751649296,0.2068947476346974,1.2419294976182682,0,1.0
17,-0.13137882345494292,-0.8135683940731964,0.23173333758706277,1.5916500299721195,1,1.0
18,-0.14765019133640686,-0.6218245281465097,0.26356633818650516,1.37924373998369,1,0.0
0,-0.014960733941349483,-0.1609005656364857,0.036358031313215335,0.29257400611687545,0,1.0
1,-0.0181787452540792,-0.35652153610516873,0.04220951143555284,0.5964984450458871,0,1.0
2,-0.025309175976182572,-0.552207971470501,0.054139480336470584,0.9021725661881643,1,1.0
3,-0.036353335405592595,-0.3578596151994744,0.07218293166023387,0.6269863985357995,0,1.0
4,-0.04351052770958208,-0.5539109090693217,0.08472265963094987,0.9415009040705715,1,1.0
5,-0.054588745890968515,-0.36002660530723307,0.10355267771236129,0.6765962641654859,1,1.0
6,-0.06178927799711317,-0.16648430674828063,0.11708460299567101,0.41822807049882677,0,1.0
7,-0.06511896413207878,-0.3630539073179868,0.12544916440564755,0.7454080062817894,1,1.0
8,-0.07238004227843851,-0.169865735071506,0.14035732453128333,0.49468837409045396,1,1.0
9,-0.07577735697986863,0.023026790608027897,0.15025109201309242,0.24932462137982708,1,1.0
10,-0.07531682116770808,0.21571937106216252,0.15523758444068897,0.007550001867628331,1,1.0
11,-0.07100243374646482,0.40831370640613374,0.15538858447804155,-0.23241076980423667,0,1.0
12,-0.06283615961834214,0.21135230086459758,0.15074036908195682,0.10497231435022411,0,1.0
13,-0.05860911360105019,0.01442766761544445,0.1528398153689613,0.44115964892619564,0,1.0
14,-0.058320560248741306,-0.18248937435707016,0.1616630083474852,0.7778520980160264,1,1.0
