"","x"
"1",1
"2",0
"3",1
"4",0
"5",0
"6",0
"7",1
"8",0
"9",1
"10",1
"11",0
"12",1
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",1
"20",0
"21",1
"22",1
"23",2
"24",1
"25",1
"26",0
"27",0
"28",2
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",1
"36",1
"37",0
"38",2
"39",0
"40",1
"41",0
"42",0
"43",0
"44",1
"45",6
"46",4
"47",3
"48",1
"49",2
"50",0
"51",1
"52",0
"53",0
"54",0
"55",0
"56",2
"57",1
"58",2
"59",5
"60",6
"61",16
"62",29
"63",34
"64",37
"65",0
"66",1
"67",0
"68",0
"69",0
"70",4
"71",6
"72",18
"73",45
"74",122
"75",239
"76",1
"77",1
"78",1
"79",1
"80",0
"81",1
"82",1
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",1
"90",1
"91",1
"92",0
"93",1
"94",2
"95",0
"96",0
"97",1
"98",4
"99",1
"100",1
"101",0
"102",0
"103",1
"104",1
"105",0
"106",0
"107",3
"108",0
"109",2
"110",3
"111",5
"112",13
"113",14
"114",26
"115",25
"116",11
"117",0
"118",0
"119",0
"120",1
"121",0
"122",3
"123",2
"124",4
"125",6
"126",15
"127",34
"128",73
"129",107
"130",137
"131",0
"132",1
"133",0
"134",1
"135",0
"136",0
"137",1
"138",0
"139",1
"140",0
"141",0
"142",2
"143",2
"144",4
"145",4
"146",3
"147",12
"148",13
"149",14
"150",9
"151",1
"152",0
"153",0
"154",0
"155",3
"156",1
"157",1
"158",3
"159",6
"160",4
"161",11
"162",16
"163",19
"164",34
"165",37
"166",68
"167",65
"168",0
"169",1
"170",0
"171",1
"172",1
"173",2
"174",2
"175",2
"176",5
"177",4
"178",4
"179",2
"180",6
"181",7
"182",4
"183",2
"184",0
"185",0
"186",1
"187",0
"188",0
"189",1
"190",1
"191",7
"192",4
"193",7
"194",12
"195",14
"196",20
"197",33
"198",40
"199",18
"200",0
"201",1
"202",2
"203",1
"204",0
"205",1
"206",1
"207",1
"208",4
"209",2
"210",1
"211",0
"212",1
"213",2
"214",3
"215",1
"216",1
"217",0
"218",0
"219",2
"220",0
"221",1
"222",2
"223",2
"224",3
"225",11
"226",9
"227",12
"228",18
"229",14
"230",7
"231",1
"232",0
"233",1
"234",1
"235",1
"236",1
"237",1
"238",1
"239",0
"240",0
"241",0
"242",4
"243",1
"244",3
"245",2
"246",3
"247",6
"248",5
"249",8
"250",7
"251",0
"252",0
"253",0
"254",1
"255",0
"256",0
"257",2
"258",2
"259",0
"260",0
"261",2
"262",0
"263",3
"264",2
"265",0
"266",0
"267",0
"268",1
"269",1
"270",0
"271",1
"272",0
"273",1
"274",1
"275",0
"276",3
"277",0
"278",2
"279",0
"280",4
"281",1
"282",1
"283",1
"284",1
"285",0
"286",1
"287",2
"288",0
"289",0
"290",1
"291",0
"292",1
"293",0
"294",0
"295",0
"296",1
"297",0
"298",1
"299",0
"300",0
"301",0
"302",0
"303",0
"304",1
"305",0
"306",1
"307",2
"308",0
"309",1
"310",0
"311",1
"312",0
"313",0
"314",0
"315",1
"316",0
"317",1
"318",0
"319",1
"320",0
"321",1
"322",0
"323",0
"324",1
"325",0
"326",0
"327",0
"328",0
"329",1
"330",0
"331",2
"332",1
"333",1
"334",0
"335",1
"336",0
"337",0
"338",0
"339",0
"340",0
"341",1
"342",1
"343",1
"344",1
"345",1
"346",0
"347",0
"348",0
"349",0
"350",1
"351",0
"352",0
"353",2
"354",1
"355",0
"356",1
"357",1
"358",0
"359",1
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",1
"367",1
"368",1
"369",0
"370",1
"371",1
"372",1
"373",3
"374",0
"375",1
"376",3
"377",0
"378",2
"379",1
"380",0
"381",1
"382",0
"383",2
"384",2
"385",3
"386",3
"387",10
"388",12
"389",16
"390",10
"391",0
"392",1
"393",2
"394",0
"395",5
"396",12
"397",24
"398",41
"399",37
"400",0
"401",0
"402",3
"403",2
"404",10
"405",21
"406",54
"407",4
"408",1
"409",0
"410",0
"411",0
"412",0
"413",1
"414",0
"415",0
"416",0
"417",1
"418",0
"419",1
"420",0
"421",0
"422",2
"423",2
"424",0
"425",1
"426",1
"427",1
"428",1
"429",0
"430",1
"431",1
"432",1
"433",1
"434",0
"435",1
"436",0
"437",0
"438",2
"439",1
"440",0
"441",1
"442",0
"443",1
"444",0
"445",0
"446",1
"447",0
"448",1
"449",2
"450",0
"451",1
"452",4
"453",5
"454",6
"455",14
"456",11
"457",1
"458",0
"459",0
"460",1
"461",0
"462",3
"463",2
"464",4
"465",8
"466",16
"467",11
"468",19
"469",30
"470",13
"471",1
"472",1
"473",3
"474",1
"475",9
"476",18
"477",47
"478",71
"479",59
"480",1
"481",2
"482",26
"483",0
"484",0
"485",1
"486",1
"487",1
"488",1
"489",1
"490",1
"491",1
"492",1
"493",0
"494",1
"495",0
"496",0
"497",0
"498",0
"499",1
"500",1
"501",0
"502",1
"503",1
"504",1
"505",2
"506",1
"507",1
"508",1
"509",2
"510",4
"511",1
"512",6
"513",1
"514",2
"515",0
"516",0
"517",0
"518",1
"519",1
"520",2
"521",5
"522",1
"523",5
"524",4
"525",5
"526",6
"527",12
"528",16
"529",20
"530",10
"531",1
"532",0
"533",1
"534",2
"535",1
"536",6
"537",9
"538",14
"539",17
"540",35
"541",51
"542",47
"543",23
"544",1
"545",0
"546",0
"547",1
"548",4
"549",12
"550",20
"551",1
"552",0
"553",1
"554",0
"555",0
"556",0
"557",0
"558",0
"559",2
"560",0
"561",0
"562",1
"563",1
"564",0
"565",0
"566",1
"567",0
"568",2
"569",1
"570",3
"571",2
"572",3
"573",6
"574",4
"575",6
"576",7
"577",15
"578",6
"579",4
"580",1
"581",2
"582",5
"583",6
"584",8
"585",11
"586",19
"587",10
"588",20
"589",34
"590",44
"591",29
"592",5
"593",2
"594",1
"595",1
"596",1
"597",3
"598",2
"599",5
"600",3
"601",14
"602",15
"603",0
"604",0
"605",2
"606",1
"607",1
"608",0
"609",1
"610",2
"611",3
"612",2
"613",2
"614",7
"615",6
"616",3
"617",1
"618",6
"619",1
"620",9
"621",4
"622",2
"623",3
"624",1
"625",2
"626",5
"627",8
"628",13
"629",8
"630",16
"631",15
"632",13
"633",21
"634",26
"635",24
"636",9
"637",0
"638",0
"639",1
"640",0
"641",0
"642",0
"643",0
"644",0
"645",4
"646",1
"647",2
"648",9
"649",10
"650",13
"651",9
"652",0
"653",2
"654",1
"655",0
"656",3
"657",0
"658",1
"659",0
"660",4
"661",3
"662",0
"663",0
"664",0
"665",3
"666",2
"667",2
"668",1
"669",1
"670",1
"671",0
"672",2
"673",1
"674",1
"675",6
