"","x"
"1",1
"2",1
"3",1
"4",1
"5",0
"6",0
"7",1
"8",1
"9",1
"10",1
"11",0
"12",0
"13",1
"14",0
"15",1
"16",1
"17",0
"18",0
"19",0
"20",0
"21",1
"22",1
"23",1
"24",0
"25",1
"26",0
"27",1
"28",0
"29",0
"30",0
"31",0
"32",1
"33",1
"34",0
"35",1
"36",1
"37",1
"38",1
"39",0
"40",1
"41",0
"42",0
"43",0
"44",1
"45",1
"46",1
"47",1
"48",0
"49",1
"50",0
"51",0
"52",0
"53",1
"54",0
"55",1
"56",0
"57",1
"58",0
"59",1
"60",1
"61",0
"62",1
"63",0
"64",1
"65",0
"66",1
"67",0
"68",0
"69",0
"70",1
"71",0
"72",0
"73",1
"74",0
"75",1
"76",1
"77",1
"78",1
"79",1
"80",0
"81",0
"82",1
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",1
"91",1
"92",0
"93",1
"94",1
"95",0
"96",0
"97",1
"98",1
"99",1
"100",1
"101",0
"102",0
"103",1
"104",0
"105",0
"106",0
"107",1
"108",0
"109",0
"110",0
"111",1
"112",1
"113",0
"114",1
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",1
"123",0
"124",0
"125",0
"126",0
"127",0
"128",1
"129",0
"130",1
"131",0
"132",0
"133",0
"134",1
"135",0
"136",0
"137",1
"138",0
"139",1
"140",0
"141",0
"142",1
"143",0
"144",1
"145",0
"146",0
"147",1
"148",0
"149",0
"150",0
"151",1
"152",0
"153",0
"154",0
"155",1
"156",1
"157",1
"158",1
"159",1
"160",1
"161",0
"162",1
"163",0
"164",0
"165",0
"166",1
"167",1
"168",0
"169",0
"170",0
"171",1
"172",1
"173",1
"174",1
"175",0
"176",1
"177",0
"178",1
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",1
"187",0
"188",0
"189",1
"190",0
"191",1
"192",0
"193",0
"194",1
"195",0
"196",0
"197",0
"198",1
"199",0
"200",0
"201",1
"202",1
"203",1
"204",0
"205",1
"206",1
"207",0
"208",1
"209",1
"210",1
"211",0
"212",0
"213",0
"214",1
"215",1
"216",1
"217",0
"218",0
"219",0
"220",0
"221",1
"222",0
"223",0
"224",0
"225",1
"226",1
"227",0
"228",1
"229",0
"230",0
"231",1
"232",0
"233",1
"234",0
"235",1
"236",1
"237",1
"238",1
"239",0
"240",0
"241",0
"242",1
"243",0
"244",0
"245",1
"246",1
"247",1
"248",0
"249",1
"250",1
"251",0
"252",0
"253",0
"254",1
"255",0
"256",0
"257",1
"258",1
"259",0
"260",0
"261",0
"262",0
"263",1
"264",1
"265",0
"266",0
"267",0
"268",1
"269",1
"270",0
"271",1
"272",0
"273",0
"274",1
"275",0
"276",1
"277",0
"278",0
"279",0
"280",1
"281",1
"282",1
"283",1
"284",0
"285",0
"286",0
"287",1
"288",0
"289",0
"290",1
"291",0
"292",1
"293",0
"294",0
"295",0
"296",1
"297",0
"298",1
"299",0
"300",0
"301",0
"302",0
"303",0
"304",1
"305",0
"306",1
"307",1
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",1
"316",0
"317",1
"318",0
"319",1
"320",0
"321",1
"322",0
"323",0
"324",1
"325",1
"326",1
"327",1
"328",0
"329",0
"330",0
"331",1
"332",1
"333",1
"334",0
"335",1
"336",0
"337",0
"338",0
"339",0
"340",0
"341",1
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",1
"349",0
"350",1
"351",0
"352",1
"353",0
"354",1
"355",1
"356",1
"357",0
"358",1
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",1
"366",0
"367",0
"368",1
"369",0
"370",0
"371",1
"372",1
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",1
"380",0
"381",1
"382",0
"383",1
"384",0
"385",1
"386",0
"387",1
"388",1
"389",1
"390",1
"391",1
"392",1
"393",1
"394",1
"395",1
"396",1
"397",1
"398",0
"399",1
"400",0
"401",0
"402",1
"403",0
"404",1
"405",0
"406",1
"407",0
"408",1
"409",0
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",1
"418",0
"419",1
"420",0
"421",0
"422",1
"423",1
"424",0
"425",1
"426",1
"427",1
"428",1
"429",0
"430",1
"431",0
"432",1
"433",1
"434",0
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",1
"449",1
"450",0
"451",0
"452",0
"453",1
"454",0
"455",0
"456",1
"457",0
"458",0
"459",0
"460",1
"461",0
"462",1
"463",0
"464",0
"465",1
"466",1
"467",0
"468",0
"469",0
"470",0
"471",1
"472",1
"473",1
"474",0
"475",1
"476",0
"477",1
"478",0
"479",0
"480",1
"481",0
