Step,CartPos,CartVelocity,PoleAngle,PoleVelocity,Action,Reward
0,-0.03478007470344493,0.16648985024394275,-0.044228419500267686,-0.281416515927179,0,1.0
1,-0.03145027769856607,-0.027974227607875435,-0.04985674981881127,-0.003004570162349507,0,1.0
2,-0.03200976225072358,-0.22234702153074376,-0.04991684122205826,0.27354051939630464,0,1.0
3,-0.03645670268133845,-0.4167225142687505,-0.044446030834132164,0.5500711335776534,0,1.0
4,-0.04479115296671346,-0.6111929083298853,-0.0334446081625791,0.8284258159964213,0,1.0
5,-0.057015011133311165,-0.8058420361693713,-0.01687609184265067,1.1104053487324164,1,1.0
6,-0.0731318518566986,-0.6105024731224737,0.005332015131997658,0.8124763925713863,0,1.0
7,-0.08534190131914807,-0.8056970518440586,0.021581542983425385,1.1068317035916502,1,1.0
8,-0.10145584235602924,-0.6108653621302005,0.04371817705525839,0.8209967065294261,1,1.0
9,-0.11367314959863326,-0.4163680382964382,0.060138111185846915,0.5423785304857132,1,1.0
10,-0.12200051036456203,-0.22214056466621562,0.07098568179556118,0.26923394184674865,1,1.0
11,-0.12644332165788633,-0.02809964347505206,0.07637036063249615,-0.00024215563726615041,0,1.0
12,-0.12700531452738736,-0.22422906544873936,0.07636551751975083,0.31552552716186016,0,1.0
13,-0.13148989583636214,-0.42035102249692013,0.08267602806298804,0.6312807341861019,0,1.0
14,-0.13989691628630055,-0.6165232744169173,0.09530164274671007,0.9488130798167556,0,1.0
15,-0.1522273817746389,-0.8127901163783333,0.11427790434304519,1.2698537127944935,1,1.0
16,-0.16848318410220559,-0.6192975471138744,0.13967497859893507,1.0150325994126024,0,1.0
17,-0.18086913504448307,-0.8159778113692677,0.1599756305871871,1.3481109323630314,1,1.0
18,-0.19718869127186842,-0.6231867115117059,0.18693784923444773,1.1094493386609403,0,1.0
19,-0.20965242550210253,-0.8202064811390796,0.20912683600766654,1.4544704440429213,0,1.0
20,-0.22605655512488412,-1.0171912342866414,0.23821624488852497,1.8045460006843888,0,1.0
21,-0.24640037981061697,-1.2140500461480521,0.27430716490221274,2.160870475262717,0,0.0
0,0.003635618953180091,-0.23217106119318842,-0.01694058728833274,0.3346189633088368,0,1.0
1,-0.0010078022706836776,-0.42704786477564316,-0.010248208022156004,0.6219119304211939,1,1.0
2,-0.009548759566196541,-0.23178431705801597,0.0021900305862678736,0.3260190690693147,1,1.0
3,-0.01418444590735686,-0.036693615350096576,0.008710411967654168,0.03402758676031481,0,1.0
4,-0.014918318214358791,-0.2319393865756521,0.009390963702860465,0.3294459622454306,1,1.0
5,-0.019557105945871834,-0.03695237143249863,0.015979882947769076,0.03973923914117161,0,1.0
6,-0.020296153374521807,-0.2322997842432894,0.016774667730592507,0.33742083234775455,0,1.0
7,-0.024942149059387596,-0.42765637853251304,0.023523084377547597,0.6353460173063755,1,1.0
8,-0.03349527663003786,-0.23287028038623978,0.03623000472367511,0.35016285193953606,0,1.0
9,-0.03815268223776266,-0.4284882554369531,0.04323326176246583,0.6540465488198444,0,1.0
10,-0.046722447346501716,-0.6241846774387414,0.05631419273886272,0.9600235099624568,0,1.0
11,-0.059206140895276545,-0.8200165472622796,0.07551466293811185,1.2698532815036514,0,1.0
12,-0.07560647184052213,-1.016017063645339,0.10091172856818488,1.5851964064422766,1,1.0
13,-0.0959268131134289,-0.8222294617518824,0.1326156566970304,1.3256114994928383,0,1.0
14,-0.11237140234846656,-1.0187529894930667,0.15912788668688718,1.6566832271909049,1,1.0
15,-0.1327464621383279,-0.825805028597418,0.19226155123070526,1.4175042942382552,1,1.0
16,-0.14926256271027624,-0.6335120884205793,0.22061163711547038,1.1905567958830396,0,1.0
17,-0.16193280447868783,-0.8307027529620475,0.24442277303313117,1.543509045335231,0,0.0
0,-0.01923904049434269,0.20921106259572092,-0.027233771149360732,-0.32061361569314917,0,1.0
1,-0.015054819242428272,0.014487324469523527,-0.03364604346322372,-0.03664205760478956,0,1.0
2,-0.014765072753037801,-0.1801363861426653,-0.03437888461531951,0.24523820964966203,1,1.0
3,-0.018367800475891108,0.015459294759000347,-0.029474120422326267,-0.05808734794066084,1,1.0
4,-0.0180586145807111,0.21099118080728652,-0.030635867381139485,-0.35992192565706954,0,1.0
5,-0.013838790964565372,0.016317811599229154,-0.03783430589428088,-0.0770544312307968,0,1.0
6,-0.01351243473258079,-0.17824190876750262,-0.039375394518896815,0.2034556671691382,0,1.0
7,-0.017077272907930843,-0.37277927447398096,-0.03530628117551405,0.4834621588946347,1,1.0
8,-0.024532858397410463,-0.177177282980947,-0.025637037997621355,0.17986413069743884,1,1.0
9,-0.028076404057029405,0.018301971795140842,-0.022039755383672577,-0.12079486009930929,1,1.0
10,-0.02771036462112659,0.2137326442726697,-0.024455652585658762,-0.42034883725083305,0,1.0
11,-0.023435711735673194,0.018965589414033784,-0.03286262933067542,-0.1354748603519904,1,1.0
12,-0.023056399947392517,0.2145424621584098,-0.03557212653771523,-0.43834164754196586,1,1.0
13,-0.01876555070422432,0.41014936932866536,-0.04433895948855455,-0.7420223903775889,1,1.0
14,-0.010562563317651014,0.6058544297291909,-0.05917940729610632,-1.048322852739342,1,1.0
15,0.0015545252769328041,0.8017095752948172,-0.08014586435089316,-1.3589798698311686,1,1.0
16,0.01758871678282915,0.9977398314656579,-0.10732546174751653,-1.6756190466098269,0,1.0
17,0.03754351341214231,0.8040145206260855,-0.14083784267971305,-1.4181962243407067,0,1.0
18,0.053623803824664015,0.6108887911721075,-0.16920176716652718,-1.1726454911077693,1,1.0
19,0.06584157964810616,0.8077568977276617,-0.19265467698868258,-1.513238885714469,0,1.0
20,0.08199671760265939,0.6154182164180495,-0.22291945470297195,-1.286359178979013,1,1.0
21,0.09430508193102038,0.8125703301675218,-0.2486466382825522,-1.6397667714975381,1,0.0
0,-0.02757114845574825,0.17474801259262068,0.04116993514318287,-0.3133617722451697,0,1.0
1,-0.024076188203895836,-0.020935510502982146,0.03490269969827948,-0.00798466787178087,0,1.0
2,-0.02449489841395548,-0.21654018049298704,0.03474300634084386,0.2955029517119993,0,1.0
3,-0.02882570202381522,-0.41213976823532983,0.04065306537508385,0.5989376624415786,0,1.0
4,-0.03706849738852182,-0.6078062296711109,0.05263181862391542,0.9041435680439124,0,1.0
5,-0.049224621981944036,-0.8035999995837088,0.07071468998479367,1.2128941510093412,0,1.0
6,-0.06529662197361821,-0.9995597367634369,0.09497257300498049,1.5268719267046174,1,1.0
