"","x"
"0%",-1.79719535854049
"5%",-0.820018760188581
"10%",-0.624801511839984
"15%",-0.55465770567529
"20%",-0.408158846355181
"25%",-0.365858326964955
"30%",-0.233187366313561
"35%",-0.201956492269974
"40%",-0.166327677224345
"45%",-0.0370626907191297
"50%",0
"55%",0.0370626907191297
"60%",0.166327677224345
"65%",0.201956492269974
"70%",0.233187366313561
"75%",0.365858326964955
"80%",0.408158846355181
"85%",0.55465770567529
"90%",0.624801511839984
"95%",0.820018760188582
"100%",1.79719535854049
