"","x"
"0%",-0.311357257198903
"5%",-0.199624496420385
"10%",-0.161356963744718
"15%",-0.12458597232651
"20%",-0.0932966297835348
"25%",-0.0705974476378999
"30%",-0.0514538081274979
"35%",-0.0355799012377943
"40%",-0.0237291922763116
"45%",-0.0106647871478884
"50%",0
"55%",0.0106647871478884
"60%",0.0237291922763116
"65%",0.0355799012377943
"70%",0.051453808127498
"75%",0.0705974476378999
"80%",0.0932966297835348
"85%",0.12458597232651
"90%",0.161356963744718
"95%",0.199624496420385
"100%",0.311357257198903
