"","x"
"1",-50
"2",-50
"3",-44
"4",-639
"5",0
"6",2
"7",2
"8",5
"9",2
"10",7
"11",1
"12",5
"13",1
"14",2
"15",3
"16",0
"17",2
"18",0
"19",-50
"20",-50
"21",1
"22",1
"23",-199
"24",-99
"25",1
"26",1
"27",1
"28",5
"29",2
"30",1
"31",1
"32",1
"33",2
"34",3
"35",0
"36",2
"37",2
"38",1
"39",0
"40",0
"41",6
"42",1
"43",2
"44",1
"45",1
"46",1
"47",2
"48",2
"49",3
"50",1
"51",0
"52",0
"53",0
"54",0
"55",-50
"56",1
"57",-99
"58",-49
"59",1
"60",4
"61",1
"62",3
"63",0
"64",1
"65",0
"66",1
"67",1
"68",0
"69",1
"70",5
"71",0
"72",0
"73",2
"74",3
"75",2
"76",0
"77",2
"78",0
"79",1
"80",1
"81",2
"82",2
"83",0
"84",0
"85",0
"86",0
"87",3
"88",3
"89",0
"90",0
"91",1
"92",1
"93",1
"94",1
"95",0
"96",1
"97",1
"98",0
"99",-49
"100",1
"101",-50
"102",1
"103",1
"104",0
"105",0
"106",2
"107",2
"108",0
"109",0
"110",0
"111",0
"112",1
"113",1
"114",2
"115",3
"116",2
"117",0
"118",0
"119",4
"120",3
"121",1
"122",2
"123",3
"124",1
"125",0
"126",1
"127",3
"128",1
"129",0
"130",0
"131",0
"132",0
"133",1
"134",1
"135",0
"136",1
"137",1
"138",0
"139",0
"140",1
"141",1
"142",3
"143",0
"144",2
"145",0
"146",1
"147",0
"148",2
"149",0
"150",1
"151",0
"152",1
"153",0
"154",1
"155",0
"156",1
"157",0
"158",1
"159",1
"160",1
"161",0
"162",0
"163",0
"164",1
"165",1
"166",1
"167",1
"168",0
"169",0
"170",1
"171",1
"172",0
"173",2
"174",0
"175",1
"176",1
"177",1
"178",3
"179",3
"180",1
"181",2
"182",4
"183",2
"184",1
"185",0
"186",3
"187",2
"188",3
"189",1
"190",4
"191",0
"192",2
"193",2
"194",0
"195",0
"196",1
"197",0
"198",1
"199",1
"200",0
"201",1
"202",2
"203",1
"204",0
"205",2
"206",0
"207",2
"208",0
"209",1
"210",1
"211",0
"212",2
"213",0
"214",1
"215",2
"216",1
"217",0
"218",0
"219",1
"220",0
"221",0
"222",0
"223",2
"224",0
"225",0
"226",1
"227",3
"228",1
"229",1
"230",0
"231",2
"232",0
"233",0
"234",1
"235",1
"236",1
"237",0
"238",0
"239",1
"240",1
