"","x"
"1",16
"2",18
"3",19
"4",20
"5",21
"6",39
"7",40
"8",41
"9",61
"10",62
"11",82
"12",83
"13",103
"14",104
"15",125
"16",146
"17",167
"18",188
"19",455
"20",456
"21",457
"22",458
"23",459
"24",460
"25",476
"26",478
"27",479
"28",480
"29",481
"30",482
"31",499
"32",500
"33",501
"34",502
"35",503
"36",521
"37",522
"38",523
"39",524
"40",543
"41",544
"42",545
"43",565
"44",566
"45",584
"46",586
"47",607
"48",628
"49",649
"50",650
"51",670
"52",691
"53",734
"54",797
"55",886
"56",897
"57",898
"58",899
"59",918
"60",919
"61",920
"62",921
"63",922
"64",937
"65",941
"66",942
"67",943
"68",959
"69",962
"70",963
"71",964
"72",980
"73",983
"74",984
"75",985
"76",1004
"77",1005
"78",1006
"79",1007
"80",1025
"81",1026
"82",1027
"83",1028
"84",1047
"85",1049
"86",1067
"87",1068
"88",1089
"89",1090
"90",1109
"91",1112
"92",1131
"93",1132
"94",1152
"95",1175
"96",1195
"97",1196
"98",1217
"99",1335
"100",1336
"101",1337
"102",1340
"103",1355
"104",1356
"105",1358
"106",1359
"107",1360
"108",1361
"109",1362
"110",1376
"111",1377
"112",1378
"113",1379
"114",1380
"115",1381
"116",1382
"117",1383
"118",1400
"119",1401
"120",1402
"121",1403
"122",1422
"123",1423
"124",1424
"125",1442
"126",1444
"127",1445
"128",1446
"129",1465
"130",1466
"131",1467
"132",1484
"133",1485
"134",1488
"135",1507
"136",1508
"137",1509
"138",1511
"139",1526
"140",1530
"141",1550
"142",1551
"143",1571
"144",1572
"145",1574
"146",1589
"147",1592
"148",1593
"149",1631
"150",1635
"151",1636
"152",1655
"153",1657
"154",1678
"155",1699
"156",1766
"157",1775
"158",1776
"159",1778
"160",1779
"161",1792
"162",1796
"163",1797
"164",1798
"165",1799
"166",1800
"167",1801
"168",1817
"169",1818
"170",1819
"171",1820
"172",1821
"173",1838
"174",1840
"175",1841
"176",1843
"177",1844
"178",1863
"179",1864
"180",1865
"181",1884
"182",1885
"183",1886
"184",1887
"185",1888
"186",1905
"187",1906
"188",1907
"189",1909
"190",1926
"191",1927
"192",1928
"193",1947
"194",1948
"195",1949
"196",1951
"197",1968
"198",1969
"199",1970
"200",1989
"201",1990
"202",1991
"203",2010
"204",2011
"205",2014
"206",2031
"207",2032
"208",2033
"209",2053
"210",2054
"211",2055
"212",2077
"213",2093
"214",2119
"215",2214
"216",2216
"217",2217
"218",2228
"219",2234
"220",2235
"221",2236
"222",2237
"223",2238
"224",2241
"225",2259
"226",2260
"227",2261
"228",2262
"229",2263
"230",2278
"231",2281
"232",2282
"233",2283
"234",2300
"235",2301
"236",2302
"237",2303
"238",2305
"239",2322
"240",2324
"241",2325
"242",2326
"243",2327
"244",2346
"245",2347
"246",2348
"247",2367
"248",2368
"249",2369
"250",2371
"251",2385
"252",2388
"253",2389
"254",2390
"255",2406
"256",2409
"257",2410
"258",2411
"259",2413
"260",2430
"261",2431
"262",2432
"263",2451
"264",2452
"265",2453
"266",2472
"267",2473
"268",2474
"269",2489
"270",2493
"271",2494
"272",2495
"273",2511
"274",2516
"275",2517
"276",2537
"277",2538
"278",2559
"279",2579
"280",2580
"281",2651
"282",2655
"283",2669
"284",2676
"285",2678
"286",2696
"287",2697
"288",2698
"289",2699
"290",2700
"291",2701
"292",2702
"293",2719
"294",2720
"295",2721
"296",2722
"297",2723
"298",2724
"299",2741
"300",2742
"301",2743
"302",2744
"303",2745
"304",2763
"305",2764
"306",2765
"307",2767
"308",2768
"309",2783
"310",2785
"311",2786
"312",2804
"313",2806
"314",2807
"315",2808
"316",2826
"317",2827
"318",2828
"319",2829
"320",2847
"321",2849
"322",2868
"323",2873
"324",2889
"325",2891
"326",2894
"327",2909
"328",2911
"329",2916
"330",2932
"331",2937
"332",2957
"333",2972
"334",2976
"335",2998
"336",2999
"337",3000
"338",3020
"339",3044
"340",3088
"341",3093
"342",3096
"343",3110
"344",3112
"345",3114
"346",3116
"347",3117
"348",3120
"349",3137
"350",3139
"351",3141
"352",3158
"353",3161
"354",3184
"355",3204
"356",3205
"357",3209
"358",3225
"359",3226
"360",3227
"361",3246
"362",3247
"363",3248
"364",3249
"365",3267
"366",3268
"367",3269
"368",3270
"369",3288
"370",3289
"371",3290
"372",3291
"373",3309
"374",3310
"375",3311
"376",3312
"377",3330
"378",3331
"379",3332
"380",3333
"381",3352
"382",3353
"383",3372
"384",3373
"385",3374
"386",3375
"387",3392
"388",3396
"389",3418
"390",3438
"391",3439
"392",3531
"393",3537
"394",3550
"395",3553
"396",3554
"397",3555
"398",3556
"399",3558
"400",3579
"401",3581
"402",3582
"403",3599
"404",3601
"405",3602
"406",3603
"407",3622
"408",3623
"409",3624
"410",3627
"411",3641
"412",3642
"413",3643
"414",3644
"415",3646
"416",3648
"417",3665
"418",3666
"419",3668
"420",3687
"421",3689
"422",3706
"423",3708
"424",3709
"425",3727
"426",3728
"427",3729
"428",3730
"429",3749
"430",3750
"431",3751
"432",3771
"433",3772
"434",3792
"435",3793
"436",3797
"437",3810
"438",3814
"439",3815
"440",3831
"441",3835
"442",3836
"443",3837
"444",3852
"445",3855
"446",3858
"447",3877
"448",3880
"449",3900
"450",3901
"451",3921
"452",3924
"453",3925
"454",3926
"455",3991
"456",3992
"457",3994
"458",3996
"459",3999
"460",4018
"461",4019
"462",4039
"463",4061
"464",4062
"465",4063
"466",4064
"467",4068
"468",4084
"469",4085
"470",4087
"471",4089
"472",4105
"473",4106
"474",4126
"475",4127
"476",4128
"477",4146
"478",4147
"479",4148
"480",4167
"481",4168
"482",4169
"483",4170
"484",4188
"485",4189
"486",4190
"487",4193
"488",4209
"489",4210
"490",4211
"491",4214
"492",4230
"493",4231
"494",4232
"495",4233
"496",4252
"497",4274
"498",4275
"499",4278
"500",4292
"501",4297
"502",4299
"503",4317
"504",4318
"505",4319
"506",4321
"507",4338
"508",4339
"509",4341
"510",4342
"511",4366
"512",4367
"513",4387
"514",4412
"515",4432
"516",4433
"517",4457
"518",4458
"519",4460
"520",4461
"521",4478
"522",4480
"523",4481
"524",4482
"525",4500
"526",4502
"527",4507
"528",4521
"529",4524
"530",4525
"531",4547
"532",4566
"533",4567
"534",4568
"535",4569
"536",4585
"537",4588
"538",4589
"539",4590
"540",4606
"541",4609
"542",4610
"543",4611
"544",4629
"545",4630
"546",4631
"547",4632
"548",4651
"549",4652
"550",4653
"551",4671
"552",4672
"553",4673
"554",4693
"555",4694
"556",4710
"557",4712
"558",4714
"559",4715
"560",4731
"561",4735
"562",4736
"563",4737
"564",4738
"565",4760
"566",4780
"567",4781
"568",4800
"569",4803
"570",4805
"571",4807
"572",4808
"573",4873
"574",4874
"575",4875
"576",4878
"577",4898
"578",4899
"579",4919
"580",4922
"581",4941
"582",4944
"583",4947
"584",4962
"585",4963
"586",4964
"587",4968
"588",4984
"589",4985
"590",4989
"591",5002
"592",5006
"593",5007
"594",5027
"595",5028
"596",5048
"597",5049
"598",5050
"599",5069
"600",5070
"601",5071
"602",5072
"603",5090
"604",5091
"605",5093
"606",5110
"607",5112
"608",5131
"609",5133
"610",5134
"611",5151
"612",5153
"613",5155
"614",5156
"615",5157
"616",5158
"617",5172
"618",5175
"619",5176
"620",5177
"621",5196
"622",5197
"623",5198
"624",5200
"625",5217
"626",5218
"627",5220
"628",5241
"629",5243
"630",5244
"631",5245
"632",5246
"633",5249
"634",5262
"635",5268
"636",5360
"637",5361
"638",5381
"639",5403
"640",5407
"641",5424
"642",5425
"643",5426
"644",5427
"645",5446
"646",5447
"647",5466
"648",5467
"649",5468
"650",5469
"651",5487
"652",5488
"653",5489
"654",5490
"655",5508
"656",5509
"657",5510
"658",5511
"659",5529
"660",5530
"661",5531
"662",5532
"663",5550
"664",5551
"665",5552
"666",5553
"667",5572
"668",5573
"669",5574
"670",5590
"671",5594
"672",5595
"673",5615
"674",5638
"675",5641
"676",5658
"677",5660
"678",5662
"679",5679
"680",5682
"681",5683
"682",5685
"683",5687
"684",5689
"685",5703
"686",5706
"687",5711
"688",5755
"689",5779
"690",5799
"691",5800
"692",5801
"693",5823
"694",5827
"695",5842
"696",5862
"697",5867
"698",5883
"699",5888
"700",5890
"701",5905
"702",5908
"703",5910
"704",5926
"705",5931
"706",5950
"707",5952
"708",5970
"709",5971
"710",5972
"711",5973
"712",5991
"713",5992
"714",5993
"715",5995
"716",6013
"717",6014
"718",6016
"719",6031
"720",6032
"721",6034
"722",6035
"723",6036
"724",6054
"725",6055
"726",6056
"727",6057
"728",6058
"729",6075
"730",6076
"731",6077
"732",6078
"733",6079
"734",6080
"735",6097
"736",6098
"737",6099
"738",6100
"739",6101
"740",6102
"741",6103
"742",6121
"743",6123
"744",6130
"745",6144
"746",6148
"747",6219
"748",6220
"749",6240
"750",6261
"751",6262
"752",6282
"753",6283
"754",6288
"755",6304
"756",6305
"757",6306
"758",6310
"759",6325
"760",6326
"761",6327
"762",6346
"763",6347
"764",6348
"765",6367
"766",6368
"767",6369
"768",6386
"769",6388
"770",6389
"771",6390
"772",6393
"773",6409
"774",6410
"775",6411
"776",6414
"777",6428
"778",6430
"779",6431
"780",6432
"781",6451
"782",6452
"783",6453
"784",6472
"785",6473
"786",6474
"787",6475
"788",6477
"789",6494
"790",6496
"791",6497
"792",6498
"793",6499
"794",6516
"795",6517
"796",6518
"797",6521
"798",6536
"799",6537
"800",6538
"801",6539
"802",6540
"803",6558
"804",6561
"805",6562
"806",6563
"807",6564
"808",6565
"809",6571
"810",6582
"811",6583
"812",6585
"813",6680
"814",6706
"815",6722
"816",6744
"817",6745
"818",6746
"819",6766
"820",6767
"821",6768
"822",6785
"823",6788
"824",6789
"825",6808
"826",6809
"827",6810
"828",6829
"829",6830
"830",6831
"831",6848
"832",6850
"833",6851
"834",6852
"835",6871
"836",6872
"837",6873
"838",6890
"839",6892
"840",6893
"841",6894
"842",6911
"843",6912
"844",6913
"845",6914
"846",6915
"847",6934
"848",6935
"849",6936
"850",6955
"851",6956
"852",6958
"853",6959
"854",6961
"855",6978
"856",6979
"857",6980
"858",6981
"859",6982
"860",6998
"861",6999
"862",7000
"863",7001
"864",7002
"865",7003
"866",7007
"867",7020
"868",7021
"869",7023
"870",7024
"871",7033
"872",7100
"873",7121
"874",7142
"875",7144
"876",7163
"877",7164
"878",7168
"879",7206
"880",7207
"881",7210
"882",7225
"883",7227
"884",7228
"885",7248
"886",7249
"887",7269
"888",7273
"889",7288
"890",7290
"891",7291
"892",7292
"893",7311
"894",7314
"895",7315
"896",7332
"897",7333
"898",7334
"899",7353
"900",7354
"901",7355
"902",7357
"903",7375
"904",7376
"905",7377
"906",7396
"907",7397
"908",7398
"909",7399
"910",7416
"911",7417
"912",7418
"913",7419
"914",7420
"915",7421
"916",7422
"917",7423
"918",7437
"919",7438
"920",7439
"921",7440
"922",7441
"923",7443
"924",7444
"925",7459
"926",7462
"927",7463
"928",7464
"929",7582
"930",7603
"931",7604
"932",7624
"933",7647
"934",7667
"935",7668
"936",7687
"937",7690
"938",7709
"939",7710
"940",7731
"941",7732
"942",7750
"943",7752
"944",7771
"945",7772
"946",7773
"947",7774
"948",7792
"949",7793
"950",7794
"951",7795
"952",7814
"953",7815
"954",7816
"955",7819
"956",7835
"957",7836
"958",7837
"959",7840
"960",7856
"961",7857
"962",7858
"963",7862
"964",7877
"965",7878
"966",7879
"967",7880
"968",7881
"969",7900
"970",7901
"971",7902
"972",7913
"973",8002
"974",8065
"975",8108
"976",8129
"977",8149
"978",8150
"979",8171
"980",8192
"981",8213
"982",8215
"983",8233
"984",8234
"985",8254
"986",8255
"987",8256
"988",8275
"989",8276
"990",8277
"991",8278
"992",8296
"993",8297
"994",8298
"995",8299
"996",8300
"997",8317
"998",8318
"999",8319
"1000",8320
"1001",8321
"1002",8323
"1003",8339
"1004",8340
"1005",8341
"1006",8342
"1007",8343
"1008",8344
"1009",8611
"1010",8632
"1011",8653
"1012",8674
"1013",8695
"1014",8696
