"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",1
"7",0
"8",0
"9",0
"10",1
"11",1
"12",0
"13",1
"14",0
"15",1
"16",0
"17",1
"18",0
"19",0
"20",0
"21",1
"22",0
"23",1
"24",0
"25",1
"26",1
"27",0
"28",0
"29",0
"30",0
"31",1
"32",0
"33",0
"34",0
"35",0
"36",1
"37",1
"38",0
"39",0
"40",0
"41",1
"42",0
"43",0
"44",0
"45",1
"46",0
"47",0
"48",1
"49",1
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",1
"60",1
"61",0
"62",1
"63",0
"64",1
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",1
"76",0
"77",0
"78",0
"79",1
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",1
"88",1
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",1
"98",0
"99",1
"100",1
"101",1
"102",1
"103",1
"104",0
"105",0
"106",1
"107",1
"108",0
"109",0
"110",0
"111",0
"112",1
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",1
"120",1
"121",0
"122",1
"123",0
"124",0
"125",0
"126",0
"127",1
"128",0
"129",0
"130",0
"131",0
"132",0
"133",1
"134",0
"135",0
"136",1
"137",0
"138",0
"139",0
"140",0
"141",1
"142",1
"143",0
"144",1
"145",0
"146",1
"147",0
"148",0
"149",0
"150",1
"151",0
"152",1
"153",0
"154",1
"155",0
"156",1
"157",0
"158",1
"159",1
"160",1
"161",0
"162",0
"163",0
"164",1
"165",0
"166",0
"167",1
"168",0
"169",0
"170",1
"171",1
"172",0
"173",1
"174",0
"175",1
"176",0
"177",0
"178",1
"179",1
"180",0
"181",0
"182",1
"183",0
"184",1
"185",0
"186",1
"187",0
"188",1
"189",0
"190",1
"191",0
"192",1
"193",1
"194",0
"195",0
"196",1
"197",0
"198",0
"199",0
"200",0
"201",1
"202",1
"203",1
"204",0
"205",1
"206",0
"207",1
"208",0
"209",1
"210",0
"211",0
"212",1
"213",0
"214",1
"215",1
"216",1
"217",0
"218",0
"219",1
"220",0
"221",0
"222",0
"223",1
"224",0
