"","x"
"1",2
"2",3
"3",12
"4",15
"5",16
"6",17
"7",18
"8",19
"9",20
"10",21
"11",36
"12",37
"13",38
"14",39
"15",40
"16",41
"17",57
"18",60
"19",61
"20",62
"21",82
"22",83
"23",103
"24",104
"25",123
"26",124
"27",125
"28",145
"29",146
"30",166
"31",167
"32",188
"33",209
"34",230
"35",251
"36",272
"37",293
"38",314
"39",335
"40",356
"41",443
"42",444
"43",447
"44",450
"45",452
"46",453
"47",454
"48",455
"49",456
"50",457
"51",458
"52",459
"53",460
"54",461
"55",463
"56",466
"57",471
"58",473
"59",474
"60",475
"61",476
"62",477
"63",478
"64",479
"65",480
"66",481
"67",482
"68",484
"69",487
"70",495
"71",496
"72",497
"73",498
"74",499
"75",500
"76",501
"77",502
"78",503
"79",505
"80",506
"81",516
"82",519
"83",520
"84",521
"85",522
"86",523
"87",524
"88",529
"89",542
"90",543
"91",544
"92",545
"93",563
"94",564
"95",565
"96",566
"97",584
"98",585
"99",586
"100",587
"101",604
"102",606
"103",607
"104",608
"105",626
"106",627
"107",628
"108",629
"109",648
"110",649
"111",650
"112",669
"113",670
"114",671
"115",690
"116",691
"117",692
"118",712
"119",713
"120",731
"121",733
"122",734
"123",754
"124",755
"125",775
"126",776
"127",797
"128",818
"129",884
"130",886
"131",888
"132",891
"133",892
"134",893
"135",894
"136",895
"137",896
"138",897
"139",898
"140",899
"141",900
"142",901
"143",902
"144",904
"145",905
"146",906
"147",909
"148",911
"149",912
"150",913
"151",914
"152",915
"153",916
"154",917
"155",918
"156",919
"157",920
"158",921
"159",922
"160",923
"161",930
"162",935
"163",936
"164",937
"165",938
"166",939
"167",940
"168",941
"169",942
"170",943
"171",944
"172",948
"173",956
"174",957
"175",958
"176",959
"177",960
"178",961
"179",962
"180",963
"181",964
"182",965
"183",980
"184",981
"185",982
"186",983
"187",984
"188",985
"189",986
"190",990
"191",998
"192",1002
"193",1003
"194",1004
"195",1005
"196",1006
"197",1007
"198",1023
"199",1024
"200",1025
"201",1026
"202",1027
"203",1028
"204",1046
"205",1047
"206",1048
"207",1049
"208",1064
"209",1066
"210",1067
"211",1068
"212",1069
"213",1070
"214",1086
"215",1087
"216",1088
"217",1089
"218",1090
"219",1091
"220",1109
"221",1110
"222",1111
"223",1112
"224",1129
"225",1130
"226",1131
"227",1132
"228",1133
"229",1150
"230",1151
"231",1152
"232",1153
"233",1154
"234",1173
"235",1174
"236",1175
"237",1191
"238",1194
"239",1195
"240",1196
"241",1214
"242",1215
"243",1216
"244",1217
"245",1233
"246",1236
"247",1237
"248",1238
"249",1258
"250",1259
"251",1280
"252",1324
"253",1326
"254",1327
"255",1329
"256",1331
"257",1332
"258",1333
"259",1334
"260",1335
"261",1336
"262",1337
"263",1338
"264",1339
"265",1340
"266",1341
"267",1342
"268",1343
"269",1345
"270",1348
"271",1350
"272",1353
"273",1354
"274",1355
"275",1356
"276",1357
"277",1358
"278",1359
"279",1360
"280",1361
"281",1362
"282",1363
"283",1364
"284",1367
"285",1369
"286",1371
"287",1373
"288",1374
"289",1375
"290",1376
"291",1377
"292",1378
"293",1379
"294",1380
"295",1381
"296",1382
"297",1383
"298",1384
"299",1385
"300",1395
"301",1397
"302",1398
"303",1399
"304",1400
"305",1401
"306",1402
"307",1403
"308",1404
"309",1405
"310",1406
"311",1408
"312",1416
"313",1418
"314",1419
"315",1420
"316",1421
"317",1422
"318",1423
"319",1424
"320",1425
"321",1426
"322",1427
"323",1437
"324",1440
"325",1443
"326",1444
"327",1445
"328",1446
"329",1447
"330",1448
"331",1463
"332",1464
"333",1465
"334",1466
"335",1467
"336",1468
"337",1469
"338",1482
"339",1484
"340",1485
"341",1486
"342",1487
"343",1488
"344",1489
"345",1490
"346",1499
"347",1502
"348",1506
"349",1508
"350",1509
"351",1510
"352",1511
"353",1524
"354",1527
"355",1528
"356",1529
"357",1530
"358",1531
"359",1532
"360",1547
"361",1548
"362",1549
"363",1550
"364",1551
"365",1552
"366",1553
"367",1570
"368",1571
"369",1572
"370",1573
"371",1574
"372",1590
"373",1591
"374",1592
"375",1593
"376",1594
"377",1595
"378",1609
"379",1610
"380",1611
"381",1613
"382",1614
"383",1615
"384",1616
"385",1632
"386",1634
"387",1635
"388",1636
"389",1637
"390",1652
"391",1653
"392",1654
"393",1655
"394",1656
"395",1657
"396",1658
"397",1672
"398",1676
"399",1677
"400",1678
"401",1679
"402",1698
"403",1699
"404",1700
"405",1720
"406",1721
"407",1765
"408",1767
"409",1768
"410",1770
"411",1772
"412",1773
"413",1774
"414",1775
"415",1776
"416",1777
"417",1778
"418",1779
"419",1780
"420",1781
"421",1784
"422",1786
"423",1788
"424",1789
"425",1791
"426",1793
"427",1794
"428",1795
"429",1796
"430",1797
"431",1798
"432",1799
"433",1800
"434",1801
"435",1802
"436",1803
"437",1804
"438",1805
"439",1807
"440",1812
"441",1814
"442",1815
"443",1816
"444",1817
"445",1818
"446",1819
"447",1820
"448",1821
"449",1822
"450",1823
"451",1824
"452",1825
"453",1826
"454",1831
"455",1833
"456",1835
"457",1836
"458",1837
"459",1838
"460",1839
"461",1840
"462",1841
"463",1842
"464",1843
"465",1844
"466",1845
"467",1846
"468",1847
"469",1854
"470",1856
"471",1858
"472",1859
"473",1860
"474",1861
"475",1862
"476",1863
"477",1864
"478",1865
"479",1866
"480",1867
"481",1868
"482",1871
"483",1878
"484",1880
"485",1881
"486",1882
"487",1883
"488",1884
"489",1885
"490",1886
"491",1887
"492",1888
"493",1896
"494",1898
"495",1902
"496",1903
"497",1904
"498",1905
"499",1906
"500",1907
"501",1908
"502",1909
"503",1910
"504",1913
"505",1924
"506",1925
"507",1926
"508",1927
"509",1928
"510",1929
"511",1930
"512",1945
"513",1946
"514",1947
"515",1948
"516",1949
"517",1950
"518",1951
"519",1952
"520",1959
"521",1961
"522",1966
"523",1967
"524",1968
"525",1969
"526",1970
"527",1971
"528",1972
"529",1980
"530",1982
"531",1985
"532",1987
"533",1989
"534",1990
"535",1991
"536",1992
"537",1993
"538",1994
"539",2010
"540",2011
"541",2012
"542",2013
"543",2014
"544",2015
"545",2031
"546",2032
"547",2033
"548",2034
"549",2035
"550",2036
"551",2052
"552",2053
"553",2054
"554",2055
"555",2056
"556",2069
"557",2073
"558",2074
"559",2075
"560",2076
"561",2077
"562",2078
"563",2090
"564",2092
"565",2093
"566",2094
"567",2096
"568",2097
"569",2098
"570",2099
"571",2117
"572",2118
"573",2119
"574",2120
"575",2138
"576",2139
"577",2140
"578",2141
"579",2157
"580",2160
"581",2161
"582",2162
"583",2206
"584",2208
"585",2209
"586",2210
"587",2211
"588",2212
"589",2213
"590",2214
"591",2215
"592",2216
"593",2217
"594",2218
"595",2219
"596",2220
"597",2221
"598",2222
"599",2223
"600",2227
"601",2228
"602",2229
"603",2230
"604",2231
"605",2232
"606",2233
"607",2234
"608",2235
"609",2236
"610",2237
"611",2238
"612",2239
"613",2240
"614",2241
"615",2243
"616",2246
"617",2248
"618",2249
"619",2250
"620",2251
"621",2252
"622",2253
"623",2255
"624",2256
"625",2257
"626",2258
"627",2259
"628",2260
"629",2261
"630",2262
"631",2263
"632",2264
"633",2265
"634",2266
"635",2270
"636",2271
"637",2272
"638",2274
"639",2276
"640",2277
"641",2278
"642",2279
"643",2280
"644",2281
"645",2282
"646",2283
"647",2284
"648",2285
"649",2286
"650",2290
"651",2295
"652",2297
"653",2298
"654",2299
"655",2300
"656",2301
"657",2302
"658",2303
"659",2304
"660",2305
"661",2306
"662",2307
"663",2308
