"","x"
"1",1.09089843611563e-07
"2",1.13768772353401e-07
"3",1.77945195970374e-07
"4",1.09134847705047e-07
"5",1.15620064169569e-07
"6",1.20672971315445e-07
"7",1.10065606271379e-07
"8",1.32396525568821e-07
"9",1.13954723677196e-07
"10",1.54456180310652e-07
"11",1.09232380265066e-07
"12",1.93552748478488e-07
"13",1.09116936514262e-07
"14",1.09154692660921e-07
"15",1.53160241341228e-07
"16",1.99278819041967e-07
"17",1.88819371701189e-07
"18",1.9557437591191e-07
"19",2.19410934533031e-07
"20",1.53710837912102e-07
"21",2.19011625593937e-07
"22",1.09095722343043e-07
"23",1.09079089550575e-07
"24",1.83806088810745e-07
"25",1.37001547259334e-07
"26",1.09158637738959e-07
"27",1.16714828189544e-07
"28",1.12270791160948e-07
"29",1.0920875162322e-07
"30",1.57160791626385e-07
"31",1.09191905463022e-07
"32",1.09095541651397e-07
"33",1.09116393957967e-07
"34",1.09134166003251e-07
"35",2.12341853937207e-07
"36",1.65245146214595e-07
"37",1.4214084075945e-07
"38",1.91345575810466e-07
"39",2.16528507992701e-07
"40",2.20651409503573e-07
"41",1.09137495673555e-07
"42",1.09264487276678e-07
"43",2.21556326516324e-07
"44",1.24438249048875e-07
"45",1.09117243062765e-07
"46",1.0932888968743e-07
"47",2.1140797503378e-07
"48",1.09144715242198e-07
"49",1.43169708821063e-07
"50",2.17826502698201e-07
"51",1.09117078812056e-07
"52",1.09113662379824e-07
"53",2.03490103036348e-07
"54",1.95200002444598e-07
"55",1.09181704470555e-07
"56",1.09578453026709e-07
"57",2.20158833046526e-07
"58",1.17746732459471e-07
"59",1.93117864738828e-07
"60",1.09292869982999e-07
"61",1.17709233274206e-07
"62",1.61415506479419e-07
"63",1.38021729300938e-07
"64",1.55321260588523e-07
"65",1.71424339240863e-07
"66",2.12147535136779e-07
"67",1.30588193362992e-07
"68",1.18070575396901e-07
"69",1.16106293921999e-07
"70",1.09128520877187e-07
"71",1.86246725139198e-07
"72",1.09234693611379e-07
"73",1.42153268811653e-07
"74",1.09234241000221e-07
"75",1.0920108982562e-07
"76",1.67664598226282e-07
"77",2.15134986274369e-07
"78",1.09250601605528e-07
"79",2.00675165885849e-07
"80",1.09121064311701e-07
"81",2.00768633183797e-07
"82",1.83728489241528e-07
