"","x"
"1",0
"2",1
"3",0
"4",0
"5",0
"6",0
"7",0.666666666666667
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",1
"18",0
"19",0.5
"20",0.625
"21",0.666666666666667
"22",0
"23",0.571428571428571
"24",0.833333333333333
"25",0
"26",1
"27",0.666666666666667
"28",1
"29",0
"30",0.863636363636364
"31",0.819875776397516
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0.944444444444444
"40",0.90625
"41",0.860724233983287
"42",0.676901605024424
"43",1
"44",1
"45",1
"46",0
"47",1
"48",0
"49",0
"50",1
"51",0
"52",0
"53",0
"54",1
"55",0
"56",1
"57",0
"58",0
"59",1
"60",0
"61",0
"62",0
"63",1
"64",1
"65",0
"66",1
"67",0
"68",0
"69",1
"70",1
"71",0
"72",0
"73",1
"74",1
"75",1
"76",1
"77",1
"78",0
"79",0
"80",1
"81",0
"82",1
"83",1
"84",0
"85",1
"86",1
"87",0
"88",1
"89",1
"90",0
"91",0
"92",0
"93",1
"94",1
"95",0
"96",1
"97",1
"98",1
"99",0
"100",0
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",0
"108",1
"109",0
"110",1
"111",0
"112",1
"113",1
"114",1
"115",0
"116",1
"117",0
"118",0
"119",1
"120",1
"121",0
"122",1
"123",0
"124",1
"125",0
"126",0
"127",0
"128",0
"129",1
"130",1
"131",1
"132",0
"133",0
"134",0
"135",1
"136",0
"137",0
"138",0
"139",1
"140",1
"141",0
"142",1
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",1
"152",0
"153",0
"154",0
"155",0.888888888888889
"156",0
"157",1
"158",0.666666666666667
"159",0.5
"160",0
"161",1
"162",0
"163",0
"164",0.6
"165",0
"166",0.7
"167",0.692307692307692
"168",0
"169",0
"170",1
"171",0
"172",0
"173",0.923076923076923
"174",0.806451612903226
"175",0
"176",0.659574468085106
"177",1
"178",1
"179",0
"180",0
"181",0.948717948717949
"182",0.851851851851852
"183",0.724137931034483
"184",0
"185",1
"186",0
"187",0
"188",0
"189",0.977011494252874
"190",0
"191",0
"192",0
"193",0
"194",0
"195",1
"196",0
"197",0
"198",1
"199",1
"200",0
"201",1
"202",0
"203",0
"204",0
"205",0
"206",0
"207",1
"208",1
"209",1
"210",1
"211",1
"212",0
"213",0
"214",0
"215",1
"216",1
"217",0
"218",1
"219",0
"220",0
"221",1
"222",0
"223",0
"224",1
"225",1
"226",1
"227",0
"228",0
"229",1
"230",0
"231",1
"232",0
"233",1
"234",0
"235",0
"236",0
"237",1
"238",1
"239",0
"240",1
"241",0
"242",0
"243",0
"244",1
"245",0
"246",1
"247",1
"248",0
"249",0
"250",0
"251",1
"252",0
"253",1
"254",0
"255",0
"256",0
"257",1
"258",1
"259",1
"260",1
"261",0
"262",0
"263",1
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",1
"271",1
"272",1
"273",0
"274",1
"275",1
"276",1
"277",0
"278",0
"279",0
"280",0
"281",0
"282",1
"283",0
"284",0
"285",0
"286",1
"287",1
"288",1
"289",1
"290",1
"291",0
"292",0
"293",1
"294",0
"295",0
"296",1
"297",1
"298",1
"299",1
"300",1
"301",0
"302",0
"303",1
"304",1
"305",1
"306",0
"307",1
"308",1
"309",0
