"","x"
"1",3
"2",5
"3",6
"4",7
"5",8
"6",9
"7",10
"8",11
"9",17
"10",19
"11",20
"12",21
"13",31
"14",32
"15",41
"16",42
"17",43
"18",50
"19",52
"20",53
"21",54
"22",64
"23",65
"24",76
"25",86
"26",87
"27",98
"28",123
"29",124
"30",125
"31",126
"32",127
"33",128
"34",129
"35",130
"36",131
"37",134
"38",135
"39",136
"40",137
"41",138
"42",139
"43",140
"44",141
"45",142
"46",148
"47",149
"48",150
"49",151
"50",152
"51",153
"52",161
"53",162
"54",163
"55",164
"56",170
"57",172
"58",173
"59",174
"60",175
"61",181
"62",182
"63",183
"64",184
"65",185
"66",186
"67",195
"68",196
"69",197
"70",205
"71",207
"72",208
"73",218
"74",219
"75",230
"76",244
"77",245
"78",246
"79",247
"80",248
"81",249
"82",250
"83",251
"84",252
"85",255
"86",256
"87",257
"88",258
"89",259
"90",260
"91",261
"92",262
"93",263
"94",267
"95",268
"96",269
"97",270
"98",271
"99",272
"100",273
"101",274
"102",278
"103",280
"104",281
"105",282
"106",283
"107",284
"108",285
"109",292
"110",293
"111",294
"112",295
"113",296
"114",300
"115",301
"116",303
"117",304
"118",305
"119",306
"120",307
"121",312
"122",315
"123",316
"124",317
"125",318
"126",321
"127",322
"128",323
"129",325
"130",326
"131",327
"132",328
"133",329
"134",336
"135",338
"136",339
"137",340
"138",350
"139",351
"140",365
"141",366
"142",367
"143",368
"144",369
"145",370
"146",371
"147",372
"148",376
"149",377
"150",378
"151",379
"152",380
"153",381
"154",382
"155",383
"156",384
"157",388
"158",389
"159",390
"160",391
"161",392
"162",393
"163",394
"164",395
"165",399
"166",400
"167",401
"168",402
"169",403
"170",404
"171",405
"172",406
"173",412
"174",413
"175",414
"176",415
"177",416
"178",417
"179",420
"180",423
"181",424
"182",425
"183",426
"184",427
"185",428
"186",432
"187",434
"188",435
"189",436
"190",437
"191",438
"192",439
"193",442
"194",443
"195",446
"196",447
"197",448
"198",449
"199",450
"200",453
"201",456
"202",457
"203",458
"204",459
"205",460
"206",461
"207",470
"208",471
"209",472
"210",485
"211",486
"212",487
"213",488
"214",489
"215",490
"216",491
"217",492
"218",496
"219",497
"220",498
"221",499
"222",500
"223",501
"224",502
"225",503
"226",504
"227",505
"228",507
"229",508
"230",509
"231",510
"232",511
"233",512
"234",513
"235",514
"236",515
"237",516
"238",519
"239",520
"240",521
"241",522
"242",523
"243",524
"244",525
"245",526
"246",527
"247",532
"248",533
"249",534
"250",535
"251",536
"252",537
"253",538
"254",543
"255",544
"256",545
"257",546
"258",547
"259",548
"260",552
"261",554
"262",555
"263",556
"264",557
"265",558
"266",559
"267",562
"268",563
"269",564
"270",565
"271",566
"272",567
"273",568
"274",569
"275",570
"276",571
"277",573
"278",574
"279",576
"280",577
"281",578
"282",579
"283",580
"284",581
"285",582
"286",586
"287",588
"288",589
"289",590
"290",591
"291",592
"292",593
"293",606
"294",607
"295",608
"296",609
"297",610
"298",611
"299",617
"300",618
"301",619
"302",620
"303",621
"304",622
"305",623
"306",624
"307",625
"308",626
"309",628
"310",629
"311",630
"312",631
"313",632
"314",633
"315",634
"316",636
"317",637
"318",640
"319",641
"320",642
"321",643
"322",644
"323",645
"324",646
"325",647
"326",652
"327",653
"328",654
"329",655
"330",656
"331",657
"332",658
"333",662
"334",663
"335",664
"336",665
"337",666
"338",667
"339",668
"340",673
"341",674
"342",675
"343",676
"344",677
"345",678
"346",679
"347",680
"348",683
"349",684
"350",685
"351",686
"352",687
"353",688
"354",689
"355",690
"356",691
"357",695
"358",696
"359",697
"360",698
"361",699
"362",700
"363",701
"364",702
"365",703
"366",706
"367",707
"368",709
"369",710
"370",711
"371",712
"372",713
"373",714
"374",727
"375",728
"376",729
"377",738
"378",739
"379",740
"380",741
"381",742
"382",743
"383",746
"384",749
"385",750
"386",751
"387",752
"388",753
"389",754
"390",756
"391",757
"392",760
"393",761
"394",762
"395",763
"396",764
"397",768
"398",771
"399",772
"400",773
"401",774
"402",775
"403",776
"404",782
"405",783
"406",784
"407",785
"408",786
"409",787
"410",788
"411",793
"412",794
"413",795
"414",796
"415",797
"416",798
"417",799
"418",800
"419",801
"420",804
"421",805
"422",806
"423",807
"424",808
"425",809
"426",810
"427",811
"428",815
"429",816
"430",817
"431",818
"432",819
"433",820
"434",821
"435",822
"436",823
"437",827
"438",828
"439",829
"440",830
"441",831
"442",832
"443",833
"444",834
"445",848
"446",849
"447",859
"448",860
"449",861
"450",867
"451",870
"452",871
"453",872
"454",873
"455",875
"456",876
"457",877
"458",881
"459",882
"460",883
"461",888
"462",892
"463",893
"464",894
"465",895
"466",896
"467",897
"468",900
"469",903
"470",904
"471",905
"472",906
"473",907
"474",908
"475",910
"476",914
"477",915
"478",916
"479",917
"480",918
"481",919
"482",920
"483",921
"484",925
"485",926
"486",927
"487",928
"488",929
"489",930
"490",931
"491",932
"492",936
"493",937
"494",938
"495",939
"496",940
"497",941
"498",942
"499",943
"500",947
"501",948
"502",949
"503",950
"504",951
"505",952
"506",953
"507",954
"508",955
"509",969
"510",980
"511",981
