"","x"
"1",0
"2",0
"3",1
"4",0
"5",2
"6",3
"7",4
"8",5
"9",6
"10",7
"11",8
"12",0
"13",0
"14",0
"15",0
"16",0
"17",9
"18",0
"19",10
"20",11
"21",12
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",13
"32",14
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",15
"42",16
"43",17
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",18
"51",0
"52",19
"53",20
"54",21
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",22
"65",23
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",24
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",25
"87",26
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",27
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",28
"124",29
"125",30
"126",31
"127",32
"128",33
"129",34
"130",35
"131",36
"132",0
"133",0
"134",37
"135",38
"136",39
"137",40
"138",41
"139",42
"140",43
"141",44
"142",45
"143",0
"144",0
"145",0
"146",0
"147",0
"148",46
"149",47
"150",48
"151",49
"152",50
"153",51
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",52
"162",53
"163",54
"164",55
"165",0
"166",0
"167",0
"168",0
"169",0
"170",56
"171",0
"172",57
"173",58
"174",59
"175",60
"176",0
"177",0
"178",0
"179",0
"180",0
"181",61
"182",62
"183",63
"184",64
"185",65
"186",66
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",67
"196",68
"197",69
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",70
"206",0
"207",71
"208",72
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",73
"219",74
"220",0
"221",0
"222",0
"223",0
"224",0
