"","x"
"1",0
"2",0
"3",0
"4",0
"5",1
"6",0
"7",1
"8",0
"9",1
"10",1
"11",1
"12",1
"13",0
"14",0
"15",0
"16",1
"17",0
"18",1
"19",0
"20",1
"21",1
"22",0
"23",1
"24",0
"25",0
"26",0
"27",0
"28",1
"29",0
"30",1
"31",1
"32",1
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",1
"43",1
"44",1
"45",1
"46",0
"47",1
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",1
"56",0
"57",0
"58",1
"59",0
"60",0
"61",0
"62",0
"63",1
"64",0
"65",1
"66",0
"67",1
"68",0
"69",1
"70",0
"71",1
"72",0
"73",1
"74",0
"75",0
"76",1
"77",0
"78",0
"79",0
"80",0
"81",0
"82",1
"83",1
"84",0
"85",0
"86",0
"87",0
"88",0
"89",1
"90",1
"91",0
"92",1
"93",1
"94",1
"95",0
"96",1
"97",1
"98",0
"99",0
"100",1
"101",0
"102",0
"103",0
"104",1
"105",1
"106",0
"107",0
"108",0
"109",0
"110",1
"111",1
"112",0
"113",1
"114",1
"115",0
"116",0
"117",0
"118",0
"119",1
"120",1
"121",1
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",1
"132",0
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",0
"144",0
"145",1
"146",0
"147",1
"148",1
"149",1
"150",1
"151",0
"152",0
"153",0
"154",1
"155",0
"156",1
"157",1
"158",0
"159",0
"160",0
"161",0
"162",1
"163",0
"164",0
"165",0
"166",0
"167",1
"168",1
"169",1
"170",0
"171",0
"172",1
"173",1
"174",1
"175",1
"176",0
"177",1
"178",0
"179",1
"180",0
"181",0
"182",1
"183",1
"184",0
"185",0
"186",1
"187",0
"188",1
"189",1
"190",0
"191",0
"192",0
"193",0
"194",1
"195",0
"196",1
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",1
"205",1
"206",1
"207",1
"208",1
"209",1
"210",0
"211",1
"212",0
"213",1
"214",1
"215",0
"216",0
"217",1
"218",0
"219",1
"220",1
"221",0
"222",1
"223",1
"224",1
