"","x"
"0%",-2.90175150140871
"5%",-0.985186023076471
"10%",-0.762117791003936
"15%",-0.589205107200439
"20%",-0.431441342692868
"25%",-0.382097959981484
"30%",-0.242410558822441
"35%",-0.204285952859646
"40%",-0.168744408319169
"45%",-0.0395264876225795
"50%",-0.000827717593182425
"55%",0.0342510624664189
"60%",0.163153535689555
"65%",0.201006874270123
"70%",0.235951346882128
"75%",0.376413123873812
"80%",0.425251212586016
"85%",0.584808664331761
"90%",0.760239513091188
"95%",0.982118485911515
"100%",2.53684600135395
