"","x"
"0%",-0.322678758223778
"5%",-0.201468497352921
"10%",-0.155210442340877
"15%",-0.117859414811187
"20%",-0.0878056502874764
"25%",-0.0646625473628449
"30%",-0.0471591583360275
"35%",-0.0348393521873787
"40%",-0.0226098538595939
"45%",-0.0112972950842091
"50%",-0.000262413227244278
"55%",0.0108222781069565
"60%",0.0224288702713342
"65%",0.0341138089696633
"70%",0.0472047916726652
"75%",0.0651453950800132
"80%",0.0895298196027158
"85%",0.11943212907112
"90%",0.155987446909467
"95%",0.202056409631009
"100%",0.326740138325896
