"","x"
"0%",-3.47682557863238
"5%",-1.50465649798858
"10%",-1.14776636498277
"15%",-0.901036909631141
"20%",-0.70319430177304
"25%",-0.572512314725347
"30%",-0.417852557587507
"35%",-0.310046294374109
"40%",-0.242540265727405
"45%",-0.0890688367708411
"50%",0.00177064993168985
"55%",0.0936931594768585
"60%",0.247362369075702
"65%",0.317779228434904
"70%",0.443521430468385
"75%",0.586250797851426
"80%",0.735174548027947
"85%",0.922068250431657
"90%",1.16972248791919
"95%",1.52727078174245
"100%",3.64602253220753
