"","x"
"1",45
"2",56
"3",57
"4",59
"5",61
"6",62
"7",67
"8",68
"9",70
"10",72
"11",75
"12",78
"13",79
"14",80
"15",81
"16",82
"17",83
"18",84
"19",85
"20",86
"21",87
"22",89
"23",90
"24",91
"25",92
"26",93
"27",94
"28",95
"29",96
"30",97
"31",98
"32",100
"33",101
"34",102
"35",103
"36",104
"37",105
"38",106
"39",107
"40",108
"41",109
"42",110
"43",120
"44",177
"45",188
"46",199
"47",200
"48",201
"49",202
"50",205
"51",210
"52",211
"53",212
"54",213
"55",214
"56",215
"57",216
"58",217
"59",218
"60",219
"61",222
"62",223
"63",224
"64",225
"65",226
"66",227
"67",228
"68",229
"69",230
"70",287
"71",331
"72",333
"73",334
"74",335
"75",336
"76",337
"77",338
"78",339
"79",343
"80",344
"81",345
"82",346
"83",347
"84",348
"85",349
"86",350
"87",351
"88",408
"89",453
"90",454
"91",455
"92",456
"93",457
"94",458
"95",459
"96",460
"97",463
"98",465
"99",466
"100",467
"101",468
"102",469
"103",470
"104",471
"105",472
"106",578
"107",579
"108",580
"109",581
"110",584
"111",586
"112",587
"113",588
"114",589
"115",590
"116",591
"117",592
"118",593
"119",695
"120",697
"121",706
"122",707
"123",708
"124",709
"125",710
"126",711
"127",712
"128",713
"129",714
"130",827
"131",828
"132",829
"133",830
"134",831
"135",832
"136",833
"137",834
"138",835
"139",947
"140",949
"141",950
"142",951
"143",953
"144",954
"145",955
"146",956
"147",1073
"148",1074
"149",1075
"150",1076
"151",1077
"152",1332
"153",1343
"154",1354
"155",1355
"156",1356
"157",1360
"158",1365
"159",1366
"160",1367
"161",1368
"162",1369
"163",1376
"164",1377
"165",1378
"166",1379
"167",1380
"168",1381
"169",1382
"170",1383
"171",1384
"172",1385
"173",1387
"174",1388
"175",1389
"176",1390
"177",1391
"178",1392
"179",1393
"180",1394
"181",1395
"182",1396
"183",1398
"184",1400
"185",1401
"186",1402
"187",1403
"188",1404
"189",1405
"190",1406
"191",1407
"192",1412
"193",1413
"194",1414
"195",1415
"196",1416
"197",1417
"198",1418
"199",1425
"200",1426
"201",1427
"202",1428
"203",1429
"204",1439
"205",1440
"206",1464
"207",1475
"208",1486
"209",1497
"210",1498
"211",1508
"212",1510
"213",1511
"214",1512
"215",1513
"216",1514
"217",1515
"218",1519
"219",1520
"220",1521
"221",1522
"222",1523
"223",1524
"224",1525
"225",1526
"226",1527
"227",1530
"228",1532
"229",1533
"230",1534
"231",1535
"232",1536
"233",1537
"234",1538
"235",1539
"236",1542
"237",1543
"238",1544
"239",1545
"240",1546
"241",1547
"242",1548
"243",1549
"244",1550
"245",1558
"246",1559
"247",1560
"248",1561
"249",1596
"250",1618
"251",1629
"252",1630
"253",1640
"254",1642
"255",1643
"256",1647
"257",1651
"258",1652
"259",1653
"260",1654
"261",1655
"262",1656
"263",1657
"264",1658
"265",1659
"266",1660
"267",1662
"268",1663
"269",1664
"270",1665
"271",1666
"272",1667
"273",1668
"274",1669
"275",1670
"276",1671
"277",1677
"278",1678
"279",1679
"280",1680
"281",1681
"282",1682
"283",1761
"284",1763
"285",1772
"286",1773
"287",1774
"288",1775
"289",1776
"290",1777
"291",1778
"292",1780
"293",1783
"294",1784
"295",1785
"296",1786
"297",1787
"298",1788
"299",1789
"300",1790
"301",1791
"302",1792
"303",1797
"304",1798
"305",1799
"306",1800
"307",1801
"308",1802
"309",1803
"310",1838
"311",1871
"312",1882
"313",1883
"314",1893
"315",1894
"316",1895
"317",1897
"318",1904
"319",1905
"320",1906
"321",1907
"322",1908
"323",1909
"324",1910
"325",1911
"326",1912
"327",1913
"328",1915
"329",1916
"330",1917
"331",1918
"332",1919
"333",1920
"334",1921
"335",1922
"336",1923
"337",1924
"338",2014
"339",2025
"340",2026
"341",2027
"342",2028
"343",2029
"344",2030
"345",2031
"346",2032
"347",2033
"348",2037
"349",2038
"350",2039
"351",2040
"352",2041
"353",2042
"354",2043
"355",2044
"356",2045
"357",2113
"358",2135
"359",2136
"360",2147
"361",2148
"362",2149
"363",2150
"364",2151
"365",2152
"366",2153
"367",2154
"368",2157
"369",2158
"370",2159
"371",2160
"372",2161
"373",2162
"374",2163
"375",2164
"376",2165
"377",2166
"378",2267
"379",2268
"380",2269
"381",2270
"382",2271
"383",2272
"384",2273
"385",2274
"386",2275
"387",2278
"388",2279
"389",2280
"390",2281
"391",2282
"392",2283
"393",2284
"394",2285
"395",2286
"396",2287
"397",2388
"398",2389
"399",2390
"400",2391
"401",2399
"402",2400
"403",2401
"404",2402
"405",2403
"406",2404
"407",2405
"408",2406
"409",2407
"410",2408
"411",2509
"412",2521
"413",2522
"414",2524
"415",2525
"416",2528
"417",2529
"418",2663
"419",2674
"420",2675
"421",2685
"422",2686
"423",2687
"424",2688
"425",2689
"426",2690
"427",2691
"428",2692
"429",2694
"430",2697
"431",2698
"432",2699
"433",2700
"434",2702
"435",2703
"436",2704
"437",2705
"438",2709
"439",2710
"440",2711
"441",2712
"442",2713
"443",2714
"444",2715
"445",2716
"446",2721
"447",2722
"448",2723
"449",2724
"450",2725
"451",2726
"452",2727
"453",2734
"454",2735
"455",2736
"456",2737
"457",2738
"458",2747
"459",2748
"460",2749
"461",2760
"462",2771
"463",2795
"464",2806
"465",2807
"466",2817
"467",2819
"468",2820
"469",2822
"470",2824
"471",2828
"472",2829
"473",2830
"474",2831
"475",2832
"476",2833
"477",2834
"478",2835
"479",2836
"480",2839
"481",2841
"482",2842
"483",2843
"484",2844
"485",2845
"486",2846
"487",2847
"488",2848
"489",2852
"490",2853
"491",2854
"492",2855
"493",2856
"494",2857
"495",2858
"496",2859
"497",2864
"498",2865
"499",2866
"500",2867
"501",2868
"502",2869
"503",2870
"504",2877
"505",2878
"506",2879
"507",2880
"508",2881
"509",2892
"510",2916
"511",2927
"512",2938
"513",2949
"514",2950
"515",2951
"516",2953
"517",2960
"518",2961
"519",2962
"520",2963
"521",2964
"522",2965
"523",2966
"524",2967
"525",2968
"526",2972
"527",2973
"528",2974
"529",2975
"530",2976
"531",2977
"532",2978
"533",2979
"534",2980
"535",2984
"536",2985
"537",2986
"538",2987
"539",2988
"540",2989
"541",2990
"542",2991
"543",2995
"544",2996
"545",2997
"546",2998
"547",2999
"548",3000
"549",3001
"550",3002
"551",3013
"552",3048
"553",3070
"554",3081
"555",3082
"556",3083
"557",3084
"558",3085
"559",3086
"560",3088
"561",3093
"562",3094
"563",3095
"564",3096
"565",3097
"566",3098
"567",3099
"568",3100
"569",3104
"570",3105
"571",3106
"572",3107
"573",3108
"574",3109
"575",3110
"576",3111
"577",3112
"578",3116
"579",3117
"580",3118
"581",3119
"582",3120
"583",3121
"584",3122
"585",3123
"586",3133
"587",3134
"588",3191
"589",3202
"590",3204
"591",3206
"592",3215
"593",3216
"594",3217
"595",3218
"596",3219
"597",3224
"598",3225
"599",3226
