Step,CartPos,CartVelocity,PoleAngle,PoleVelocity,Action,Reward
0,-0.04020430545445945,-0.19170185130519174,-0.034247366726378084,0.25848211184460523,0,1.0
1,-0.044038342480563285,-0.38631856544536397,-0.02907772448948598,0.540169245242812,1,1.0
2,-0.05176471378947056,-0.1908002011073994,-0.01827433958462974,0.23846802878970874,0,1.0
3,-0.05558071781161855,-0.3856563828292636,-0.013504979008835566,0.5253311415384434,0,1.0
4,-0.06329384546820382,-0.5805857112154602,-0.0029983561780666974,0.8137281273251784,0,1.0
5,-0.07490555969251303,-0.775666470495902,0.01327620636843687,1.1054664354988315,0,1.0
6,-0.09041888910243107,-0.9709604529424756,0.0353855350784135,1.4022846830149853,1,1.0
7,-0.10983809816128058,-0.7762955153600488,0.06343122873871321,1.1208712441938231,0,1.0
8,-0.12536400846848156,-0.972189434287781,0.08584865362258967,1.432757461461609,0,1.0
9,-0.1448077971542372,-1.1682593456106372,0.11450380285182185,1.7509877318401048,0,1.0
10,-0.16817298406644993,-1.3644799564596866,0.14952355748862395,2.076981855107759,1,1.0
11,-0.19546258319564366,-1.1711575306791044,0.19106319459077914,1.8340301109560035,0,1.0
12,-0.21888573380922574,-1.367811294369587,0.2277437968098992,2.179474397960011,1,1.0
13,-0.2462419596966175,-1.1755146940790826,0.2713332847690994,1.964857006823189,0,0.0
0,-0.018269379268494163,-0.20394803817454227,-0.03676257487818307,0.3297978265960619,1,1.0
1,-0.02234834003198501,-0.008322569418927783,-0.03016661834626183,0.025752127421138693,0,1.0
2,-0.022514791420363566,-0.20299921008577104,-0.029651575797839058,0.30876658737127927,1,1.0
3,-0.026574775622078987,-0.007467594047543408,-0.023476244050413472,0.00688180384966286,0,1.0
4,-0.026724127503029854,-0.20224513302043604,-0.023338607973420217,0.2920662228294599,1,1.0
5,-0.030769030163438574,-0.006798323848488774,-0.017497283516831018,-0.007885078876927798,1,1.0
6,-0.03090499664040835,0.18857013563166797,-0.017654985094369573,-0.3060368483496736,1,1.0
7,-0.02713359392777499,0.3839391640776487,-0.023775722061363046,-0.6042350160036818,1,1.0
8,-0.019454810646222016,0.5793854148763553,-0.035860422381436684,-0.9043109377273877,0,1.0
9,-0.00786710234869491,0.3847670141596381,-0.053946641135984436,-0.6231117262606107,0,1.0
10,-0.00017176206550214863,0.1904381526735852,-0.06640887566119665,-0.3478951096343572,1,1.0
11,0.003637000987969555,0.38643871584115685,-0.07336677785388379,-0.6607577622071782,1,1.0
12,0.011365775304792693,0.5825007780981616,-0.08658193309802735,-0.9756101927534553,1,1.0
13,0.023015790866755925,0.7786706107089676,-0.10609413695309645,-1.2941859967995542,1,1.0
14,0.038589203080935275,0.9749686086275018,-0.13197785688908753,-1.6181105985922755,1,1.0
15,0.05808857525348531,1.171376392257372,-0.16434006886093305,-1.9488491465497308,0,1.0
16,0.08151610309863275,0.9783409550801783,-0.20331705179192766,-1.7112960650332085,1,1.0
17,0.10108292220023632,1.1751350806631748,-0.23754297309259184,-2.0597711957042484,0,1.0
18,0.12458562381349982,0.9830971976197952,-0.2787383970066768,-1.8489859711102477,1,0.0
0,-0.05051696995627471,-0.23210460261990262,-0.013570084678174195,0.29896756562495375,1,1.0
1,-0.05515906200867276,-0.036791875233071925,-0.00759073336567512,0.002035966398653777,1,1.0
2,-0.0558948995133342,0.15843811091703663,-0.0075500140377020445,-0.2930322302938001,0,1.0
3,-0.052726137294993466,-0.036575385280345374,-0.013410658643578047,-0.002740006220690927,1,1.0
4,-0.05345764500060037,0.15873630121287266,-0.013465458767991866,-0.2996238073321704,1,1.0
5,-0.05028291897634292,0.35404757306041235,-0.019457934914635273,-0.5965228805764902,0,1.0
6,-0.04320196751513467,0.15920324921340642,-0.03138839252616508,-0.3100319926364569,0,1.0
7,-0.040017902530866546,-0.035457756592832346,-0.037589032378894216,-0.02741098384900892,0,1.0
8,-0.04072705766272319,-0.23002105572091905,-0.03813725205587439,0.25317923682485377,0,1.0
9,-0.04532747877714158,-0.4245782821409864,-0.03307366731937732,0.5335932375247507,1,1.0
10,-0.053819044419961305,-0.2290071850190447,-0.0224018025688823,0.2306751383060408,0,1.0
11,-0.0583991881203422,-0.42380198025413346,-0.017788299802761483,0.5162084381445912,1,1.0
12,-0.06687522772542487,-0.22843411967373736,-0.0074641310398696585,0.2179735259611098,0,1.0
13,-0.07144391011889961,-0.4234485793160089,-0.003104660520647462,0.508292632645944,1,1.0
14,-0.07991288170521979,-0.22828302321372443,0.0070611921322714195,0.21463294065310556,0,1.0
15,-0.08447854216949428,-0.4235052093201771,0.01135385094533353,0.5095348926811751,0,1.0
16,-0.09294864635589782,-0.6187852597027671,0.021544548798957033,0.8057740487652787,0,1.0
17,-0.10532435154995316,-0.8141958138457721,0.03766002977426261,1.1051554625221296,1,1.0
18,-0.12160826782686861,-0.619588773814984,0.0597631390247052,0.8245213148831909,0,1.0
19,-0.13400004330316828,-0.8154750302047352,0.07625356532236902,1.1353860358882255,0,1.0
20,-0.15030954390726298,-1.0115072845787874,0.09896128604013353,1.4509767725124334,1,1.0
21,-0.17053968959883872,-0.817730806469547,0.1279808214903822,1.190781335252858,1,1.0
22,-0.18689430572822965,-0.6244780944422688,0.15179644819543936,0.9407967377892736,0,1.0
23,-0.19938386761707502,-0.8212838898668321,0.17061238295122483,1.2770677983844085,0,1.0
24,-0.21580954541441166,-1.0181201263551227,0.196153738918913,1.6179523951128199,0,1.0
25,-0.2361719479415141,-1.2149388074658303,0.22851278682116938,1.9648190589244012,0,1.0
26,-0.2604707240908307,-1.411633329191803,0.2678091679996574,2.3187906356873382,1,0.0
0,0.04768488172166495,0.21079841336681898,0.019482176323650815,-0.3319981802399225,1,1.0
1,0.05190084998900133,0.40563771677631055,0.012842212718852365,-0.6184742753936704,0,1.0
2,0.06001360432452754,0.2103387586585479,0.00047272721097895744,-0.3217744880090029,0,1.0
3,0.0642203794976985,0.015210078782518927,-0.0059627625492011,-0.02894251910431067,1,1.0
4,0.06452458107334888,0.2104170300081482,-0.006541612931287313,-0.3235007823898917,1,1.0
5,0.06873292167351185,0.4056315157165854,-0.013011628579085149,-0.6182394661438328,0,1.0
6,0.07684555198784356,0.21069371211355142,-0.025376417901961806,-0.32968282384102376,1,1.0
7,0.08105942623011458,0.40616754286480183,-0.031970074378782284,-0.6302590328162258,0,1.0
8,0.08918277708741063,0.21150594258735944,-0.0445752550351068,-0.3478134411304561,0,1.0
9,0.09341289593915782,0.017045413378022012,-0.05153152385771592,-0.06951317287109571,1,1.0
10,0.09375380420671826,0.2128668362304058,-0.05292178731513784,-0.37799895455935995,1,1.0
11,0.09801114093132637,0.40869887875318955,-0.060481766406325035,-0.6868875057157962,1,1.0
12,0.10618511850639016,0.6046059171302652,-0.07421951652064096,-0.997981549972545,1,1.0
13,0.11827723684899547,0.8006374609233105,-0.09417914752009186,-1.3130198623309637,1,1.0
14,0.13428998606746168,0.9968169886314802,-0.12043954476671113,-1.6336328320789515,0,1.0
15,0.15422632584009127,0.8032972439213472,-0.15311220140829016,-1.3807797058577096,1,1.0
16,0.1702922707185182,0.9999624798589515,-0.18072779552544435,-1.7171657510186225,0,1.0
17,0.19029152031569724,0.8073147032718061,-0.2150711105458168,-1.4857457240598728,0,1.0
18,0.20643781438113337,0.6153630484859272,-0.24478602502701424,-1.2671963085786488,0,0.0
0,0.036241997721879235,0.21243893993917057,-0.008872539341580303,-0.28226459645655266,1,1.0
1,0.040490776520662644,0.4076863154019759,-0.014517831270711356,-0.5777326243769889,1,1.0
2,0.04864450282870216,0.6030087049263615,-0.026072483758251136,-0.8749534259688374,1,1.0
3,0.06070467692722939,0.7984752134721496,-0.043571552277627885,-1.175717981392322,0,1.0
4,0.07667418119667238,0.603945615213956,-0.06708591190547433,-0.8970065066132139,0,1.0
5,0.08875309350095151,0.4097941068741642,-0.08502604203773861,-0.626142802636058,0,1.0
6,0.0969489756384348,0.2159554927154973,-0.09754889809045977,-0.3614028025248007,0,1.0
7,0.10126808549274474,0.022345645768043543,-0.1047769541409558,-0.10100261256158805,1,1.0
