Step,CartPos,CartVelocity,PoleAngle,PoleVelocity,Action,Reward
0,-0.00018494300014072708,0.1734969384669122,0.0015550634704463596,-0.3208291732463876,1,1.0
1,0.0032849957691975166,0.3685967094756916,-0.004861519994481393,-0.6130212874376039,1,1.0
2,0.010656929958711349,0.5637862609914924,-0.01712194574323347,-0.9072314360789178,0,1.0
3,0.021932655178541198,0.36890024744736627,-0.03526657446481182,-0.6199788705509276,1,1.0
4,0.029310660127488522,0.5644965387019925,-0.04766615187583038,-0.9235570982050911,1,1.0
5,0.04060059090152837,0.7602288911917201,-0.06613729383993219,-1.2308306955830943,1,1.0
6,0.05580516872536277,0.9561362945920429,-0.09075390775159409,-1.5434795319600076,0,1.0
7,0.07492789461720363,0.7622146566289546,-0.12162349839079424,-1.280439184284889,1,1.0
8,0.09017218774978272,0.9586580781731773,-0.14723228207649203,-1.6085968362717569,0,1.0
9,0.10934534931324627,0.765551017512413,-0.17940421880192717,-1.3652001859461784,0,1.0
10,0.12465636966349453,0.57307112576988,-0.20670822252085075,-1.1335766050931146,1,1.0
11,0.13611779217889214,0.7702089346743118,-0.22937975462271304,-1.483328619117915,0,1.0
12,0.15152197087237837,0.5784995681732267,-0.25904632700507135,-1.2701443880760166,0,0.0
0,0.043495912962564276,0.19602606816237833,0.04925500817188452,-0.28032149827634245,1,1.0
1,0.04741643432581184,0.3904120681762693,0.043648578206357674,-0.557071758493449,0,1.0
2,0.05522467568933723,0.19470540321364177,0.03250714303648869,-0.2509627540897628,1,1.0
3,0.059118783753610064,0.38934843526678586,0.02748788795469343,-0.5332176372354132,1,1.0
4,0.06690575245894578,0.5840732293314315,0.01682353520998517,-0.8171140656823848,0,1.0
5,0.07858721704557442,0.38872505289921194,0.0004812538963374739,-0.5191873812604402,1,1.0
6,0.08636171810355867,0.5838402254887101,-0.00990249372887133,-0.8117186176123433,1,1.0
7,0.09803852261333287,0.7790964173592697,-0.026136866081118197,-1.1074998310853228,0,1.0
8,0.11362045096051827,0.5843275969136262,-0.04828686270282465,-0.8231297486583722,0,1.0
